"","GSM3317067","GSM3317068","GSM3317069","GSM3317070","GSM3317071","GSM3317072"
"ENSMUSG00000024668",534,498,651,542,634,580
"ENSMUSG00000024669",163,175,167,233,203,161
"ENSMUSG00000024670",6,0,0,0,1,0
"ENSMUSG00000024672",0,0,0,0,0,0
"ENSMUSG00000024673",3592,3249,3753,2651,3163,2997
"ENSMUSG00000024675",0,0,0,0,0,0
"ENSMUSG00000024677",0,0,3,0,1,0
"ENSMUSG00000024678",5,1,0,4,6,12
"ENSMUSG00000024679",321,440,505,476,318,528
"ENSMUSG00000024680",0,0,3,0,13,0
"ENSMUSG00000024681",8,2,8,9,0,7
"ENSMUSG00000024682",25,14,10,18,26,0
"ENSMUSG00000024683",621,591,665,780,544,522
"ENSMUSG00000024687",137,94,161,129,154,169
"ENSMUSG00000024691",81,92,129,136,117,68
"ENSMUSG00000024694",7,19,20,13,9,13
"ENSMUSG00000024695",381,405,392,414,516,462
"ENSMUSG00000024696",21,14,0,0,0,10
"ENSMUSG00000024697",3668,3259,4280,3975,3924,3451
"ENSMUSG00000024712",1675,1630,2133,1768,2386,2092
"ENSMUSG00000024713",54,116,110,64,105,99
"ENSMUSG00000024725",801,917,1108,771,829,904
"ENSMUSG00000024726",67,98,111,76,117,104
"ENSMUSG00000024727",91,23,64,96,86,71
"ENSMUSG00000024728",2,0,3,7,6,2
"ENSMUSG00000024729",7,0,8,1,1,0
"ENSMUSG00000024730",0,0,0,0,0,0
"ENSMUSG00000024731",97,74,105,73,97,113
"ENSMUSG00000024732",500,605,928,658,726,743
"ENSMUSG00000024734",1343,1272,2256,1584,2274,3243
"ENSMUSG00000024735",47,56,57,16,54,84
"ENSMUSG00000024736",0,0,0,0,0,0
"ENSMUSG00000024737",0,7,1,2,2,7
"ENSMUSG00000024738",106,85,88,133,137,178
"ENSMUSG00000024740",2211,2739,3399,1836,3027,3006
"ENSMUSG00000024742",9,8,12,7,10,13
"ENSMUSG00000024743",134,150,209,106,145,149
"ENSMUSG00000024747",0,0,0,0,0,0
"ENSMUSG00000024749",11,9,15,0,0,1
"ENSMUSG00000024750",2507,2281,3510,2303,2902,3470
"ENSMUSG00000024754",44,54,113,76,116,127
"ENSMUSG00000024757",0,0,0,0,0,0
"ENSMUSG00000024758",1855,1787,1828,1436,1739,1935
"ENSMUSG00000024759",212,211,307,156,325,366
"ENSMUSG00000024761",1,5,1,1,1,0
"ENSMUSG00000024764",1626,1869,2923,1193,1732,2574
"ENSMUSG00000024766",125,182,161,75,89,127
"ENSMUSG00000024767",858,776,1011,995,647,884
"ENSMUSG00000024768",6,0,0,0,0,1
"ENSMUSG00000024769",4,0,22,8,0,9
"ENSMUSG00000024770",0,0,0,0,0,0
"ENSMUSG00000024771",8,0,26,11,0,10
"ENSMUSG00000024772",29,36,55,29,29,79
"ENSMUSG00000024773",124,110,98,49,175,121
"ENSMUSG00000024774",77,45,33,43,88,34
"ENSMUSG00000024776",22,5,19,12,5,12
"ENSMUSG00000024777",87,40,191,135,90,103
"ENSMUSG00000024778",1,0,4,11,0,3
"ENSMUSG00000024780",2099,2080,3059,1793,2312,2596
"ENSMUSG00000024781",10,1,1,0,5,0
"ENSMUSG00000024782",2,8,14,17,13,0
"ENSMUSG00000024784",1,1,1,1,0,0
"ENSMUSG00000024785",527,618,592,540,549,609
"ENSMUSG00000024786",130,52,115,109,70,36
"ENSMUSG00000024787",88,79,176,79,66,167
"ENSMUSG00000024789",3272,3563,3906,3225,4222,3451
"ENSMUSG00000024790",81,53,163,97,127,116
"ENSMUSG00000024791",4119,4700,5785,4588,5616,5328
"ENSMUSG00000024792",482,452,516,528,289,420
"ENSMUSG00000024793",0,0,8,0,0,0
"ENSMUSG00000024795",5639,6875,6160,4073,5334,5317
"ENSMUSG00000024797",11,5,19,3,22,27
"ENSMUSG00000024798",78,68,56,45,37,58
"ENSMUSG00000024799",36,16,15,31,14,52
"ENSMUSG00000024800",689,543,712,781,648,711
"ENSMUSG00000024803",0,8,4,0,0,1
"ENSMUSG00000024805",66,43,66,95,69,105
"ENSMUSG00000024806",0,0,0,0,0,0
"ENSMUSG00000024807",72,108,185,101,162,237
"ENSMUSG00000024810",1,21,11,5,24,24
"ENSMUSG00000024811",347,213,370,236,369,231
"ENSMUSG00000024812",227,208,442,209,368,420
"ENSMUSG00000024815",0,0,0,0,0,0
"ENSMUSG00000024816",158,167,259,197,152,295
"ENSMUSG00000024817",21,22,23,14,23,36
"ENSMUSG00000024818",0,0,0,0,0,0
"ENSMUSG00000024824",5,16,8,20,6,7
"ENSMUSG00000024826",139,80,259,114,125,170
"ENSMUSG00000024827",14,12,13,19,4,4
"ENSMUSG00000024829",1427,1704,2014,1670,2283,1674
"ENSMUSG00000024830",30,47,75,38,19,62
"ENSMUSG00000024831",41,88,133,82,55,123
"ENSMUSG00000024833",1349,1218,1688,1386,1987,1802
"ENSMUSG00000024835",140,207,297,216,189,251
"ENSMUSG00000024837",0,9,2,8,9,1
"ENSMUSG00000024841",320,278,356,295,178,415
"ENSMUSG00000024842",0,0,1,0,0,7
"ENSMUSG00000024843",51,25,56,40,18,15
"ENSMUSG00000024844",3954,4594,4893,5097,4388,4730
"ENSMUSG00000024845",1283,1346,1563,1325,1594,1229
"ENSMUSG00000024846",0,0,0,2,0,0
"ENSMUSG00000024847",319,266,346,374,357,438
"ENSMUSG00000024851",2,4,4,0,4,0
"ENSMUSG00000024853",1415,2003,2405,1797,2455,2506
"ENSMUSG00000024854",25,49,31,24,38,34
"ENSMUSG00000024855",313,274,591,407,423,521
"ENSMUSG00000024856",10097,10052,12381,9151,12698,12889
"ENSMUSG00000024857",0,0,0,0,0,0
"ENSMUSG00000024858",2,10,11,6,0,6
"ENSMUSG00000024862",94,111,170,68,109,202
"ENSMUSG00000024863",3744,3832,4653,4129,5014,4534
"ENSMUSG00000024866",30,55,63,31,39,37
"ENSMUSG00000024867",32,17,31,4,18,29
"ENSMUSG00000024868",28,22,45,65,78,30
"ENSMUSG00000024869",0,0,0,0,0,0
"ENSMUSG00000024870",868,926,1313,1207,759,1347
"ENSMUSG00000024871",0,0,0,0,0,0
"ENSMUSG00000024873",6,5,4,6,2,0
"ENSMUSG00000024875",23,35,54,57,31,50
"ENSMUSG00000024878",36,27,28,22,50,39
"ENSMUSG00000024883",0,12,1,0,8,10
"ENSMUSG00000024885",3,2,0,3,8,6
"ENSMUSG00000024887",85,88,107,67,136,71
"ENSMUSG00000024889",495,798,831,974,1186,982
"ENSMUSG00000024891",7,6,14,35,13,49
"ENSMUSG00000024892",20,52,86,88,78,61
"ENSMUSG00000024896",210,194,445,288,283,418
"ENSMUSG00000024897",306,455,411,298,396,386
"ENSMUSG00000024899",81,86,105,76,146,50
"ENSMUSG00000024900",2,0,7,3,0,9
"ENSMUSG00000024901",0,1,0,0,0,0
"ENSMUSG00000024902",150,116,203,162,125,145
"ENSMUSG00000024903",0,0,1,4,1,1
"ENSMUSG00000024905",0,0,8,6,0,0
"ENSMUSG00000024906",189,176,251,215,181,244
"ENSMUSG00000024907",9,0,6,21,0,17
"ENSMUSG00000024908",1945,1855,1862,1546,2201,1959
"ENSMUSG00000024909",0,4,1,0,3,0
"ENSMUSG00000024910",0,0,0,0,0,0
"ENSMUSG00000024911",73,58,204,118,124,174
"ENSMUSG00000024912",1,4,0,1,0,2
"ENSMUSG00000024913",313,344,513,377,352,390
"ENSMUSG00000024914",231,159,246,255,199,267
"ENSMUSG00000024921",7139,7012,8868,9711,11129,8652
"ENSMUSG00000024922",22,18,53,27,22,54
"ENSMUSG00000024924",14,14,45,10,15,5
"ENSMUSG00000024925",50,40,88,73,54,66
"ENSMUSG00000024926",498,700,752,622,773,816
"ENSMUSG00000024927",244,316,553,290,307,502
"ENSMUSG00000024935",50,41,87,54,60,99
"ENSMUSG00000024936",5,0,5,2,4,0
"ENSMUSG00000024937",2,7,8,18,7,4
"ENSMUSG00000024939",0,0,0,0,0,0
"ENSMUSG00000024940",3,0,27,6,0,5
"ENSMUSG00000024941",139,98,246,120,160,236
"ENSMUSG00000024942",0,11,16,4,17,9
"ENSMUSG00000024943",521,630,571,430,634,499
"ENSMUSG00000024944",164,290,230,163,225,246
"ENSMUSG00000024947",91,97,272,142,294,257
"ENSMUSG00000024948",23,30,61,13,45,24
"ENSMUSG00000024949",243,333,361,339,369,395
"ENSMUSG00000024953",312,303,343,410,417,339
"ENSMUSG00000024955",0,0,0,10,0,0
"ENSMUSG00000024957",0,3,9,2,0,5
"ENSMUSG00000024958",61,83,143,96,119,118
"ENSMUSG00000024959",3,3,7,2,0,1
"ENSMUSG00000024960",44,35,36,33,40,33
"ENSMUSG00000024962",0,0,0,2,0,0
"ENSMUSG00000024963",83,68,118,94,70,81
"ENSMUSG00000024965",0,2,6,0,6,59
"ENSMUSG00000024966",1729,1982,2557,1944,2250,2039
"ENSMUSG00000024968",5,20,30,7,11,25
"ENSMUSG00000024969",2948,3163,4677,3007,4275,4327
"ENSMUSG00000024970",108,96,85,63,136,126
"ENSMUSG00000024972",137,146,180,157,207,172
"ENSMUSG00000024973",1,2,0,0,0,0
"ENSMUSG00000024974",1230,1445,1544,855,2743,1527
"ENSMUSG00000024975",1114,908,1118,1060,675,980
"ENSMUSG00000024976",2780,3241,3100,2468,3401,2755
"ENSMUSG00000024978",0,17,27,23,11,15
"ENSMUSG00000024979",44,10,40,53,18,26
"ENSMUSG00000024981",23,2,13,14,9,15
"ENSMUSG00000024982",835,889,1131,647,1074,1043
"ENSMUSG00000024983",986,1007,1153,1009,1709,1428
"ENSMUSG00000024985",267,202,296,201,280,283
"ENSMUSG00000024986",1523,1659,2117,1691,1745,1925
"ENSMUSG00000024987",25,30,28,51,30,80
"ENSMUSG00000024989",5533,5660,6682,4387,5825,5162
"ENSMUSG00000024990",0,0,0,0,0,0
"ENSMUSG00000024991",1397,1462,1388,1042,1383,896
"ENSMUSG00000024992",0,0,1,2,0,0
"ENSMUSG00000024993",1417,1231,1406,1069,1186,1187
"ENSMUSG00000024997",192,112,214,155,164,173
"ENSMUSG00000024998",4605,3982,5279,4064,4386,3837
"ENSMUSG00000024999",839,990,775,869,1009,738
"ENSMUSG00000025001",2091,2380,3351,1539,2125,2186
"ENSMUSG00000025002",0,0,0,0,0,0
"ENSMUSG00000025003",30,6,43,33,24,14
"ENSMUSG00000025004",13,5,22,1,10,33
"ENSMUSG00000025006",3672,3997,5440,3914,5289,6084
"ENSMUSG00000025007",407,616,664,436,526,598
"ENSMUSG00000025008",10,4,11,19,10,6
"ENSMUSG00000025010",337,222,392,236,238,340
"ENSMUSG00000025013",0,0,0,0,0,8
"ENSMUSG00000025014",2,4,0,1,5,4
"ENSMUSG00000025016",286,235,405,247,349,286
"ENSMUSG00000025017",0,1,0,1,5,12
"ENSMUSG00000025019",2355,2940,3355,2892,3986,2801
"ENSMUSG00000025020",0,0,7,3,0,7
"ENSMUSG00000025024",1165,1219,1476,958,1264,1028
"ENSMUSG00000025025",58,2,28,16,19,48
"ENSMUSG00000025026",1229,1363,1630,1082,1209,1607
"ENSMUSG00000025027",15,21,43,15,0,22
"ENSMUSG00000025034",2,6,0,0,3,8
"ENSMUSG00000025035",2361,2390,2451,2149,2378,2169
"ENSMUSG00000025036",10,8,34,16,26,11
"ENSMUSG00000025037",26,5,18,7,17,12
"ENSMUSG00000025038",1936,1690,1849,1444,2021,1800
"ENSMUSG00000025040",337,377,425,329,368,411
"ENSMUSG00000025041",591,562,756,552,504,547
"ENSMUSG00000025043",0,0,0,0,0,0
"ENSMUSG00000025044",9,28,30,19,1,25
"ENSMUSG00000025047",114,139,108,89,170,136
"ENSMUSG00000025049",537,455,520,442,494,458
"ENSMUSG00000025050",8669,8314,10485,9025,10028,9817
"ENSMUSG00000025051",0,0,0,6,0,4
"ENSMUSG00000025056",3,6,0,2,0,0
"ENSMUSG00000025058",0,0,8,0,0,6
"ENSMUSG00000025059",3004,3325,4088,2423,2849,3411
"ENSMUSG00000025060",691,593,653,443,707,557
"ENSMUSG00000025064",0,0,0,0,0,3
"ENSMUSG00000025066",26422,23537,25316,24858,26302,24422
"ENSMUSG00000025068",5,6,16,26,9,29
"ENSMUSG00000025069",1,0,0,3,0,7
"ENSMUSG00000025075",2,1,9,13,1,6
"ENSMUSG00000025076",32,9,6,4,29,17
"ENSMUSG00000025077",7880,7022,11499,7388,11297,11221
"ENSMUSG00000025078",376,465,600,411,600,622
"ENSMUSG00000025081",1905,2034,2332,1939,2720,2211
"ENSMUSG00000025082",170,177,391,215,347,452
"ENSMUSG00000025083",2068,2505,3090,1895,2668,2683
"ENSMUSG00000025085",508,575,821,557,684,713
"ENSMUSG00000025086",54,25,73,42,45,34
"ENSMUSG00000025089",612,705,631,864,680,485
"ENSMUSG00000025090",582,769,817,668,561,714
"ENSMUSG00000025091",0,0,0,0,0,1
"ENSMUSG00000025092",301,290,392,267,386,435
"ENSMUSG00000025094",365,350,454,433,575,494
"ENSMUSG00000025102",354,326,384,418,362,377
"ENSMUSG00000025103",30,30,38,18,55,78
"ENSMUSG00000025104",1,3,22,19,13,21
"ENSMUSG00000025105",954,1012,1251,781,974,1097
"ENSMUSG00000025127",0,0,0,0,0,0
"ENSMUSG00000025128",0,0,0,0,0,0
"ENSMUSG00000025129",9,6,15,16,10,27
"ENSMUSG00000025130",1516,1264,2438,1291,2078,2664
"ENSMUSG00000025132",662,655,925,644,542,917
"ENSMUSG00000025133",1308,1589,1856,1400,1605,1939
"ENSMUSG00000025134",14,25,24,28,13,29
"ENSMUSG00000025135",2016,2212,3003,2469,3553,3317
"ENSMUSG00000025137",22,13,4,13,7,18
"ENSMUSG00000025138",250,537,619,448,518,714
"ENSMUSG00000025139",350,535,717,527,833,824
"ENSMUSG00000025140",34,43,60,66,87,90
"ENSMUSG00000025141",0,0,0,0,0,0
"ENSMUSG00000025142",251,265,424,344,442,435
"ENSMUSG00000025144",3224,3478,4656,3835,4832,4364
"ENSMUSG00000025145",46,20,10,22,1,16
"ENSMUSG00000025147",354,277,291,216,285,325
"ENSMUSG00000025150",0,0,0,0,0,0
"ENSMUSG00000025151",28,17,23,19,12,51
"ENSMUSG00000025153",120,71,106,75,83,141
"ENSMUSG00000025154",422,637,677,462,445,634
"ENSMUSG00000025155",38,63,176,103,81,198
"ENSMUSG00000025156",369,315,510,397,491,608
"ENSMUSG00000025157",24,30,16,17,21,38
"ENSMUSG00000025158",44,49,110,22,54,98
"ENSMUSG00000025159",355,328,405,286,486,462
"ENSMUSG00000025161",0,0,1,0,0,0
"ENSMUSG00000025162",106,101,77,99,105,123
"ENSMUSG00000025163",1729,1382,2214,1748,1807,2239
"ENSMUSG00000025165",2,5,0,3,9,5
"ENSMUSG00000025169",31,32,53,28,29,47
"ENSMUSG00000025170",0,17,9,12,0,17
"ENSMUSG00000025171",128,147,220,134,87,112
"ENSMUSG00000025172",0,0,0,1,0,0
"ENSMUSG00000025173",44,53,76,98,31,85
"ENSMUSG00000025175",6,0,6,5,0,0
"ENSMUSG00000025176",12,3,7,1,2,5
"ENSMUSG00000025178",40,50,79,59,78,74
"ENSMUSG00000025184",876,837,1264,932,1012,1037
"ENSMUSG00000025185",0,0,13,26,1,0
"ENSMUSG00000025188",6,14,24,4,25,19
"ENSMUSG00000025189",1,0,0,0,1,0
"ENSMUSG00000025190",998,1138,1834,1198,1142,1160
"ENSMUSG00000025192",11,8,4,9,8,3
"ENSMUSG00000025193",73,27,52,41,47,19
"ENSMUSG00000025194",14,4,13,0,17,0
"ENSMUSG00000025195",101,105,148,117,183,196
"ENSMUSG00000025196",17,10,9,16,25,14
"ENSMUSG00000025197",22,18,3,8,21,20
"ENSMUSG00000025198",565,714,775,646,927,882
"ENSMUSG00000025199",137,169,205,146,178,211
"ENSMUSG00000025200",136,302,197,118,141,213
"ENSMUSG00000025201",0,0,1,0,0,0
"ENSMUSG00000025202",128,161,219,161,256,196
"ENSMUSG00000025203",0,0,0,0,0,2
"ENSMUSG00000025204",264,238,381,273,372,471
"ENSMUSG00000025207",14,8,5,16,7,6
"ENSMUSG00000025208",1,4,12,5,6,3
"ENSMUSG00000025209",275,266,339,222,256,316
"ENSMUSG00000025212",0,1,0,0,15,0
"ENSMUSG00000025213",0,0,0,0,0,0
"ENSMUSG00000025215",0,3,3,0,0,2
"ENSMUSG00000025216",186,187,237,141,323,269
"ENSMUSG00000025217",1470,1384,2169,1340,1348,1732
"ENSMUSG00000025218",66,43,127,20,77,98
"ENSMUSG00000025219",1394,1104,1885,1388,1474,1657
"ENSMUSG00000025220",286,199,228,174,228,285
"ENSMUSG00000025221",60,61,28,54,80,55
"ENSMUSG00000025223",198,158,275,300,287,323
"ENSMUSG00000025224",1500,2002,2389,1647,2573,2419
"ENSMUSG00000025225",18,35,81,63,47,57
"ENSMUSG00000025226",10,3,9,5,11,0
"ENSMUSG00000025227",51,26,47,31,50,106
"ENSMUSG00000025228",1241,1280,1670,1350,1521,1732
"ENSMUSG00000025229",0,0,0,1,0,0
"ENSMUSG00000025231",624,883,1229,874,1337,1116
"ENSMUSG00000025232",8,7,10,9,1,3
"ENSMUSG00000025234",1132,1179,1355,1026,1473,1204
"ENSMUSG00000025235",3995,4629,4148,4463,4735,3844
"ENSMUSG00000025236",1185,1091,1767,934,1347,1736
"ENSMUSG00000025237",151,156,122,132,163,214
"ENSMUSG00000025239",289,254,578,332,641,458
"ENSMUSG00000025240",670,616,542,558,518,616
"ENSMUSG00000025241",884,1085,1294,930,1021,1257
"ENSMUSG00000025243",78,74,125,110,131,137
"ENSMUSG00000025245",1036,998,1261,998,1247,1274
"ENSMUSG00000025246",0,0,0,0,5,0
"ENSMUSG00000025255",91,120,69,62,99,55
"ENSMUSG00000025257",369,435,398,475,516,468
"ENSMUSG00000025260",43,26,78,77,71,88
"ENSMUSG00000025261",1073,1065,1179,1225,1814,1391
"ENSMUSG00000025262",66,49,133,60,95,43
"ENSMUSG00000025264",9,10,19,12,14,16
"ENSMUSG00000025265",85,99,179,183,166,156
"ENSMUSG00000025266",38,16,33,30,15,27
"ENSMUSG00000025268",2,0,0,0,0,0
"ENSMUSG00000025269",637,530,874,488,576,801
"ENSMUSG00000025270",1,0,3,0,2,1
"ENSMUSG00000025271",327,299,349,205,235,236
"ENSMUSG00000025272",37,67,55,37,78,58
"ENSMUSG00000025277",844,957,1431,1053,1241,1273
"ENSMUSG00000025278",567,471,599,388,838,869
"ENSMUSG00000025279",502,602,564,431,273,368
"ENSMUSG00000025280",758,727,966,757,1336,981
"ENSMUSG00000025283",526,613,711,642,567,542
"ENSMUSG00000025287",2106,1863,2441,2056,1711,1990
"ENSMUSG00000025288",0,0,0,0,0,0
"ENSMUSG00000025289",22,8,8,9,10,15
"ENSMUSG00000025290",377,386,458,474,488,409
"ENSMUSG00000025314",269,220,191,246,365,282
"ENSMUSG00000025316",1649,2297,3093,2188,2635,3328
"ENSMUSG00000025317",0,1,0,0,0,0
"ENSMUSG00000025318",12,25,13,18,8,27
"ENSMUSG00000025321",0,0,0,0,9,0
"ENSMUSG00000025323",8,23,23,4,10,22
"ENSMUSG00000025324",246,336,486,227,284,246
"ENSMUSG00000025326",586,538,765,469,637,478
"ENSMUSG00000025328",4,0,0,0,0,0
"ENSMUSG00000025329",15,14,14,11,5,18
"ENSMUSG00000025330",36,34,53,58,35,58
"ENSMUSG00000025332",987,1124,1186,1022,1160,902
"ENSMUSG00000025333",35,16,49,38,19,36
"ENSMUSG00000025337",8380,8979,9168,7657,9566,8598
"ENSMUSG00000025340",50,48,33,46,46,26
"ENSMUSG00000025347",0,2,0,2,0,10
"ENSMUSG00000025348",0,0,0,2,0,0
"ENSMUSG00000025350",0,0,3,6,1,1
"ENSMUSG00000025351",4,4,0,0,2,0
"ENSMUSG00000025352",70,28,27,14,32,36
"ENSMUSG00000025353",100,148,136,91,175,110
"ENSMUSG00000025354",2692,3197,3357,2771,2519,2465
"ENSMUSG00000025355",0,0,2,0,0,0
"ENSMUSG00000025357",9,14,1,1,1,3
"ENSMUSG00000025358",199,186,345,156,140,262
"ENSMUSG00000025359",4,1,3,6,3,2
"ENSMUSG00000025362",92,84,96,101,90,143
"ENSMUSG00000025364",2288,2211,2297,1955,2371,2304
"ENSMUSG00000025366",61,55,156,192,183,160
"ENSMUSG00000025369",208,211,265,258,224,211
"ENSMUSG00000025370",54,47,56,63,49,80
"ENSMUSG00000025371",0,2,0,3,9,0
"ENSMUSG00000025372",72,147,130,76,121,138
"ENSMUSG00000025373",121,121,128,123,89,145
"ENSMUSG00000025374",556,563,644,638,497,636
"ENSMUSG00000025375",0,0,0,0,0,0
"ENSMUSG00000025377",53,18,88,64,90,107
"ENSMUSG00000025380",2,6,0,0,7,7
"ENSMUSG00000025381",75,96,90,85,74,96
"ENSMUSG00000025383",220,263,204,237,275,292
"ENSMUSG00000025384",82,90,150,99,235,156
"ENSMUSG00000025386",4,3,0,22,13,3
"ENSMUSG00000025389",2,1,3,2,15,1
"ENSMUSG00000025393",8549,9303,12296,8827,11303,12650
"ENSMUSG00000025395",289,328,282,267,280,238
"ENSMUSG00000025396",2,0,8,0,3,2
"ENSMUSG00000025400",432,374,665,463,606,760
"ENSMUSG00000025401",12,10,42,18,19,19
"ENSMUSG00000025402",55,147,123,104,138,173
"ENSMUSG00000025403",1597,1568,1733,1079,1437,1843
"ENSMUSG00000025404",1283,1255,1439,1244,1614,1617
"ENSMUSG00000025405",4,3,5,1,0,1
"ENSMUSG00000025407",3,0,0,0,1,1
"ENSMUSG00000025408",551,549,571,468,391,360
"ENSMUSG00000025409",65,68,99,90,39,131
"ENSMUSG00000025410",150,129,181,106,76,157
"ENSMUSG00000025413",583,675,742,699,901,685
"ENSMUSG00000025417",125,135,139,75,159,246
"ENSMUSG00000025418",0,0,0,0,0,0
"ENSMUSG00000025420",866,785,921,837,783,1060
"ENSMUSG00000025421",23,17,46,20,10,23
"ENSMUSG00000025422",1,0,1,2,3,0
"ENSMUSG00000025423",1107,1159,1390,1376,1727,1342
"ENSMUSG00000025425",0,0,0,0,0,0
"ENSMUSG00000025427",351,361,518,288,300,452
"ENSMUSG00000025428",2200,2551,3419,2724,3114,3354
"ENSMUSG00000025429",1609,1976,2292,1534,1706,1834
"ENSMUSG00000025431",7,0,8,0,11,13
"ENSMUSG00000025432",0,0,0,0,0,0
"ENSMUSG00000025433",4,0,3,3,0,0
"ENSMUSG00000025436",486,335,522,477,497,429
"ENSMUSG00000025437",886,900,1007,526,738,848
"ENSMUSG00000025439",1620,1659,1872,1628,1460,1738
"ENSMUSG00000025450",0,1,0,0,0,2
"ENSMUSG00000025451",31759,32645,34113,25646,29513,25975
"ENSMUSG00000025453",4,0,0,0,0,0
"ENSMUSG00000025461",0,0,0,0,0,0
"ENSMUSG00000025464",115,123,248,145,155,271
"ENSMUSG00000025465",2004,1847,2187,1637,1675,2086
"ENSMUSG00000025466",0,0,0,0,0,0
"ENSMUSG00000025467",0,0,0,0,0,0
"ENSMUSG00000025468",0,0,0,0,1,0
"ENSMUSG00000025469",0,8,5,0,0,0
"ENSMUSG00000025470",296,282,394,252,342,398
"ENSMUSG00000025473",18,15,33,26,70,51
"ENSMUSG00000025474",61,80,85,84,181,87
"ENSMUSG00000025475",0,1,0,3,0,1
"ENSMUSG00000025477",416,551,635,435,693,630
"ENSMUSG00000025478",0,0,0,0,0,0
"ENSMUSG00000025479",0,0,3,0,1,1
"ENSMUSG00000025480",21,28,25,23,23,29
"ENSMUSG00000025481",0,0,0,2,0,0
"ENSMUSG00000025482",0,0,0,0,0,0
"ENSMUSG00000025484",27,62,66,28,31,59
"ENSMUSG00000025485",2,4,4,0,0,12
"ENSMUSG00000025486",28,18,35,26,43,56
"ENSMUSG00000025487",9,5,3,12,29,15
"ENSMUSG00000025488",0,0,0,0,0,0
"ENSMUSG00000025489",0,0,0,0,5,0
"ENSMUSG00000025491",0,0,0,3,0,0
"ENSMUSG00000025492",2414,2515,3787,3165,3627,2876
"ENSMUSG00000025494",0,0,0,0,0,0
"ENSMUSG00000025495",126,111,214,111,109,117
"ENSMUSG00000025496",0,0,0,0,0,0
"ENSMUSG00000025497",0,0,0,0,0,5
"ENSMUSG00000025498",0,0,0,0,0,7
"ENSMUSG00000025499",25,28,43,57,45,37
"ENSMUSG00000025500",0,0,8,0,0,0
"ENSMUSG00000025503",913,803,1730,552,1960,1315
"ENSMUSG00000025504",4,5,2,6,5,6
"ENSMUSG00000025505",42,40,58,43,38,40
"ENSMUSG00000025507",3,0,2,2,0,0
"ENSMUSG00000025508",1510,1449,1910,1553,2072,1906
"ENSMUSG00000025509",206,284,399,291,413,421
"ENSMUSG00000025510",46,60,88,45,69,84
"ENSMUSG00000025511",5,1,5,7,12,0
"ENSMUSG00000025512",115,91,84,122,100,83
"ENSMUSG00000025515",0,0,0,0,0,0
"ENSMUSG00000025519",203,196,247,150,202,217
"ENSMUSG00000025521",45,40,55,46,32,40
"ENSMUSG00000025525",357,298,293,303,277,305
"ENSMUSG00000025527",41,9,70,47,71,26
"ENSMUSG00000025528",9,1,6,6,16,9
"ENSMUSG00000025529",0,0,0,0,8,0
"ENSMUSG00000025531",115,93,95,112,135,71
"ENSMUSG00000025532",124,185,186,95,53,121
"ENSMUSG00000025533",10,5,10,13,4,16
"ENSMUSG00000025534",1,0,9,14,21,8
"ENSMUSG00000025537",39,28,24,28,44,30
"ENSMUSG00000025538",60,24,68,75,44,59
"ENSMUSG00000025544",15381,16371,21902,13189,19577,20255
"ENSMUSG00000025545",1249,1327,1448,1390,1116,1118
"ENSMUSG00000025551",0,0,0,0,1,0
"ENSMUSG00000025555",215,252,310,237,301,338
"ENSMUSG00000025557",8,5,10,8,15,16
"ENSMUSG00000025558",525,751,798,665,782,616
"ENSMUSG00000025571",367,473,596,501,765,800
"ENSMUSG00000025572",0,0,0,0,0,1
"ENSMUSG00000025573",0,0,0,0,0,0
"ENSMUSG00000025574",579,484,512,413,459,672
"ENSMUSG00000025575",392,441,605,421,541,407
"ENSMUSG00000025576",0,1,2,1,6,1
"ENSMUSG00000025577",494,583,873,437,762,808
"ENSMUSG00000025578",5,10,14,2,5,22
"ENSMUSG00000025579",63,108,194,133,204,176
"ENSMUSG00000025580",1454,1441,1713,1420,1675,1956
"ENSMUSG00000025582",0,0,5,0,8,0
"ENSMUSG00000025583",97,93,142,134,88,136
"ENSMUSG00000025584",583,565,737,515,697,578
"ENSMUSG00000025586",3020,3422,4847,3033,4295,4623
"ENSMUSG00000025588",0,0,0,0,0,0
"ENSMUSG00000025591",141,109,84,81,130,132
"ENSMUSG00000025592",30,18,40,93,9,31
"ENSMUSG00000025597",0,3,0,0,5,11
"ENSMUSG00000025602",0,11,0,7,1,10
"ENSMUSG00000025607",492,615,514,348,682,486
"ENSMUSG00000025608",0,0,0,0,0,0
"ENSMUSG00000025609",8279,9308,9819,8368,10106,9907
"ENSMUSG00000025610",43,68,87,81,102,104
"ENSMUSG00000025612",299,153,294,259,250,216
"ENSMUSG00000025613",3813,3985,4323,3113,4012,3888
"ENSMUSG00000025616",5240,6197,7728,6046,7730,6813
"ENSMUSG00000025626",4430,4171,4362,3746,3546,3718
"ENSMUSG00000025630",5981,5942,6861,5208,6147,4981
"ENSMUSG00000025644",4,1,7,2,1,1
"ENSMUSG00000025645",0,0,0,4,0,0
"ENSMUSG00000025646",45,60,75,58,71,42
"ENSMUSG00000025647",512,469,657,488,567,638
"ENSMUSG00000025648",0,0,2,4,1,7
"ENSMUSG00000025650",3,0,2,3,0,7
"ENSMUSG00000025651",20,15,34,30,30,43
"ENSMUSG00000025652",0,0,0,0,0,0
"ENSMUSG00000025656",1,0,2,4,0,0
"ENSMUSG00000025658",16,32,24,35,30,8
"ENSMUSG00000025665",744,1065,987,530,836,702
