"","GSM6996077","GSM6996078","GSM6996079","GSM6996080","GSM6996081","GSM6996082"
"ENSMUSG00000001665",29,34,25,30,26,25
"ENSMUSG00000001666",6,2,7,6,2,4
"ENSMUSG00000001670",12,24,8,58,7,2
"ENSMUSG00000001672",0,0,0,0,0,0
"ENSMUSG00000001674",272,180,268,279,283,260
"ENSMUSG00000001687",1081,843,904,995,1055,883
"ENSMUSG00000001700",267,235,301,296,282,211
"ENSMUSG00000001707",175,209,197,212,198,140
"ENSMUSG00000001729",2313,1567,2120,2168,2450,2070
"ENSMUSG00000001739",148,45,55,44,35,57
"ENSMUSG00000001741",169,99,117,201,126,107
"ENSMUSG00000001750",316,253,304,209,210,209
"ENSMUSG00000001751",130,96,161,122,115,116
"ENSMUSG00000001755",222,184,198,203,187,160
"ENSMUSG00000001761",299,218,254,197,210,181
"ENSMUSG00000001763",41,23,25,23,21,22
"ENSMUSG00000001767",338,312,319,384,391,331
"ENSMUSG00000001768",583,397,413,544,413,361
"ENSMUSG00000001773",12,0,0,0,1,0
"ENSMUSG00000001774",1145,980,1011,930,980,888
"ENSMUSG00000001783",1033,876,1085,1104,1025,941
"ENSMUSG00000001785",314,244,301,295,259,268
"ENSMUSG00000001786",229,147,233,183,156,197
"ENSMUSG00000001794",3467,3330,4032,3725,3315,2890
"ENSMUSG00000001802",140,95,132,120,106,124
"ENSMUSG00000001804",0,0,0,0,0,3
"ENSMUSG00000001815",0,0,0,0,0,0
"ENSMUSG00000001819",0,0,0,0,0,0
"ENSMUSG00000001823",0,0,0,0,0,0
"ENSMUSG00000001827",0,0,0,0,0,0
"ENSMUSG00000001829",934,819,1109,1009,1018,1152
"ENSMUSG00000001833",2638,2069,1980,2592,2636,2215
"ENSMUSG00000001844",231,191,254,192,147,174
"ENSMUSG00000001847",2822,2492,2633,2368,2389,2358
"ENSMUSG00000001855",324,204,333,263,246,308
"ENSMUSG00000001864",104,29,84,37,39,26
"ENSMUSG00000001865",8,24,3,10,31,21
"ENSMUSG00000001870",876,711,608,688,712,714
"ENSMUSG00000001891",5230,4199,5320,6216,6506,4965
"ENSMUSG00000001901",4,4,2,0,2,0
"ENSMUSG00000001909",419,405,482,342,317,267
"ENSMUSG00000001910",542,299,484,552,530,511
"ENSMUSG00000001911",1323,613,943,1155,1143,1283
"ENSMUSG00000001918",476,443,388,240,261,202
"ENSMUSG00000001924",2581,1257,2700,2688,2555,2891
"ENSMUSG00000001930",902,337,557,890,408,457
"ENSMUSG00000001942",362,212,246,263,279,265
"ENSMUSG00000001943",200,113,196,102,199,255
"ENSMUSG00000001946",1007,752,999,908,907,908
"ENSMUSG00000001948",40,55,41,30,32,32
"ENSMUSG00000001962",356,316,341,299,255,269
"ENSMUSG00000001964",413,326,488,440,380,371
"ENSMUSG00000001983",514,257,450,533,631,655
"ENSMUSG00000001985",15,2,3,1,9,5
"ENSMUSG00000001986",41,33,36,14,17,16
"ENSMUSG00000001988",0,0,0,0,0,0
"ENSMUSG00000001995",907,501,775,819,792,895
"ENSMUSG00000001998",210,120,142,135,143,165
"ENSMUSG00000001999",240,207,216,267,226,141
"ENSMUSG00000002006",58,42,42,13,29,21
"ENSMUSG00000002007",575,386,554,552,427,526
"ENSMUSG00000002010",6350,6137,7232,7347,6854,5897
"ENSMUSG00000002012",117,124,120,110,115,97
"ENSMUSG00000002014",568,578,563,520,451,398
"ENSMUSG00000002015",926,844,925,875,803,669
"ENSMUSG00000002017",872,720,849,875,839,678
"ENSMUSG00000002020",82,23,48,25,16,22
"ENSMUSG00000002028",1076,509,780,611,726,874
"ENSMUSG00000002031",233,175,219,217,151,117
"ENSMUSG00000002032",144,141,139,146,207,155
"ENSMUSG00000002033",45,10,4,3,2,5
"ENSMUSG00000002043",91,116,126,123,90,90
"ENSMUSG00000002052",915,434,864,693,728,866
"ENSMUSG00000002055",30,11,5,39,11,10
"ENSMUSG00000002057",0,0,0,0,1,0
"ENSMUSG00000002058",56,62,57,53,36,43
"ENSMUSG00000002059",180,121,167,126,104,98
"ENSMUSG00000002064",590,715,742,617,597,471
"ENSMUSG00000002068",17,10,18,24,17,14
"ENSMUSG00000002076",8,5,8,3,11,4
"ENSMUSG00000002083",32,39,36,48,26,26
"ENSMUSG00000002100",33802,23865,40460,41507,36106,37907
"ENSMUSG00000002102",2252,2942,2854,2894,2622,2001
"ENSMUSG00000002103",482,378,433,466,415,397
"ENSMUSG00000002104",177,191,225,170,154,191
"ENSMUSG00000002105",552,295,516,335,297,319
"ENSMUSG00000002107",1042,764,865,837,765,814
"ENSMUSG00000002108",272,319,319,281,257,201
"ENSMUSG00000002109",123,102,132,118,107,128
"ENSMUSG00000002111",49,41,42,73,44,30
"ENSMUSG00000002129",575,372,494,508,464,488
"ENSMUSG00000002147",1059,713,1068,910,856,839
"ENSMUSG00000002190",0,2,2,3,0,1
"ENSMUSG00000002204",3,2,6,13,1,6
"ENSMUSG00000002205",283,225,324,230,280,246
"ENSMUSG00000002210",135,136,150,122,82,105
"ENSMUSG00000002221",322,273,350,307,261,286
"ENSMUSG00000002222",2426,1824,1929,2027,2104,2013
"ENSMUSG00000002227",135,103,199,127,87,99
"ENSMUSG00000002228",307,244,294,270,243,227
"ENSMUSG00000002233",635,519,727,730,601,448
"ENSMUSG00000002240",0,0,0,0,0,0
"ENSMUSG00000002249",302,250,337,237,208,175
"ENSMUSG00000002250",294,160,275,297,240,299
"ENSMUSG00000002257",43,28,32,34,24,19
"ENSMUSG00000002265",1055,243,702,178,187,241
"ENSMUSG00000002266",68,45,55,72,57,46
"ENSMUSG00000002274",155,164,171,174,169,123
"ENSMUSG00000002279",334,259,322,357,270,297
"ENSMUSG00000002280",494,611,591,624,555,531
"ENSMUSG00000002289",156,264,131,187,208,100
"ENSMUSG00000002297",35,36,27,40,36,20
"ENSMUSG00000002307",233,129,209,198,182,186
"ENSMUSG00000002308",239,310,283,219,189,159
"ENSMUSG00000002319",204,209,267,200,168,165
"ENSMUSG00000002320",428,205,359,331,330,336
"ENSMUSG00000002324",3,0,6,4,4,8
"ENSMUSG00000002325",412,328,438,433,343,321
"ENSMUSG00000002326",229,185,187,193,198,150
"ENSMUSG00000002329",646,742,774,773,675,664
"ENSMUSG00000002332",384,285,442,402,375,332
"ENSMUSG00000002341",0,0,0,0,0,0
"ENSMUSG00000002342",985,895,1023,937,860,783
"ENSMUSG00000002343",121,88,118,111,101,113
"ENSMUSG00000002345",88,52,100,83,68,82
"ENSMUSG00000002346",1143,908,1372,895,1106,991
"ENSMUSG00000002365",528,424,501,563,475,498
"ENSMUSG00000002372",557,413,582,507,442,439
"ENSMUSG00000002379",2557,3420,3353,3327,3024,2076
"ENSMUSG00000002384",0,0,4,0,0,0
"ENSMUSG00000002393",430,562,472,500,428,342
"ENSMUSG00000002395",777,1317,1027,968,899,616
"ENSMUSG00000002396",126,168,198,132,119,117
"ENSMUSG00000002409",181,95,167,134,137,176
"ENSMUSG00000002413",561,322,421,411,401,385
"ENSMUSG00000002416",96,61,67,74,82,57
"ENSMUSG00000002428",528,420,499,439,422,321
"ENSMUSG00000002455",684,489,749,610,559,579
"ENSMUSG00000002458",98,57,59,69,61,72
"ENSMUSG00000002459",0,0,0,0,1,1
"ENSMUSG00000002475",66,65,75,59,62,52
"ENSMUSG00000002477",225,232,216,256,203,193
"ENSMUSG00000002486",102,71,130,111,78,77
"ENSMUSG00000002489",81,40,59,65,80,49
"ENSMUSG00000002496",1269,910,1537,1126,1239,1461
"ENSMUSG00000002500",2043,3556,2806,3174,3203,3027
"ENSMUSG00000002504",1220,837,1449,1139,1057,1119
"ENSMUSG00000002524",771,709,927,802,743,670
"ENSMUSG00000002546",1486,950,1471,1193,1157,1185
"ENSMUSG00000002550",313,294,322,296,270,236
"ENSMUSG00000002565",72,51,76,86,76,77
"ENSMUSG00000002578",19,11,8,13,8,12
"ENSMUSG00000002580",311,424,399,381,328,251
"ENSMUSG00000002588",0,27,1,32,2,0
"ENSMUSG00000002602",1920,1233,1491,1279,1105,976
"ENSMUSG00000002603",272,154,205,215,232,220
"ENSMUSG00000002608",658,484,714,575,552,655
"ENSMUSG00000002617",98,48,65,90,85,57
"ENSMUSG00000002625",854,718,865,846,719,753
"ENSMUSG00000002633",0,0,0,0,0,0
"ENSMUSG00000002635",170,192,179,192,160,148
"ENSMUSG00000002658",339,276,417,378,351,298
"ENSMUSG00000002660",479,699,666,548,512,423
"ENSMUSG00000002661",304,376,366,434,364,262
"ENSMUSG00000002664",1,0,0,0,0,0
"ENSMUSG00000002668",73,50,39,69,47,34
"ENSMUSG00000002679",143,160,172,166,150,105
"ENSMUSG00000002688",92,100,104,83,88,86
"ENSMUSG00000002699",60,36,33,45,37,17
"ENSMUSG00000002718",1089,779,871,1070,1169,929
"ENSMUSG00000002728",906,1060,869,1127,932,727
"ENSMUSG00000002731",248,225,244,258,258,200
"ENSMUSG00000002732",413,268,256,219,240,176
"ENSMUSG00000002733",410,277,336,345,316,289
"ENSMUSG00000002741",1047,691,1067,996,900,919
"ENSMUSG00000002748",1599,1291,1615,1251,1325,1405
"ENSMUSG00000002763",603,703,781,559,514,582
"ENSMUSG00000002767",663,760,808,774,782,669
"ENSMUSG00000002768",237,269,232,263,225,166
"ENSMUSG00000002769",18,37,21,60,33,27
"ENSMUSG00000002771",28,12,16,10,10,22
"ENSMUSG00000002778",1320,1179,1417,1204,1098,1056
"ENSMUSG00000002781",1003,751,1047,1067,1231,1151
"ENSMUSG00000002791",0,0,0,0,0,0
"ENSMUSG00000002797",306,230,335,226,236,214
"ENSMUSG00000002799",549,322,522,462,441,461
"ENSMUSG00000002803",256,276,292,251,237,204
"ENSMUSG00000002804",47,67,57,49,44,35
"ENSMUSG00000002808",437,368,385,446,441,388
"ENSMUSG00000002812",1470,912,1646,1423,1327,1674
"ENSMUSG00000002814",98,74,88,107,72,72
"ENSMUSG00000002820",567,730,754,626,630,539
"ENSMUSG00000002825",102,74,122,108,97,56
"ENSMUSG00000002831",3225,2594,4302,2145,2549,3263
"ENSMUSG00000002833",464,473,629,540,501,482
"ENSMUSG00000002835",53,59,48,47,44,39
"ENSMUSG00000002844",460,435,475,507,414,450
"ENSMUSG00000002845",320,174,289,243,161,185
"ENSMUSG00000002846",512,544,612,589,593,477
"ENSMUSG00000002847",138,139,154,207,138,119
"ENSMUSG00000002870",130,65,86,136,64,104
"ENSMUSG00000002871",333,330,439,397,347,352
"ENSMUSG00000002881",517,420,423,461,505,428
"ENSMUSG00000002885",656,330,582,649,617,610
"ENSMUSG00000002897",96,60,53,45,50,60
"ENSMUSG00000002900",1678,1106,1169,1652,1510,1519
"ENSMUSG00000002908",165,215,239,227,216,207
"ENSMUSG00000002910",302,199,365,104,121,202
"ENSMUSG00000002930",0,0,0,0,0,0
"ENSMUSG00000002944",23798,24242,22208,27479,31944,27644
"ENSMUSG00000002948",596,463,629,556,584,489
"ENSMUSG00000002949",1159,1144,1280,1285,1248,1001
"ENSMUSG00000002957",918,947,1003,994,876,884
"ENSMUSG00000002963",233,200,295,231,226,184
"ENSMUSG00000002968",736,588,894,698,663,657
"ENSMUSG00000002980",3424,2345,3073,2549,2454,2622
"ENSMUSG00000002981",1271,997,1387,1347,1310,1310
"ENSMUSG00000002983",125,88,127,158,73,92
"ENSMUSG00000002984",704,659,832,696,735,572
"ENSMUSG00000002985",4541,3463,3899,4024,2513,2044
"ENSMUSG00000002992",0,0,0,0,0,0
"ENSMUSG00000002996",1615,1507,1358,1547,1660,1389
"ENSMUSG00000002997",225,131,35,34,20,15
"ENSMUSG00000003031",783,544,628,604,611,551
"ENSMUSG00000003032",777,567,640,434,700,725
"ENSMUSG00000003033",715,471,717,666,623,609
"ENSMUSG00000003037",392,378,427,401,341,266
"ENSMUSG00000003038",896,1237,1030,1059,961,891
"ENSMUSG00000003039",518,511,515,495,458,367
"ENSMUSG00000003051",1,0,0,0,0,0
"ENSMUSG00000003053",0,9,0,49,1,0
"ENSMUSG00000003062",195,207,231,145,138,178
"ENSMUSG00000003068",1597,1677,1839,1482,1428,1275
"ENSMUSG00000003070",18,22,10,11,23,10
"ENSMUSG00000003072",5078,6162,6325,6017,5112,4493
"ENSMUSG00000003099",883,648,893,855,906,869
"ENSMUSG00000003119",340,142,243,208,263,283
"ENSMUSG00000003123",884,758,836,628,671,748
