"","RR1_GST-R_FLT_M23","RR1_GST-R_FLT_M24","RR1_GST-R_FLT_M25","RR1_GST-R_FLT_M26","RR1_GST-R_GC_M33","RR1_GST-R_GC_M34","RR1_GST-R_GC_M35","RR1_GST-R_GC_M36","RR1_GST-R_GC_M37","RR1_GST-R_GC_M38","RR1_GST-R_GC_M39","RR1_GST-R_GC_M40"
"ENSMUSG00000052854",0,8,15,0,0,0,0,2,9,0,0,0
"ENSMUSG00000052861",0,0,0,0,0,0,0,8,0,0,0,0
"ENSMUSG00000052865",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052889",6,50,1,0,52,0,4,9,4,4,10,2
"ENSMUSG00000052906",112,25,20,13,24,0,35,66,79,0,43,15
"ENSMUSG00000052909",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052911",556,607,321,237,545,262,388,606,617,264,245,253
"ENSMUSG00000052912",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052914",46,86,15,1,26,10,0,78,1,1,13,10
"ENSMUSG00000052915",531,495,435,386,617,166,292,646,589,276,183,287
"ENSMUSG00000052917",80,287,103,140,318,107,136,350,272,151,122,131
"ENSMUSG00000052920",684,815,324,216,492,202,195,698,575,85,331,340
"ENSMUSG00000052921",103,6,76,17,69,17,0,44,126,22,18,37
"ENSMUSG00000052922",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052926",114,31,151,40,112,42,113,111,130,74,56,81
"ENSMUSG00000052928",69,34,22,36,17,15,23,117,1,3,4,51
"ENSMUSG00000052934",1044,769,857,744,909,316,853,1250,1022,522,531,572
"ENSMUSG00000052942",8,22,0,0,0,0,0,0,0,0,3,0
"ENSMUSG00000052949",38,30,38,34,114,12,30,155,38,53,2,57
"ENSMUSG00000052951",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052955",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052957",207,464,447,324,690,93,205,469,392,350,132,218
"ENSMUSG00000052962",690,699,725,427,738,348,317,1216,934,518,486,460
"ENSMUSG00000052974",0,177,17,46,0,0,0,26,92,0,0,0
"ENSMUSG00000052981",36,20,14,1,0,0,0,0,8,0,0,0
"ENSMUSG00000052997",220,156,396,173,251,108,166,349,232,120,127,174
"ENSMUSG00000053004",0,0,0,0,30,0,0,21,6,15,0,0
"ENSMUSG00000053007",54,120,22,22,69,7,5,115,143,52,43,50
"ENSMUSG00000053012",425,382,534,321,360,118,86,333,337,201,166,129
"ENSMUSG00000053024",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053025",1,5,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053030",0,0,0,22,0,0,0,17,0,0,0,0
"ENSMUSG00000053038",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000053040",2,34,0,0,49,0,4,6,15,39,16,0
"ENSMUSG00000053044",1,1,0,1,0,0,1,2,1,0,3,1
"ENSMUSG00000053046",0,12,0,0,0,0,0,0,0,0,0,7
"ENSMUSG00000053049",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053054",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053062",303,274,192,118,327,118,163,275,370,138,138,120
"ENSMUSG00000053063",4,0,0,1,2,17,0,0,0,0,39,1
"ENSMUSG00000053070",0,0,22,0,0,0,0,0,12,0,0,0
"ENSMUSG00000053080",1,32,0,13,5,0,13,1,69,33,23,0
"ENSMUSG00000053081",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053091",68,35,0,5,70,0,3,54,21,16,6,1
"ENSMUSG00000053093",3192,3123,680,305,3661,1364,2253,3843,4013,211,2439,429
"ENSMUSG00000053094",618,426,404,179,546,59,202,638,505,238,199,289
"ENSMUSG00000053101",0,0,0,0,0,0,0,0,0,22,0,0
"ENSMUSG00000053110",128,120,179,221,379,15,184,299,264,55,166,78
"ENSMUSG00000053111",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053113",0,38,24,17,7,0,0,3,7,28,0,0
"ENSMUSG00000053117",6,2,16,0,1,3,0,31,10,26,0,0
"ENSMUSG00000053119",348,191,283,227,392,126,252,496,421,242,141,286
"ENSMUSG00000053121",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053128",29,61,26,5,0,0,27,24,40,3,30,14
"ENSMUSG00000053129",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053134",121,226,237,120,107,12,99,291,122,69,86,113
"ENSMUSG00000053137",0,0,3,0,0,0,0,0,1,0,0,0
"ENSMUSG00000053141",0,25,31,0,2,0,0,0,0,0,0,13
"ENSMUSG00000053146",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053153",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053158",0,35,8,52,1,0,29,0,4,0,17,0
"ENSMUSG00000053161",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053164",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053166",4,0,2,1,16,1,0,5,0,0,0,0
"ENSMUSG00000053168",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053173",3,1,7,1,3,2,1,3,6,4,1,1
"ENSMUSG00000053175",0,19,0,0,0,0,0,0,0,0,2,1
"ENSMUSG00000053178",0,0,0,13,12,1,2,2,6,0,18,0
"ENSMUSG00000053181",0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053182",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053184",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053185",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053192",431,482,795,512,665,260,363,1259,607,496,361,439
"ENSMUSG00000053194",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053198",116,203,105,94,35,39,47,33,273,18,24,68
"ENSMUSG00000053199",1126,1007,1177,1047,1050,220,691,1592,1172,549,327,676
"ENSMUSG00000053205",137,194,141,197,137,24,56,185,105,90,59,91
"ENSMUSG00000053208",0,0,1,0,0,0,0,0,1,0,0,0
"ENSMUSG00000053211",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053214",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053217",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053219",0,0,0,0,0,0,0,4,1,0,0,0
"ENSMUSG00000053226",213,91,203,89,198,64,25,152,176,59,38,244
"ENSMUSG00000053228",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053251",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053253",254,318,208,165,252,26,71,175,340,39,124,96
"ENSMUSG00000053263",1,5,0,0,7,0,0,24,0,4,0,0
"ENSMUSG00000053268",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053279",763,593,557,472,507,302,389,1442,680,266,224,710
"ENSMUSG00000053286",219,75,243,109,93,14,147,208,185,47,99,51
"ENSMUSG00000053287",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053289",129,163,133,109,160,25,40,286,225,62,43,143
"ENSMUSG00000053291",0,0,0,0,0,0,0,3,0,7,0,0
"ENSMUSG00000053293",47,151,73,21,157,18,34,103,63,78,23,39
"ENSMUSG00000053297",27,1,0,4,1,2,25,0,0,0,0,1
"ENSMUSG00000053303",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053310",1,49,3,7,59,0,19,18,2,0,0,0
"ENSMUSG00000053317",1182,928,1085,684,1479,329,410,1571,1047,839,316,409
"ENSMUSG00000053318",0,0,0,0,8,1,0,0,0,0,0,0
"ENSMUSG00000053329",1592,1304,1416,1102,1716,644,749,2318,2399,885,668,628
"ENSMUSG00000053332",1923,2342,2136,2066,2401,1047,1554,3859,3930,1864,1195,1287
"ENSMUSG00000053333",97,65,75,37,42,14,5,125,42,160,33,1
"ENSMUSG00000053334",70,0,73,45,71,0,27,165,27,33,12,28
"ENSMUSG00000053338",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053347",241,67,124,228,182,109,151,127,241,96,132,103
"ENSMUSG00000053353",0,0,0,1,74,0,0,1,13,0,36,0
"ENSMUSG00000053358",0,4,1,0,1,0,0,0,0,0,0,27
"ENSMUSG00000053360",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053367",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053368",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053375",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053388",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053389",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053390",193,233,117,85,63,3,18,178,106,23,57,49
"ENSMUSG00000053391",0,11,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053395",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053398",0,10,6,20,0,0,0,38,6,0,28,0
"ENSMUSG00000053399",0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000053411",80,126,79,57,79,47,37,170,340,122,63,80
"ENSMUSG00000053414",0,0,0,0,0,0,1,24,58,0,0,0
"ENSMUSG00000053420",0,0,0,0,0,0,0,0,0,0,0,24
"ENSMUSG00000053436",510,474,363,309,479,135,221,679,447,99,84,387
"ENSMUSG00000053441",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053442",4,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000053453",2212,2024,2025,2154,2745,839,1142,3383,3083,1402,967,1465
"ENSMUSG00000053460",80,88,0,51,22,8,35,20,36,7,5,57
"ENSMUSG00000053461",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053465",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053469",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053470",46,128,16,32,96,2,48,85,128,20,22,20
"ENSMUSG00000053472",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053475",54,88,32,44,44,0,12,22,89,14,2,7
"ENSMUSG00000053477",1434,1829,1298,1412,1396,484,551,1970,1934,639,721,722
"ENSMUSG00000053483",170,112,151,122,136,40,135,288,58,108,118,168
"ENSMUSG00000053490",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053499",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053508",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053510",1501,896,1168,1013,1085,525,635,1923,1790,637,605,875
"ENSMUSG00000053519",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053522",0,0,0,0,8,0,0,0,0,0,0,0
"ENSMUSG00000053528",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053536",116,203,137,254,199,90,6,252,132,76,64,302
"ENSMUSG00000053541",0,0,1,0,0,0,0,0,23,0,0,0
"ENSMUSG00000053545",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053550",18,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000053552",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053553",79,133,71,39,100,36,42,104,363,82,42,57
"ENSMUSG00000053559",24,0,0,26,4,27,0,24,52,31,121,2
"ENSMUSG00000053560",262,80,145,133,243,86,74,394,635,184,81,58
"ENSMUSG00000053565",1613,1486,1108,1258,1772,707,1104,2411,2592,1191,691,1007
"ENSMUSG00000053574",0,8,0,0,32,0,0,0,0,0,5,0
"ENSMUSG00000053580",88,35,53,36,125,0,104,12,118,45,43,47
"ENSMUSG00000053581",11,21,75,0,24,0,1,11,75,63,11,21
"ENSMUSG00000053588",0,2,0,0,0,0,3,0,6,2,1,0
"ENSMUSG00000053593",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053600",9,0,24,3,24,0,0,31,19,18,45,0
"ENSMUSG00000053603",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000053604",122,48,112,123,146,27,42,120,275,131,34,66
"ENSMUSG00000053613",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053615",0,1,9,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053617",393,341,181,286,394,80,112,413,384,102,98,69
"ENSMUSG00000053624",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053626",0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000053640",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053641",14,22,44,25,18,0,35,55,3,3,1,0
"ENSMUSG00000053644",276,103,133,187,287,76,175,189,215,113,117,253
"ENSMUSG00000053646",2,0,0,28,0,23,21,0,0,2,25,0
"ENSMUSG00000053647",0,3,56,7,32,0,0,0,0,0,0,25
"ENSMUSG00000053654",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053675",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053678",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053684",15,0,10,10,0,0,3,40,7,0,0,0
"ENSMUSG00000053687",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053693",26,2,1,0,0,0,0,0,2,0,0,0
"ENSMUSG00000053695",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053702",0,43,49,0,2,15,0,1,31,0,3,27
"ENSMUSG00000053714",117,50,0,33,25,10,13,47,63,30,24,25
"ENSMUSG00000053716",126,138,185,118,259,30,26,352,417,119,69,93
"ENSMUSG00000053719",0,0,0,24,0,0,35,38,0,0,0,0
"ENSMUSG00000053720",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053729",27,13,0,0,10,0,20,27,0,23,29,28
"ENSMUSG00000053730",26,29,30,4,24,0,22,4,4,42,5,29
"ENSMUSG00000053740",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053742",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053746",47,0,1,22,0,5,41,0,1,0,0,1
"ENSMUSG00000053747",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053749",0,1,0,1,0,0,0,0,17,0,0,0
"ENSMUSG00000053754",321,359,486,180,102,78,114,350,461,114,104,242
"ENSMUSG00000053765",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053768",2679,2722,2713,2373,3081,1112,1821,5646,4397,1749,1641,2262
"ENSMUSG00000053769",26,52,22,56,77,14,14,39,34,36,45,32
"ENSMUSG00000053773",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053774",65,83,31,110,74,22,46,110,134,21,15,103
"ENSMUSG00000053783",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053790",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053797",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053799",600,683,313,443,805,227,198,847,731,402,321,270
"ENSMUSG00000053801",104,72,31,71,53,23,64,121,16,56,53,78
"ENSMUSG00000053815",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053819",592,780,919,804,928,152,328,1259,915,571,400,385
"ENSMUSG00000053820",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053821",0,0,5,0,0,0,0,1,0,0,0,0
"ENSMUSG00000053825",0,4,27,23,0,0,0,0,14,0,0,0
"ENSMUSG00000053830",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053835",20,0,0,1,14,19,0,1,0,5,0,4
"ENSMUSG00000053838",624,599,542,452,642,116,323,865,586,401,228,445
"ENSMUSG00000053841",96,240,2,89,85,62,1,83,76,25,48,5
"ENSMUSG00000053846",0,0,0,0,0,0,0,10,0,0,0,0
"ENSMUSG00000053852",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053856",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053862",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053863",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053868",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053870",102,19,23,8,31,0,69,142,83,15,14,45
"ENSMUSG00000053873",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053877",14,0,26,61,27,7,19,5,15,0,54,0
"ENSMUSG00000053886",161,120,106,71,94,25,0,77,21,22,171,11
"ENSMUSG00000053889",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053896",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053897",15,0,22,0,0,0,24,14,1,22,0,1
"ENSMUSG00000053898",3030,2643,2100,1717,3289,1193,1781,5734,5068,958,1869,1525
"ENSMUSG00000053907",624,794,644,559,950,238,609,1359,1036,427,440,613
"ENSMUSG00000053909",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053914",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053916",0,1,3,0,4,0,0,9,0,0,1,0
"ENSMUSG00000053925",0,0,1,0,20,0,1,0,0,0,0,0
"ENSMUSG00000053929",33,42,28,29,16,22,52,102,70,47,6,4
"ENSMUSG00000053930",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000053931",246,285,163,54,203,30,49,333,287,66,78,79
"ENSMUSG00000053950",37,0,22,27,0,0,17,3,39,0,0,31
"ENSMUSG00000053957",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053961",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053963",0,0,1,3,0,12,9,0,6,2,4,0
"ENSMUSG00000053964",12,1,0,0,20,5,0,0,0,12,1,0
"ENSMUSG00000053965",13,44,22,40,60,21,38,66,65,4,0,0
"ENSMUSG00000053977",2,0,1,1,1,2,1,0,1,0,1,0
"ENSMUSG00000053979",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053980",0,0,0,0,0,0,0,0,16,0,0,0
"ENSMUSG00000053985",26,0,20,0,10,0,25,54,25,0,0,54
"ENSMUSG00000054000",20,21,2,15,10,6,0,8,7,0,4,0
"ENSMUSG00000054003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054005",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054006",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054008",247,305,240,71,207,75,89,381,253,45,103,91
"ENSMUSG00000054013",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054021",125,128,34,38,68,30,38,34,76,1,28,17
"ENSMUSG00000054027",237,118,106,252,259,13,105,182,297,111,107,126
"ENSMUSG00000054031",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054033",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054034",322,287,317,277,315,62,136,507,460,197,241,269
"ENSMUSG00000054036",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054046",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054051",71,16,5,30,0,0,0,61,37,29,16,22
"ENSMUSG00000054052",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054054",0,15,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054057",1,0,19,18,0,0,1,0,1,0,0,0
"ENSMUSG00000054061",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054065",2,0,0,0,7,0,0,0,1,0,0,0
"ENSMUSG00000054069",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054072",16,140,133,81,98,11,73,80,186,114,46,4
"ENSMUSG00000054074",0,15,0,0,0,0,0,0,32,0,0,0
"ENSMUSG00000054079",64,57,103,34,125,43,32,158,76,115,99,54
"ENSMUSG00000054083",6,6,0,0,3,0,0,76,7,0,0,0
"ENSMUSG00000054087",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054091",847,569,606,609,770,285,451,790,974,547,338,568
"ENSMUSG00000054099",35,22,11,15,68,1,0,95,40,10,0,17
"ENSMUSG00000054102",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054106",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000054115",85,0,0,13,0,5,0,0,1,0,0,0
"ENSMUSG00000054116",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054117",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054128",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054134",0,41,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054135",0,0,0,5,0,0,0,0,0,0,0,0
"ENSMUSG00000054136",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000054141",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054142",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054146",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054150",31,45,3,20,13,0,0,42,7,13,0,2
"ENSMUSG00000054156",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054160",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054161",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000054162",0,0,0,0,0,0,0,8,0,0,0,0
"ENSMUSG00000054169",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054181",20,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054191",0,1,1,6,1,0,0,0,22,1,0,18
"ENSMUSG00000054196",0,2,0,0,1,0,1,0,0,17,0,0
"ENSMUSG00000054199",61,101,55,17,52,7,4,114,82,51,94,2
"ENSMUSG00000054200",0,0,0,0,0,0,0,0,0,0,0,24
"ENSMUSG00000054203",53,42,71,8,28,40,6,28,42,13,27,38
"ENSMUSG00000054204",4,23,14,4,29,0,24,4,0,3,0,1
"ENSMUSG00000054206",44,38,35,60,129,27,11,111,81,22,14,27
"ENSMUSG00000054215",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054226",156,131,240,248,209,95,70,236,336,263,46,96
"ENSMUSG00000054236",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054237",385,204,275,121,530,46,47,481,425,270,151,248
"ENSMUSG00000054247",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054252",20,11,14,4,1,0,0,0,0,1,0,0
"ENSMUSG00000054256",0,68,0,1,0,0,0,0,7,0,0,0
"ENSMUSG00000054258",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054263",371,372,350,493,444,217,221,820,822,194,168,300
"ENSMUSG00000054266",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054272",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054277",33,61,34,39,17,37,14,49,26,40,5,48
"ENSMUSG00000054280",69,70,34,97,63,0,40,92,139,63,105,8
"ENSMUSG00000054293",0,0,0,0,0,0,0,19,1,0,0,0
"ENSMUSG00000054302",661,574,553,450,911,201,513,982,875,436,399,569
"ENSMUSG00000054309",154,103,92,34,81,66,171,234,74,46,50,34
"ENSMUSG00000054310",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054312",3998,3265,3409,3025,4160,1356,2072,5730,5811,2581,1987,2379
"ENSMUSG00000054320",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054321",50,29,17,54,48,0,0,82,0,10,0,17
"ENSMUSG00000054325",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054342",0,18,0,1,0,0,0,1,32,0,0,1
"ENSMUSG00000054351",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054360",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054362",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054364",673,433,680,305,483,190,337,739,771,376,297,363
"ENSMUSG00000054381",0,1,16,1,0,0,0,20,1,11,0,0
"ENSMUSG00000054383",0,0,0,0,0,0,0,0,3,0,0,0
"ENSMUSG00000054385",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054387",71,118,52,96,62,19,65,218,192,61,17,42
"ENSMUSG00000054391",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054400",1,0,24,19,1,0,12,22,19,22,0,0
"ENSMUSG00000054404",406,328,374,254,458,60,191,673,440,185,112,148
"ENSMUSG00000054405",1219,875,942,509,1091,576,415,1501,1477,603,565,759
"ENSMUSG00000054406",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054408",184,205,212,245,279,59,147,409,417,185,136,318
"ENSMUSG00000054409",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054412",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054414",18,15,10,5,44,0,33,7,56,20,36,1
"ENSMUSG00000054417",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054418",0,0,21,2,1,0,1,0,6,0,8,19
"ENSMUSG00000054422",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000054423",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054426",442,465,227,249,328,145,208,474,531,65,320,203
"ENSMUSG00000054428",636,977,504,403,770,168,412,687,910,573,546,336
"ENSMUSG00000054431",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054434",42,52,77,17,37,28,34,116,119,1,73,23
"ENSMUSG00000054435",84,62,1,26,27,3,34,98,55,2,49,0
"ENSMUSG00000054446",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054450",0,0,1,2,0,0,0,13,0,0,0,0
"ENSMUSG00000054452",5577,4175,3753,3722,5775,1747,3368,6360,7136,2768,2468,3440
"ENSMUSG00000054453",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054455",1559,1826,1635,1573,1780,559,702,2973,2656,1230,717,1310
"ENSMUSG00000054457",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054459",25,29,4,1,4,0,0,15,0,0,0,9
"ENSMUSG00000054469",131,170,72,61,102,75,3,207,109,32,34,85
"ENSMUSG00000054474",33,8,39,12,43,20,0,109,67,0,10,7
"ENSMUSG00000054477",20,9,35,1,18,0,0,2,17,4,0,21
"ENSMUSG00000054484",8,5,10,19,29,0,22,0,7,1,17,5
"ENSMUSG00000054488",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054493",0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000054497",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054498",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054499",37,25,62,38,5,11,4,65,115,31,4,52
"ENSMUSG00000054509",149,134,109,84,38,55,42,181,164,13,84,64
"ENSMUSG00000054510",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054514",19,55,21,3,42,0,30,7,1,22,0,0
"ENSMUSG00000054517",117,70,72,11,9,25,19,84,78,17,11,37
"ENSMUSG00000054519",58,42,53,37,29,41,19,33,51,21,27,15
"ENSMUSG00000054520",9,0,9,0,0,0,0,0,8,0,0,19
"ENSMUSG00000054523",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054526",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054537",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054545",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054555",0,0,0,2,0,0,0,1,0,0,0,0
"ENSMUSG00000054556",19,0,3,0,1,0,0,0,2,0,0,4
