"","EU181","EU182","EU183","EU184","EU185","EU186","EU187","EU188","EU189","EU190","EU191","EU192","EU226","EU228","EU229","EU230","EU231","EU236"
"ENSMUSG00000050015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050017",115,193,73,78,241,255,432,365,97,1,154,94,49,73,151,79,46,99
"ENSMUSG00000050022",27,19,52,26,23,17,9,122,59,0,21,17,15,21,33,6,6,0
"ENSMUSG00000050023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050029",75,238,36,249,174,365,138,268,330,21,102,154,27,66,273,67,44,63
"ENSMUSG00000050030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050035",4,13,9,7,25,9,6,14,8,0,16,2,10,6,24,0,0,5
"ENSMUSG00000050043",100,240,54,74,596,313,182,175,245,1,123,64,38,122,101,101,71,80
"ENSMUSG00000050050",6,1,1,1,14,7,7,2,2,0,5,0,1,2,0,0,0,5
"ENSMUSG00000050052",1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2
"ENSMUSG00000050058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050064",6,55,7,99,583,95,17,118,14,11,11,107,8,18,24,10,9,3
"ENSMUSG00000050066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050069",0,9,1,0,4,0,0,2,2,0,5,4,0,3,10,9,2,51
"ENSMUSG00000050071",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"ENSMUSG00000050074",0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000050075",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"ENSMUSG00000050079",693,444,75,190,836,745,454,371,484,20,247,386,68,1309,631,134,239,74
"ENSMUSG00000050085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050087",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050088",37,61,34,51,196,196,54,60,37,0,105,136,38,58,99,39,55,89
"ENSMUSG00000050089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050092",0,0,3,1,0,0,0,0,0,0,0,1,0,14,0,1,1,0
"ENSMUSG00000050097",0,0,2,5,11,3,0,6,1,0,2,1,0,2,3,7,3,0
"ENSMUSG00000050100",0,5,5,2,15,1,3,4,2,1,0,1,1,4,14,1,10,7
"ENSMUSG00000050102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050105",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000050106",0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000050107",5,18,0,17,13,24,0,44,37,1,9,11,3,3,20,6,15,11
"ENSMUSG00000050108",12,2,3,6,8,4,15,13,0,3,1,1,0,1,5,2,1,0
"ENSMUSG00000050114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050122",0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,10
"ENSMUSG00000050128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050132",445,321,0,3,1245,1508,6,2151,1010,2,35,130,22,12,93,3,66,17
"ENSMUSG00000050134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050138",1,2,1,2,2,0,1,5,3,5,4,1,8,6,25,1,2,15
"ENSMUSG00000050141",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050144",174,120,37,94,392,217,105,124,154,0,96,67,60,77,326,81,47,108
"ENSMUSG00000050147",3,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0
"ENSMUSG00000050148",286,244,149,379,1019,545,656,675,310,12,433,296,328,421,555,261,97,309
"ENSMUSG00000050150",0,0,0,0,1,0,2,0,2,0,8,0,0,6,4,0,0,3
"ENSMUSG00000050157",6,5,10,11,28,9,25,9,9,0,20,13,7,13,7,5,1,0
"ENSMUSG00000050158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050164",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,6
"ENSMUSG00000050174",3,11,1,6,6,2,4,4,3,0,8,2,2,1,1,0,0,0
"ENSMUSG00000050179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050188",17,25,20,34,68,30,36,53,30,1,49,17,26,54,63,35,18,47
"ENSMUSG00000050189",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050192",38,51,23,51,150,162,35,238,20,0,112,43,27,14,259,63,14,107
"ENSMUSG00000050195",0,0,1,1,3,0,0,90,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000050197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000050199",95,166,34,99,312,144,146,263,53,3,57,97,10,21,115,29,344,119
"ENSMUSG00000050201",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000050211",0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
"ENSMUSG00000050212",13,23,2,7,81,28,7,9,39,0,30,24,16,16,86,22,70,138
"ENSMUSG00000050213",155,60,29,72,219,232,314,118,96,0,103,146,28,46,124,51,73,16
"ENSMUSG00000050215",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000050217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050222",2,1,2,0,2,3,0,4,6,0,4,3,2,10,7,8,3,7
"ENSMUSG00000050224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050229",210,506,149,405,2290,1837,570,1894,419,2,123,485,107,27,60,34,78,22
"ENSMUSG00000050232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050234",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000050239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050240",4,3,3,2,84,76,14,26,14,1,10,43,6,0,20,1,1,4
"ENSMUSG00000050241",0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000050243",0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000050244",49,43,27,127,84,68,58,263,19,0,64,34,30,54,58,56,20,28
"ENSMUSG00000050248",19,20,27,30,71,98,25,143,24,0,52,121,22,28,80,26,11,22
"ENSMUSG00000050251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050270",43,353,72,301,694,559,393,462,560,0,46,284,1,19,26,53,306,14
"ENSMUSG00000050271",7,13,4,11,37,119,9,19,17,0,20,3,3,21,29,13,2,6
"ENSMUSG00000050272",0,1,0,0,1,0,1,0,0,4,2,0,0,3,1,1,0,14
"ENSMUSG00000050276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050288",35,77,36,30,148,73,43,114,71,6,50,72,20,54,61,23,28,133
"ENSMUSG00000050295",386,1107,408,613,3678,3874,1261,3436,1900,0,257,1217,1462,111,258,49,169,525
"ENSMUSG00000050296",2,0,1,2,8,2,4,8,0,1,1,0,0,0,4,0,0,4
"ENSMUSG00000050299",94,125,81,103,142,127,87,123,152,1,209,99,97,250,445,221,97,50
"ENSMUSG00000050304",0,0,0,0,7,7,6,4,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000050310",168,224,76,151,407,196,158,724,48,2,224,171,91,142,173,110,66,103
"ENSMUSG00000050312",74,118,12,105,418,257,95,192,79,0,100,107,25,58,31,22,86,34
"ENSMUSG00000050315",26,237,180,216,974,462,32,128,273,0,128,78,19,57,77,10,92,72
"ENSMUSG00000050321",0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,6
"ENSMUSG00000050323",19,9,5,4,80,6,11,17,7,0,11,8,3,12,23,13,3,5
"ENSMUSG00000050328",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000050332",16,108,2,184,316,219,211,530,28,4,57,16,12,26,92,10,8,64
"ENSMUSG00000050334",0,0,0,0,0,1,2,0,0,10,1,0,0,2,4,7,0,17
"ENSMUSG00000050335",2400,1908,1758,2928,4857,2859,3246,3816,2383,8,2926,2018,2440,3693,5055,3502,1098,1294
"ENSMUSG00000050343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050345",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050350",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0
"ENSMUSG00000050357",0,0,2,0,0,2,0,7,0,0,0,1,3,2,0,3,0,3
"ENSMUSG00000050359",94,31,25,45,69,35,170,98,14,0,59,43,122,209,42,15,3,1
"ENSMUSG00000050366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050368",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000050370",0,1,0,3,2,2,3,3,1,0,5,7,1,5,2,3,3,39
"ENSMUSG00000050373",55,133,18,124,303,172,30,320,107,0,69,126,40,103,258,84,26,329
"ENSMUSG00000050377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050379",446,284,123,159,880,688,221,499,64,8,253,206,164,163,166,60,44,42
"ENSMUSG00000050382",5,45,12,10,69,46,17,86,30,0,19,16,19,6,50,29,11,44
"ENSMUSG00000050383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050390",77,74,43,68,226,165,125,188,102,3,93,62,67,67,310,77,10,192
"ENSMUSG00000050394",26,24,2,1,6,17,0,44,50,0,14,3,0,1,0,7,0,0
"ENSMUSG00000050395",27,43,5,2,22,149,3,0,15,1,21,55,2,4,23,2,10,6
"ENSMUSG00000050397",1,2,0,0,1,0,0,0,2,2,0,0,1,0,6,0,0,0
"ENSMUSG00000050410",31,117,21,57,114,16,9,37,153,0,73,76,26,20,87,62,48,46
"ENSMUSG00000050423",0,0,0,1,1,1,0,1,1,0,5,0,0,0,1,0,0,0
"ENSMUSG00000050424",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"ENSMUSG00000050425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050428",65,176,100,121,341,559,127,406,205,0,75,391,188,1062,223,167,151,78
"ENSMUSG00000050435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050439",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"ENSMUSG00000050440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050447",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,9
"ENSMUSG00000050463",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050468",0,1,0,0,0,0,0,4,2,0,4,0,5,0,0,0,1,0
"ENSMUSG00000050471",84,21,19,36,132,66,50,126,65,0,43,27,28,36,118,55,23,41
"ENSMUSG00000050473",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000050478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050490",1,0,1,1,5,0,3,1,0,0,5,2,3,2,1,4,0,6
"ENSMUSG00000050493",0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0
"ENSMUSG00000050503",3,0,1,0,24,6,0,4,0,0,8,3,0,6,10,0,0,0
"ENSMUSG00000050504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050505",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"ENSMUSG00000050511",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"ENSMUSG00000050520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050526",0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,4
"ENSMUSG00000050530",17,48,20,25,66,52,21,52,35,0,89,48,32,10,86,55,26,117
"ENSMUSG00000050533",3,4,0,0,14,3,2,7,11,0,0,6,0,0,1,0,2,0
"ENSMUSG00000050534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050538",11,19,5,14,30,29,7,24,9,0,32,15,11,5,17,3,12,12
"ENSMUSG00000050541",117,257,181,45,370,159,22,82,191,3,24,214,4,31,15,5,185,0
"ENSMUSG00000050545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
"ENSMUSG00000050549",41,27,39,5,59,49,3,10,5,0,9,6,2,7,19,8,8,0
"ENSMUSG00000050550",1,3,1,5,21,16,1,10,8,0,19,13,3,12,16,12,4,10
"ENSMUSG00000050552",23,23,23,28,72,35,35,53,53,0,40,30,31,87,215,89,50,43
"ENSMUSG00000050553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050555",3,4,3,7,7,10,4,7,8,0,6,1,2,0,14,5,1,5
"ENSMUSG00000050556",258,20,9,5,245,656,6,10,201,0,74,140,23,47,91,24,7,174
"ENSMUSG00000050558",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000050565",422,527,470,436,1014,586,956,977,197,2,313,833,209,178,352,202,133,155
"ENSMUSG00000050567",39,36,22,40,175,66,74,142,67,2,105,37,53,50,93,39,11,32
"ENSMUSG00000050577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050578",35,1,7,40,33,17,72,168,3,0,15,12,14,41,34,47,2,0
"ENSMUSG00000050587",2,2,0,1,2,0,13,0,1,13,1,1,3,0,9,2,0,48
"ENSMUSG00000050592",0,0,1,0,1,0,0,1,0,2,0,0,1,2,7,0,0,0
"ENSMUSG00000050600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050605",7,18,2,4,81,11,16,15,3,0,17,12,3,18,33,13,9,13
"ENSMUSG00000050608",111,146,99,147,291,205,162,219,180,0,246,118,65,199,193,200,101,148
"ENSMUSG00000050612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050619",311,435,205,281,1004,574,248,541,248,0,89,232,39,229,178,63,65,37
"ENSMUSG00000050621",26,28,17,26,71,50,30,40,59,3,40,40,17,51,59,45,33,11
"ENSMUSG00000050623",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050627",8,16,4,22,66,36,34,183,17,0,21,17,6,16,31,25,8,81
"ENSMUSG00000050628",69,49,39,36,82,59,49,77,113,0,58,39,58,115,246,80,27,66
"ENSMUSG00000050635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050640",0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,1,0,4
"ENSMUSG00000050641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050650",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050663",0,0,1,0,0,0,0,2,4,6,0,0,2,1,4,1,0,1
"ENSMUSG00000050666",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8
"ENSMUSG00000050668",46,103,17,41,113,63,65,125,20,1,75,225,44,52,136,89,44,95
"ENSMUSG00000050671",0,2,2,1,0,0,0,2,4,0,1,1,3,1,2,4,0,0
"ENSMUSG00000050675",1,4,0,0,4,0,0,1,0,0,0,0,5,0,2,0,0,0
"ENSMUSG00000050677",2,1,3,1,1,0,4,3,0,0,2,0,2,4,2,1,0,1
"ENSMUSG00000050685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050697",71,242,31,161,290,169,192,144,78,2,138,76,33,63,106,123,139,126
"ENSMUSG00000050700",1,0,0,0,0,18,1,6,1,1,2,0,1,1,0,1,3,0
"ENSMUSG00000050702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ENSMUSG00000050704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050705",15,35,14,15,54,84,14,102,21,0,37,19,8,41,91,24,5,73
"ENSMUSG00000050708",706,502,518,629,1326,933,1082,1368,797,3,982,529,1161,1580,2040,1631,722,1497
"ENSMUSG00000050711",3,1,4,11,6,12,7,51,0,0,8,1,27,41,65,25,1,79
"ENSMUSG00000050714",169,202,6,220,264,311,162,181,58,26,29,52,3,70,52,64,2,28
"ENSMUSG00000050721",25,84,24,41,162,56,20,177,88,5,83,46,38,58,87,40,23,74
"ENSMUSG00000050730",25,41,20,153,59,57,18,79,14,4,59,28,23,29,68,40,19,49
"ENSMUSG00000050732",256,122,84,119,221,142,146,208,177,0,183,111,78,176,165,114,138,103
"ENSMUSG00000050737",5,4,5,11,17,7,5,11,8,0,14,6,4,6,21,7,5,0
"ENSMUSG00000050742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050747",0,0,0,0,1,0,0,2,2,0,0,0,0,0,5,0,2,0
"ENSMUSG00000050751",0,1,0,2,2,0,2,8,1,0,0,0,3,10,8,6,0,0
"ENSMUSG00000050756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050761",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
"ENSMUSG00000050762",1,43,12,1,30,80,0,22,19,0,9,22,6,9,7,0,0,1
"ENSMUSG00000050763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050765",1,48,0,0,0,0,0,25,0,0,0,0,0,26,0,0,0,0
"ENSMUSG00000050766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050776",0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000050777",33,33,45,45,126,99,40,100,56,0,85,43,22,55,46,49,26,69
"ENSMUSG00000050783",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000050786",5,36,13,18,43,29,22,18,14,1,24,11,6,9,53,31,13,27
"ENSMUSG00000050788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050796",23,33,26,24,98,42,31,74,43,0,63,33,30,51,148,50,15,73
"ENSMUSG00000050799",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000050803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050812",1393,212,461,238,438,1339,706,685,162,4,239,258,78,131,286,150,89,109
"ENSMUSG00000050813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050821",0,8,3,0,32,8,10,23,11,0,5,6,11,0,1,1,1,7
"ENSMUSG00000050822",0,13,5,2,6,7,0,5,2,0,1,2,0,4,27,8,3,4
"ENSMUSG00000050824",5,1,4,1,18,19,33,28,0,0,3,0,14,33,4,9,2,1
"ENSMUSG00000050830",0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000050840",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9
"ENSMUSG00000050844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050846",57,46,27,52,119,116,57,62,42,0,84,48,54,46,123,38,28,54
"ENSMUSG00000050853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050855",15,5,1,3,9,3,1,4,1,1,4,3,1,2,2,0,1,1
"ENSMUSG00000050856",75,133,63,96,170,105,113,129,177,2,144,78,82,92,366,131,89,173
"ENSMUSG00000050860",1,4,1,3,5,2,2,6,10,0,3,4,4,8,45,9,2,8
"ENSMUSG00000050865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050875",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"ENSMUSG00000050876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050890",30,48,9,33,120,148,49,187,19,1,60,49,24,23,96,26,86,26
"ENSMUSG00000050891",35,35,15,50,148,45,38,27,29,0,80,23,11,19,70,18,16,23
"ENSMUSG00000050896",0,2,0,0,2,0,0,0,1,0,2,0,0,0,21,1,0,1
"ENSMUSG00000050900",3,4,1,3,3,12,8,11,0,0,2,2,3,4,6,2,0,13
"ENSMUSG00000050901",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000050908",0,0,1,0,5,1,0,18,51,0,0,20,0,1,4,0,1,3
"ENSMUSG00000050910",1443,1230,1043,779,3315,1221,482,3018,611,5,289,805,3683,1150,1082,347,107,233
"ENSMUSG00000050912",264,216,75,120,529,345,213,232,137,0,277,258,93,136,124,111,110,310
"ENSMUSG00000050914",198,244,76,166,322,238,117,217,182,0,240,145,54,120,213,187,139,45
"ENSMUSG00000050917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050919",0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0
"ENSMUSG00000050921",0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1
"ENSMUSG00000050926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000050930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050931",3662,3749,1136,5825,14644,21022,4231,10730,7058,16,768,7707,198,604,380,150,232,179
"ENSMUSG00000050933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050936",121,62,58,98,275,138,27,429,91,1,24,120,18,16,20,13,6,0
"ENSMUSG00000050944",0,2,0,2,35,0,0,0,0,0,1,0,0,0,45,0,0,0
"ENSMUSG00000050945",7,47,6,87,43,24,6,100,4,0,26,13,11,22,28,22,1,24
"ENSMUSG00000050947",16,11,4,11,47,19,8,32,10,0,15,4,3628,40,77,18,10,19
"ENSMUSG00000050953",911,2592,584,876,3267,2125,589,2684,791,7,806,1760,1822,2273,1773,888,1339,1045
"ENSMUSG00000050954",12,46,77,0,128,89,14,89,9,0,8,16,4,5,13,4,21,0
"ENSMUSG00000050957",2,8,1,22,3,10,1,0,3,0,3,12,0,1,14,1,15,0
"ENSMUSG00000050961",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000050963",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000050965",38,74,25,66,125,42,35,53,32,2,96,68,37,69,96,39,40,176
"ENSMUSG00000050966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050967",0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,3
"ENSMUSG00000050973",8,2,0,1,10,272,7,6,3,0,5,7,4,8,28,15,3,0
"ENSMUSG00000050974",1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000050978",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050982",0,0,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0
"ENSMUSG00000050989",58,130,65,81,256,240,77,195,278,2,199,93,86,107,685,196,39,265
"ENSMUSG00000050994",0,3,0,1,1,0,0,0,0,0,2,0,0,0,4,0,0,7
"ENSMUSG00000050996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051000",1,0,2,2,10,3,3,14,2,0,6,3,4,11,53,1,5,53
"ENSMUSG00000051002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051003",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000051007",432,361,133,265,536,399,164,355,155,0,82,307,659,287,61,29,401,403
"ENSMUSG00000051008",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000051022",0,2,2,2,9,2,1,3,2,2,8,2,3,5,16,3,9,41
"ENSMUSG00000051029",39,15,7,19,82,25,28,60,13,0,38,8,18,26,58,53,11,13
"ENSMUSG00000051034",57,22,3,31,223,289,12,13,1,0,16,180,5,8,11,5,15,0
"ENSMUSG00000051036",0,0,0,0,20,0,0,2,0,0,0,44,0,0,0,0,0,0
"ENSMUSG00000051037",1,0,0,1,3,7,3,1,0,0,4,1,0,0,5,2,0,0
"ENSMUSG00000051038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051041",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000051043",28,39,32,47,125,150,42,116,25,0,50,53,56,69,121,43,43,40
"ENSMUSG00000051046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
