"","GSM7708682","GSM7708683","GSM7708684","GSM7708685","GSM7708686","GSM7708687","GSM7708688","GSM7708689","GSM7708690"
"ENSMUSG00000001909",431,513,383,550,437,480,368,437,284
"ENSMUSG00000001910",619,858,738,1056,851,1119,715,909,491
"ENSMUSG00000001911",1271,1414,1522,1343,1532,1782,1131,1557,985
"ENSMUSG00000001918",68,86,45,44,69,46,23,18,22
"ENSMUSG00000001924",2378,3121,2439,3723,2579,3548,2256,2969,1789
"ENSMUSG00000001930",29,50,63,143,52,44,42,76,46
"ENSMUSG00000001942",464,575,511,584,539,655,424,604,449
"ENSMUSG00000001943",10,7,3,7,13,11,16,4,8
"ENSMUSG00000001946",117,138,88,148,129,148,152,121,73
"ENSMUSG00000001948",1,5,9,6,4,7,0,1,3
"ENSMUSG00000001962",271,299,269,427,256,376,289,366,243
"ENSMUSG00000001964",154,186,139,258,135,216,172,226,140
"ENSMUSG00000001983",228,387,373,483,427,554,295,378,260
"ENSMUSG00000001985",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001986",24,25,20,3,3,17,7,0,4
"ENSMUSG00000001988",0,0,0,0,0,1,1,0,0
"ENSMUSG00000001995",36,88,78,131,153,170,42,62,56
"ENSMUSG00000001998",73,98,105,175,79,171,83,69,74
"ENSMUSG00000001999",127,146,114,145,112,132,74,81,87
"ENSMUSG00000002006",1,1,2,0,0,6,0,11,0
"ENSMUSG00000002007",1,0,0,0,0,2,1,0,0
"ENSMUSG00000002010",944,972,784,978,920,1016,726,830,602
"ENSMUSG00000002012",0,0,3,1,1,4,0,4,1
"ENSMUSG00000002014",1308,1562,1031,1109,1101,1315,1005,1048,688
"ENSMUSG00000002015",1751,1937,1260,1932,1596,1805,1238,1668,1119
"ENSMUSG00000002017",472,552,423,711,483,637,504,599,287
"ENSMUSG00000002020",5,16,3,12,7,15,5,4,8
"ENSMUSG00000002028",403,455,491,630,513,850,565,577,359
"ENSMUSG00000002031",202,259,197,240,177,241,192,202,196
"ENSMUSG00000002032",997,1017,772,644,977,801,476,601,364
"ENSMUSG00000002033",2,7,5,6,1,14,3,3,8
"ENSMUSG00000002043",209,220,146,152,173,261,139,160,113
"ENSMUSG00000002052",777,1138,888,1623,1145,1360,1098,1411,687
"ENSMUSG00000002055",16,13,1,6,2,11,1,0,5
"ENSMUSG00000002057",0,0,0,0,0,0,0,1,0
"ENSMUSG00000002058",108,84,58,114,107,93,46,68,44
"ENSMUSG00000002059",110,97,87,68,84,79,47,61,33
"ENSMUSG00000002064",493,556,383,507,420,587,389,531,346
"ENSMUSG00000002068",17,9,8,8,16,15,3,1,3
"ENSMUSG00000002076",2,6,2,0,0,6,0,0,1
"ENSMUSG00000002083",230,159,249,146,140,198,66,81,151
"ENSMUSG00000002100",0,1,3,0,0,0,1,0,1
"ENSMUSG00000002102",1602,1691,1242,1988,1411,1954,1488,1887,1344
"ENSMUSG00000002103",794,1002,772,963,855,1115,778,920,773
"ENSMUSG00000002104",2,2,0,0,0,0,3,0,0
"ENSMUSG00000002105",153,161,99,137,115,116,85,68,68
"ENSMUSG00000002107",184,256,190,345,210,296,178,248,158
"ENSMUSG00000002108",1430,1924,1383,1935,1708,2240,1279,1833,1235
"ENSMUSG00000002109",81,58,80,66,66,69,51,26,34
"ENSMUSG00000002111",73,86,59,57,54,119,39,91,58
"ENSMUSG00000002129",371,613,401,792,456,551,484,572,253
"ENSMUSG00000002147",923,1306,885,1168,1016,1306,687,882,640
"ENSMUSG00000002190",0,0,0,0,0,0,0,0,0
"ENSMUSG00000002204",1,1,0,2,0,8,0,0,4
"ENSMUSG00000002205",314,426,243,340,342,445,257,359,295
"ENSMUSG00000002210",87,138,129,213,119,160,109,121,82
"ENSMUSG00000002221",295,391,287,484,410,547,358,444,267
"ENSMUSG00000002222",2551,3306,3043,2701,2811,3498,2024,2829,1845
"ENSMUSG00000002227",285,312,244,162,192,266,111,160,148
"ENSMUSG00000002228",0,4,2,5,1,2,7,4,2
"ENSMUSG00000002233",89,91,51,103,79,92,67,60,41
"ENSMUSG00000002240",0,0,0,0,0,0,0,0,0
"ENSMUSG00000002249",180,221,153,220,200,209,127,196,134
"ENSMUSG00000002250",493,471,248,296,410,474,259,198,212
"ENSMUSG00000002257",0,5,4,4,0,6,1,0,1
"ENSMUSG00000002265",114,111,129,319,193,190,157,175,106
"ENSMUSG00000002266",1,0,3,3,2,0,3,5,2
"ENSMUSG00000002274",39,37,27,42,24,54,18,24,12
"ENSMUSG00000002279",481,494,412,534,464,685,363,548,387
"ENSMUSG00000002280",377,461,276,422,452,471,313,453,260
"ENSMUSG00000002289",1818,1986,1097,1182,772,837,984,1114,1593
"ENSMUSG00000002297",41,24,26,33,23,49,19,17,15
"ENSMUSG00000002307",134,170,170,256,214,242,218,205,114
"ENSMUSG00000002308",57,76,65,55,74,62,42,48,31
"ENSMUSG00000002319",233,260,130,251,181,194,207,218,137
"ENSMUSG00000002320",566,742,613,1014,665,1011,674,718,446
"ENSMUSG00000002324",27,22,12,22,24,17,4,12,5
"ENSMUSG00000002325",542,426,424,396,508,671,321,427,365
"ENSMUSG00000002326",221,218,99,275,235,247,156,186,161
"ENSMUSG00000002329",188,184,170,170,176,235,115,155,85
"ENSMUSG00000002332",1646,1960,1793,2184,1997,2423,1888,2286,1465
"ENSMUSG00000002341",0,0,0,0,0,0,0,0,0
"ENSMUSG00000002342",272,307,210,316,270,295,247,302,166
"ENSMUSG00000002343",87,124,99,164,120,177,102,115,87
"ENSMUSG00000002345",147,111,89,134,113,133,112,131,82
"ENSMUSG00000002346",1759,1850,1683,2071,1955,2653,1370,1709,1310
"ENSMUSG00000002365",861,946,774,874,854,1080,694,841,677
"ENSMUSG00000002372",590,700,403,690,611,684,486,635,373
