"","RR9_SPL_FLT_F1","RR9_SPL_FLT_F10","RR9_SPL_FLT_F2","RR9_SPL_FLT_F3","RR9_SPL_FLT_F4","RR9_SPL_FLT_F5","RR9_SPL_FLT_F6","RR9_SPL_FLT_F7","RR9_SPL_FLT_F8","RR9_SPL_FLT_F9","RR9_SPL_GC_G1","RR9_SPL_GC_G10","RR9_SPL_GC_G2","RR9_SPL_GC_G3","RR9_SPL_GC_G4","RR9_SPL_GC_G5","RR9_SPL_GC_G6","RR9_SPL_GC_G7","RR9_SPL_GC_G8","RR9_SPL_GC_G9"
"ENSMUSG00000000001",187,757,1012,214,1052,644,111,175,726,213,112,209,413,1226,879,653,80,450,925,668
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",8,26,62,16,72,13,0,5,1,0,5,10,28,98,68,23,1,0,27,47
"ENSMUSG00000000031",3,7,6,1,7,1,0,10,11,2,0,0,1,14,2,2,0,1,3,1
"ENSMUSG00000000037",0,7,0,19,0,3,0,1,4,0,0,0,16,2,0,0,0,0,5,3
"ENSMUSG00000000049",1,1,15,0,1,0,0,0,2,0,0,0,2,27,27,16,2,0,2,4
"ENSMUSG00000000056",58,241,373,102,281,182,38,110,235,53,37,64,140,399,275,160,29,82,220,304
"ENSMUSG00000000058",22,95,126,25,90,68,23,35,75,51,15,16,26,126,75,56,11,66,57,55
"ENSMUSG00000000078",218,1115,1701,372,1595,800,179,273,1141,336,133,343,441,1986,1482,799,95,550,1174,925
"ENSMUSG00000000085",23,103,241,45,202,116,33,45,212,34,6,35,88,242,195,105,35,67,119,159
"ENSMUSG00000000088",357,1970,4256,674,4977,2164,271,732,2834,561,347,493,1240,4665,3610,2758,224,1474,3455,2548
"ENSMUSG00000000093",8,37,34,0,8,37,0,0,27,3,1,0,16,28,5,9,0,5,2,2
"ENSMUSG00000000094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000000120",0,65,44,6,56,24,19,7,32,32,3,7,5,72,43,24,1,13,21,25
"ENSMUSG00000000125",0,0,0,1,0,0,0,0,0,5,0,0,0,0,7,8,0,7,0,0
"ENSMUSG00000000126",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0
"ENSMUSG00000000127",13,188,216,74,178,83,42,8,226,12,14,12,70,151,155,135,12,84,159,97
"ENSMUSG00000000131",79,555,592,183,758,433,51,94,440,128,26,66,203,766,613,347,44,173,576,355
"ENSMUSG00000000134",63,260,535,77,415,193,36,52,319,71,39,42,218,449,345,175,32,128,311,282
"ENSMUSG00000000142",12,54,106,37,118,105,4,28,118,22,10,5,32,144,67,89,9,48,90,53
"ENSMUSG00000000148",17,100,179,48,142,60,13,45,206,39,15,21,68,192,148,173,34,42,218,72
"ENSMUSG00000000149",23,208,457,45,416,203,12,45,225,63,32,23,77,321,197,186,7,149,212,213
"ENSMUSG00000000154",11,0,14,0,10,0,2,0,8,0,0,0,3,21,13,15,11,0,42,8
"ENSMUSG00000000157",0,5,0,0,0,6,0,1,0,0,0,0,0,0,3,9,0,4,1,0
"ENSMUSG00000000159",0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,3,0
"ENSMUSG00000000167",0,1,0,0,7,12,0,1,1,0,3,5,0,6,19,0,0,3,1,5
"ENSMUSG00000000168",60,390,562,156,571,300,72,105,390,88,51,102,194,527,391,305,65,158,308,306
"ENSMUSG00000000171",180,540,1016,283,1143,606,125,224,616,198,106,155,509,1289,908,664,92,443,949,673
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"ENSMUSG00000000184",662,3911,5274,1216,6624,3143,578,1183,3893,886,338,751,2011,5989,5156,2803,350,1649,4246,2677
"ENSMUSG00000000194",67,309,555,106,661,358,21,74,365,128,37,97,209,523,391,351,45,195,385,249
"ENSMUSG00000000197",0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000204",12,31,99,4,14,22,2,0,15,23,8,5,16,59,54,66,14,10,48,38
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,21,0,0,14
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"ENSMUSG00000000244",609,2440,3143,837,4164,2155,364,528,2267,612,285,524,1239,3539,3349,1895,502,1221,2727,2337
"ENSMUSG00000000247",0,0,0,1,0,12,0,0,0,0,0,0,3,5,2,13,0,0,0,0
"ENSMUSG00000000248",1,6,2,0,32,11,3,18,7,0,0,0,31,22,9,2,0,0,19,0
"ENSMUSG00000000253",3,13,74,0,30,43,5,3,40,30,0,2,6,108,33,36,0,15,32,21
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",5,69,108,9,118,60,14,29,57,40,14,4,58,72,89,57,4,60,45,33
"ENSMUSG00000000275",92,564,614,160,650,482,43,130,482,121,62,111,319,651,604,376,15,176,448,463
"ENSMUSG00000000276",4,111,126,33,133,117,11,44,138,18,9,21,123,212,151,69,8,76,192,137
"ENSMUSG00000000278",38,299,607,145,474,283,40,94,352,71,39,71,176,636,435,247,34,133,445,362
"ENSMUSG00000000282",65,282,226,63,302,286,52,38,196,52,18,39,54,253,199,134,31,96,192,175
"ENSMUSG00000000290",138,644,1093,283,1212,499,109,195,754,194,125,139,385,1183,748,673,118,330,805,539
"ENSMUSG00000000295",61,303,521,146,499,441,88,145,522,142,48,61,164,783,416,262,31,189,475,400
"ENSMUSG00000000296",0,2,3,0,4,0,0,5,0,1,0,8,11,17,0,0,1,0,0,0
"ENSMUSG00000000301",0,11,18,7,0,0,2,12,42,0,0,0,0,4,25,3,0,8,12,23
"ENSMUSG00000000303",0,1,11,0,15,0,6,8,22,0,0,0,0,0,0,1,1,7,2,2
"ENSMUSG00000000305",6,48,100,45,50,48,6,2,70,15,4,3,32,124,32,28,8,24,58,25
"ENSMUSG00000000308",0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000317",2,39,28,15,31,17,1,6,47,8,0,4,11,40,21,33,1,16,23,29
"ENSMUSG00000000318",10,31,46,11,44,9,3,12,41,1,4,10,13,62,45,31,0,24,24,32
"ENSMUSG00000000320",14,97,192,46,131,119,13,4,142,41,11,21,83,191,140,93,16,88,144,114
"ENSMUSG00000000326",62,406,761,133,716,404,62,190,498,95,59,90,198,739,598,284,53,308,556,419
"ENSMUSG00000000339",4,141,243,40,339,77,52,34,149,49,34,43,116,340,236,115,30,158,310,145
"ENSMUSG00000000340",80,203,196,93,179,92,39,55,168,47,14,28,97,288,230,143,40,107,216,115
"ENSMUSG00000000346",373,1994,3857,698,3497,2060,258,645,2844,732,403,574,1240,4908,3000,2505,354,1693,3185,2274
"ENSMUSG00000000355",76,515,743,173,836,456,44,174,623,194,101,108,257,1023,687,478,58,270,773,470
"ENSMUSG00000000359",57,155,309,58,280,238,45,54,253,48,27,41,94,297,185,113,16,82,169,120
"ENSMUSG00000000365",1,22,26,1,14,10,6,20,51,13,0,5,9,8,10,15,10,2,29,22
"ENSMUSG00000000374",128,619,949,172,689,622,77,157,683,175,53,100,183,897,676,457,54,253,826,521
"ENSMUSG00000000378",107,818,1319,338,1396,719,82,258,826,245,117,197,522,1701,1249,849,100,525,1085,806
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",11,138,172,21,182,117,8,25,106,23,5,20,17,175,146,100,3,63,120,89
"ENSMUSG00000000385",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000000386",15,40,61,25,107,43,0,11,102,10,6,18,42,101,111,65,10,26,87,76
"ENSMUSG00000000392",3,14,9,4,8,0,9,0,16,2,0,0,1,7,14,6,0,1,7,3
"ENSMUSG00000000394",0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0
"ENSMUSG00000000399",78,410,788,173,764,309,89,130,476,162,60,83,217,967,602,512,27,242,687,376
"ENSMUSG00000000402",0,8,0,12,27,4,2,0,3,10,0,0,0,0,0,3,2,3,2,6
"ENSMUSG00000000409",245,1353,2340,357,2677,1006,192,490,1501,439,169,241,834,2494,1639,1274,231,869,1688,838
"ENSMUSG00000000411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000416",9,76,65,26,85,26,22,9,63,36,0,3,25,41,52,63,8,36,24,42
"ENSMUSG00000000420",131,785,1113,376,1099,622,122,232,795,222,92,237,403,1318,1073,599,102,384,934,823
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",50,225,449,68,467,241,28,54,330,72,15,82,134,561,405,191,36,153,324,207
"ENSMUSG00000000440",4,179,206,63,177,81,16,15,189,70,25,10,47,178,142,98,22,117,123,64
"ENSMUSG00000000441",76,476,886,156,869,457,84,155,599,139,37,131,272,1179,747,473,83,270,701,474
"ENSMUSG00000000486",122,621,1362,222,1368,633,65,212,932,237,83,175,474,1674,1045,720,93,468,962,850
"ENSMUSG00000000489",4,31,105,39,165,51,8,25,67,9,6,10,44,60,87,48,9,36,103,28
"ENSMUSG00000000530",18,109,138,41,261,117,26,38,112,37,11,25,35,224,126,83,6,60,107,125
"ENSMUSG00000000531",1,47,96,7,48,28,0,3,16,1,5,7,8,42,13,38,1,6,58,27
"ENSMUSG00000000532",4,94,98,26,128,76,12,8,53,43,16,4,24,63,88,76,0,59,99,75
"ENSMUSG00000000538",14,60,97,8,84,59,0,10,136,14,1,10,35,57,62,55,10,54,94,46
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",0,73,98,17,106,51,15,35,133,17,16,10,22,234,146,90,4,54,84,100
"ENSMUSG00000000555",5,37,52,1,42,51,9,14,36,1,13,19,53,31,24,15,3,2,38,10
"ENSMUSG00000000560",0,3,18,12,20,33,2,2,16,1,0,1,9,27,33,23,4,10,16,10
"ENSMUSG00000000561",36,277,269,108,350,240,41,74,268,124,56,86,133,436,321,227,42,134,337,254
"ENSMUSG00000000562",0,0,29,0,4,15,9,3,2,1,1,0,8,22,4,0,0,7,21,18
"ENSMUSG00000000563",458,2053,3064,696,3392,1588,330,834,2221,790,549,505,1290,4088,2831,2216,290,1305,2474,2006
"ENSMUSG00000000567",13,47,72,21,79,23,2,24,26,5,3,15,20,51,62,35,0,40,44,13
"ENSMUSG00000000568",135,822,1055,270,1360,661,120,172,802,234,140,244,496,1497,1035,712,92,419,972,899
"ENSMUSG00000000579",8,10,45,10,50,21,0,11,29,2,1,4,12,44,48,11,7,7,35,25
"ENSMUSG00000000581",141,609,933,251,982,522,143,195,663,281,139,177,365,1321,840,489,102,332,646,548
"ENSMUSG00000000594",578,2744,4860,1045,5317,2339,372,1266,3258,648,434,597,1879,7185,5907,2893,362,1970,4872,2640
"ENSMUSG00000000600",353,1484,1459,496,1950,1446,224,418,1194,439,207,378,760,2075,1812,1092,217,679,1520,1145
"ENSMUSG00000000605",155,580,943,161,988,480,102,219,604,210,98,92,325,912,748,511,47,406,729,536
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",4,0,4,0,33,8,4,0,12,1,0,1,0,30,26,2,6,8,3,16
"ENSMUSG00000000627",7,10,26,21,69,61,0,0,26,0,0,4,10,36,20,8,0,7,40,0
"ENSMUSG00000000628",42,264,358,75,575,263,36,72,398,54,33,34,146,467,318,290,37,159,336,234
"ENSMUSG00000000631",63,342,577,136,616,398,81,95,506,88,10,138,111,554,475,294,65,212,460,384
"ENSMUSG00000000632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000673",181,577,1117,168,1013,540,58,102,585,188,22,145,310,1321,886,422,98,288,722,488
"ENSMUSG00000000682",2809,15651,24059,5810,30450,14253,2791,5967,17375,5638,3054,3737,9335,37829,23812,17047,2303,12443,22940,15302
"ENSMUSG00000000686",0,0,19,2,15,10,4,1,18,0,4,2,14,18,4,2,0,24,24,9
"ENSMUSG00000000690",11,0,8,0,20,1,0,10,4,4,0,0,0,9,4,0,1,8,7,3
"ENSMUSG00000000693",28,20,46,14,35,22,0,1,13,16,5,6,15,32,21,25,0,1,29,16
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000708",82,402,550,124,684,432,83,107,497,105,52,115,298,869,631,374,68,268,682,416
"ENSMUSG00000000711",73,212,335,45,273,191,10,31,252,60,6,44,91,308,245,151,30,83,181,200
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000731",0,0,10,3,16,4,2,0,0,8,0,0,3,8,5,0,0,0,10,10
"ENSMUSG00000000732",34,233,427,78,281,273,50,45,214,52,34,26,133,573,500,177,30,135,359,281
"ENSMUSG00000000738",40,319,530,140,571,335,42,101,400,112,39,106,215,614,449,317,46,180,507,342
"ENSMUSG00000000739",0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0
"ENSMUSG00000000740",339,2918,5851,896,5658,2401,288,924,3668,866,451,453,1538,8377,3907,2894,278,1988,3524,2727
"ENSMUSG00000000743",30,262,461,78,556,244,59,111,355,109,41,81,161,604,447,379,46,207,411,240
"ENSMUSG00000000751",56,271,513,121,552,236,56,73,363,103,68,51,145,586,472,350,54,155,347,346
"ENSMUSG00000000753",1,25,42,11,76,57,6,8,44,7,0,14,13,78,36,56,0,34,39,48
"ENSMUSG00000000759",110,484,718,185,830,452,79,143,420,151,69,125,327,728,626,319,67,311,632,544
"ENSMUSG00000000766",5,7,4,1,3,2,0,0,2,0,3,0,0,4,1,4,1,2,14,6
"ENSMUSG00000000776",49,296,422,53,350,240,20,114,277,65,23,30,128,444,309,245,10,78,240,213
"ENSMUSG00000000782",99,744,1252,226,1258,549,96,211,748,123,60,118,365,1545,1041,787,79,411,1394,584
"ENSMUSG00000000787",360,2126,2422,678,2305,1553,300,527,1757,502,321,405,794,2746,2281,1555,193,888,2172,1763
"ENSMUSG00000000791",1,13,26,7,30,18,0,0,6,0,0,5,11,17,13,3,0,3,6,3
"ENSMUSG00000000792",0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1
"ENSMUSG00000000794",0,0,7,1,3,6,0,0,3,0,0,0,0,2,1,0,0,0,11,0
"ENSMUSG00000000804",67,369,549,118,506,411,51,100,399,146,51,136,140,624,536,364,64,172,364,343
"ENSMUSG00000000805",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000811",0,33,59,4,56,37,1,7,59,9,1,2,34,46,66,28,7,16,45,58
"ENSMUSG00000000817",14,29,50,19,63,21,0,13,45,10,13,2,36,65,64,40,0,19,41,36
"ENSMUSG00000000823",7,49,150,27,125,28,13,22,61,12,8,11,51,155,128,40,0,21,48,85
"ENSMUSG00000000826",208,1040,1814,345,1787,1218,152,298,1449,254,87,269,649,1905,1598,726,145,426,1413,1015
"ENSMUSG00000000827",86,445,648,133,724,297,39,146,451,143,78,71,241,722,442,331,59,245,468,390
"ENSMUSG00000000838",159,657,795,126,729,580,54,179,566,213,115,161,448,1033,686,478,93,307,669,596
"ENSMUSG00000000861",662,3720,4160,1114,4655,3072,521,920,3203,867,383,1045,1853,5164,4761,2500,492,1735,3809,2943
"ENSMUSG00000000869",2,0,11,8,3,5,0,8,9,6,0,1,0,8,3,11,0,0,0,5
"ENSMUSG00000000876",55,175,409,44,345,199,29,89,175,76,29,53,81,479,367,209,25,108,217,147
"ENSMUSG00000000881",19,55,74,19,72,41,2,25,47,13,5,11,2,41,78,43,0,14,48,47
"ENSMUSG00000000884",7,28,86,9,81,19,0,0,51,16,1,6,9,46,59,61,0,26,56,41
"ENSMUSG00000000889",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000901",3,18,31,14,25,4,0,10,19,6,1,0,1,33,16,13,0,5,26,9
"ENSMUSG00000000902",69,469,763,178,926,484,53,156,583,140,37,120,251,970,710,400,58,171,467,417
"ENSMUSG00000000903",143,888,1676,324,1812,1046,89,331,1187,312,126,255,424,2281,1512,1000,119,575,1603,950
"ENSMUSG00000000915",52,355,475,140,455,382,44,92,249,130,69,82,204,734,616,212,87,185,489,360
"ENSMUSG00000000916",30,91,170,29,173,95,3,7,132,52,36,11,95,192,93,95,5,46,94,97
"ENSMUSG00000000934",1,18,64,4,63,17,3,9,28,10,3,24,13,75,32,27,14,5,27,5
"ENSMUSG00000000938",0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0
"ENSMUSG00000000942",7,6,8,9,29,0,0,8,10,5,0,0,9,11,6,8,0,5,7,7
"ENSMUSG00000000948",0,8,0,0,0,1,0,0,0,1,3,0,0,0,5,7,0,1,5,0
"ENSMUSG00000000957",47,517,624,152,802,574,94,113,577,134,43,142,215,777,485,333,44,279,422,266
"ENSMUSG00000000958",35,176,282,67,272,152,41,66,187,52,45,48,27,311,172,136,24,80,160,181
"ENSMUSG00000000959",41,158,434,94,344,242,49,63,321,27,55,52,157,402,382,179,20,148,347,169
"ENSMUSG00000000976",69,559,887,142,716,460,53,154,681,262,34,162,261,1135,783,597,71,232,701,515
"ENSMUSG00000000982",2,11,21,0,15,5,3,0,19,1,8,27,7,6,47,17,4,9,15,0
"ENSMUSG00000000983",0,6,3,8,2,5,0,0,1,1,0,0,2,0,0,1,1,1,14,13
"ENSMUSG00000001014",0,12,0,0,30,1,6,0,13,5,0,3,0,46,4,20,0,0,8,36
"ENSMUSG00000001016",159,532,702,187,886,455,117,181,535,158,105,92,332,794,797,460,71,304,789,604
"ENSMUSG00000001017",75,572,859,240,783,413,57,165,653,176,56,110,271,959,646,477,54,213,675,389
"ENSMUSG00000001018",59,286,438,99,503,299,31,78,315,99,32,47,166,551,439,323,34,214,409,291
"ENSMUSG00000001020",75,180,129,50,234,183,47,64,138,62,41,71,116,319,363,227,31,150,279,252
"ENSMUSG00000001021",0,6,12,0,1,0,0,7,1,9,0,0,0,11,0,9,0,0,1,0
"ENSMUSG00000001023",0,0,0,0,4,0,0,0,9,0,0,0,0,16,14,0,0,0,4,2
"ENSMUSG00000001025",154,1282,2156,386,2716,1099,195,432,1543,469,214,313,703,3126,1862,1207,149,963,1939,1178
"ENSMUSG00000001027",3,23,45,6,17,5,9,0,32,7,0,3,32,34,11,12,2,3,16,24
"ENSMUSG00000001029",64,446,744,118,629,430,18,93,515,95,34,55,256,735,568,444,12,321,567,363
"ENSMUSG00000001034",10,89,83,23,101,50,11,12,67,25,2,12,25,212,108,76,8,31,99,41
"ENSMUSG00000001036",104,491,650,205,538,472,82,107,607,96,66,102,198,552,452,334,54,235,441,258
"ENSMUSG00000001039",0,0,22,2,46,5,0,12,12,17,4,0,29,63,33,14,0,3,33,24
"ENSMUSG00000001052",88,428,486,137,623,393,97,104,373,114,74,157,219,659,464,290,58,221,426,284
"ENSMUSG00000001053",4,54,71,2,57,42,1,9,79,7,1,15,55,91,54,45,0,34,63,62
"ENSMUSG00000001054",19,161,330,24,267,125,60,68,200,65,35,30,122,293,230,167,7,68,155,88
"ENSMUSG00000001056",216,911,1232,345,1856,895,99,345,1119,426,219,335,696,1982,1546,1160,126,578,1381,954
"ENSMUSG00000001062",21,102,140,5,143,65,3,26,136,24,13,13,12,236,207,97,15,69,124,70
"ENSMUSG00000001065",11,117,161,11,69,85,4,8,86,15,8,4,27,95,160,32,35,45,80,133
"ENSMUSG00000001076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001082",54,137,466,71,380,154,22,87,297,38,14,42,127,522,225,208,37,98,252,224
"ENSMUSG00000001089",38,199,566,91,430,287,62,74,419,61,24,74,127,535,424,187,29,153,258,174
"ENSMUSG00000001095",0,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,6,5
"ENSMUSG00000001098",111,359,747,149,713,425,43,55,603,90,38,131,289,886,455,329,24,233,571,390
"ENSMUSG00000001100",49,153,326,105,289,153,33,69,141,106,22,49,72,318,243,132,30,76,349,177
"ENSMUSG00000001103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105",197,1055,1457,375,2157,714,117,379,1185,315,109,238,644,1976,1599,1010,88,691,1112,870
"ENSMUSG00000001119",9,46,101,7,128,117,25,11,85,41,7,3,27,93,67,55,15,29,92,79
"ENSMUSG00000001120",5,32,23,13,53,2,4,18,46,3,1,0,25,36,5,39,2,19,51,18
"ENSMUSG00000001123",131,569,986,142,1031,666,71,110,800,156,82,209,329,1256,922,712,95,338,839,771
"ENSMUSG00000001127",99,429,684,177,894,366,69,102,553,177,64,165,264,748,483,368,76,273,540,385
"ENSMUSG00000001128",288,1774,4251,772,4579,2126,387,751,3206,767,245,413,983,4372,2771,1710,175,1603,2996,2140
"ENSMUSG00000001131",3,42,43,20,46,25,0,5,32,9,1,10,13,77,15,11,1,23,37,19
"ENSMUSG00000001134",51,153,223,40,288,157,35,50,170,64,32,78,74,371,298,147,18,124,204,142
"ENSMUSG00000001138",21,157,120,31,171,128,18,51,131,32,22,25,40,207,137,101,19,66,134,115
"ENSMUSG00000001143",84,375,576,115,757,424,66,105,438,114,9,58,181,523,397,324,48,172,416,239
"ENSMUSG00000001150",22,183,299,38,241,224,8,32,220,66,56,37,109,309,300,187,18,104,229,166
"ENSMUSG00000001151",115,641,844,174,752,548,77,77,627,171,43,186,272,768,649,398,115,249,593,595
"ENSMUSG00000001155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001156",58,238,583,87,445,240,50,97,317,43,41,78,198,596,594,310,36,191,355,291
"ENSMUSG00000001157",79,302,567,107,519,272,50,117,440,122,44,124,92,552,482,376,60,181,332,363
"ENSMUSG00000001158",395,1596,1969,740,2817,1404,351,752,1810,661,397,615,1030,2600,2766,1248,231,944,1814,1602
"ENSMUSG00000001166",0,76,88,30,123,38,9,10,46,6,0,17,21,88,82,57,33,45,55,67
"ENSMUSG00000001168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",28,117,130,45,121,67,24,13,161,46,15,26,44,190,133,109,6,61,149,100
"ENSMUSG00000001175",3207,19601,32545,6030,38347,16251,2555,6468,23835,6753,3036,4640,11733,47230,30527,21190,2336,12903,26729,18727
"ENSMUSG00000001211",129,474,843,167,749,586,119,186,612,140,34,147,343,945,617,475,88,331,675,484
"ENSMUSG00000001225",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001227",5,23,45,5,45,14,1,11,50,38,6,3,8,27,22,4,0,22,14,43
"ENSMUSG00000001228",20,93,129,48,222,96,16,16,31,24,27,22,137,320,214,150,19,22,187,149
"ENSMUSG00000001229",48,262,279,100,466,244,28,76,276,94,15,90,143,440,389,210,29,101,251,201
"ENSMUSG00000001240",34,237,392,53,379,190,25,32,196,33,22,21,106,272,190,159,49,97,185,112
"ENSMUSG00000001247",0,8,39,13,33,14,0,0,22,10,3,5,19,77,32,42,5,10,41,40
"ENSMUSG00000001248",97,437,542,141,592,421,113,136,464,137,64,122,231,669,720,360,51,246,571,413
"ENSMUSG00000001249",1,6,9,12,0,0,4,0,13,1,8,7,16,1,22,16,0,4,4,1
"ENSMUSG00000001260",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001270",33,244,332,86,530,191,43,46,272,90,55,76,152,611,353,370,41,216,363,293
"ENSMUSG00000001280",118,798,1362,387,1209,780,110,265,920,182,57,187,485,1377,968,594,100,319,931,673
"ENSMUSG00000001281",55,507,914,189,716,337,59,171,525,118,41,181,222,981,598,563,39,321,728,407
"ENSMUSG00000001285",53,285,515,126,563,303,46,65,474,88,41,58,195,677,452,300,43,136,510,248
"ENSMUSG00000001288",7,57,153,51,168,102,11,6,119,20,17,4,40,119,106,50,8,55,101,67
"ENSMUSG00000001289",1009,3493,4897,1437,6071,3425,820,1681,3614,1440,805,1176,2274,6748,5482,3341,547,2182,4551,3520
"ENSMUSG00000001300",34,133,225,48,191,205,17,56,151,59,15,32,75,239,173,89,19,107,246,111
"ENSMUSG00000001305",8,201,348,52,255,129,40,74,219,71,19,32,71,326,297,175,24,93,195,192
"ENSMUSG00000001313",0,17,8,7,19,2,0,11,32,5,0,16,6,20,24,10,5,5,1,7
"ENSMUSG00000001323",38,132,160,22,134,110,6,9,64,7,1,38,47,86,83,42,15,19,82,81
"ENSMUSG00000001333",0,7,14,5,101,12,9,7,12,10,1,4,1,14,5,17,0,5,4,12
"ENSMUSG00000001334",0,17,19,7,36,3,3,17,17,1,2,1,12,71,41,33,0,2,33,28
"ENSMUSG00000001348",158,799,2014,425,1982,1097,153,306,1107,284,148,284,478,1851,1359,921,138,728,1162,978
"ENSMUSG00000001349",7,81,192,1,122,53,15,8,125,23,2,19,65,216,111,60,8,57,148,58
"ENSMUSG00000001366",55,320,471,168,482,301,18,146,403,121,40,86,180,517,319,198,35,181,447,304
"ENSMUSG00000001376",46,223,205,71,290,246,41,31,172,48,23,74,69,300,348,171,30,154,314,148
"ENSMUSG00000001380",43,348,315,94,616,428,46,92,353,81,49,124,198,650,447,308,26,201,460,363
"ENSMUSG00000001383",102,764,1016,230,1244,771,120,276,757,223,113,246,424,1427,1171,739,100,435,882,673
"ENSMUSG00000001403",42,362,550,83,690,241,51,114,214,48,88,91,158,759,658,433,44,168,468,633
"ENSMUSG00000001415",51,211,304,99,308,162,16,59,234,56,15,56,92,318,240,161,26,110,245,161
"ENSMUSG00000001416",158,820,1110,248,1293,720,124,346,838,310,69,133,352,1444,1093,719,75,424,889,796
"ENSMUSG00000001418",66,358,872,113,733,409,38,144,520,134,21,70,234,981,524,483,47,284,474,373
"ENSMUSG00000001419",111,397,729,184,561,396,71,113,426,97,38,127,217,670,547,302,75,200,346,374
"ENSMUSG00000001420",0,77,62,11,103,18,6,23,88,20,10,7,70,128,59,34,8,19,52,47
"ENSMUSG00000001424",91,372,541,195,838,323,54,151,417,165,84,74,316,690,814,364,65,228,697,440
"ENSMUSG00000001435",16,53,141,19,90,59,0,32,123,29,19,22,25,99,95,65,3,39,94,87
"ENSMUSG00000001436",22,29,102,9,34,38,1,2,54,7,33,9,15,71,35,15,7,20,42,17
"ENSMUSG00000001440",99,823,1082,328,1108,701,87,207,862,198,120,185,489,1527,1011,600,80,352,946,730
"ENSMUSG00000001441",118,570,756,293,959,518,151,227,674,173,77,153,251,800,837,503,106,264,652,380
