"","SRR11148753","SRR11148754","SRR11148755","SRR11148756","SRR11148757","SRR11148758","SRR11148759","SRR11148760"
"ENSMUSG00000023043",0,0,13,13,0,15,8,80
"ENSMUSG00000023044",295,332,2980,263,765,385,157,2440
"ENSMUSG00000023045",4,0,16,0,0,4,0,29
"ENSMUSG00000023046",409,757,5655,824,1510,1039,871,6496
"ENSMUSG00000023047",53,202,1331,252,217,108,117,484
"ENSMUSG00000023048",214,426,3523,556,1122,460,481,3148
"ENSMUSG00000023050",90,129,1411,210,205,290,47,936
"ENSMUSG00000023051",322,663,4412,570,838,585,260,2767
"ENSMUSG00000023052",62,50,481,48,111,138,50,670
"ENSMUSG00000023055",739,1953,15337,1473,3305,1929,1099,9345
"ENSMUSG00000023057",0,0,0,0,0,0,0,0
"ENSMUSG00000023064",259,125,1592,140,223,197,19,1654
"ENSMUSG00000023066",23,47,371,42,64,60,0,223
"ENSMUSG00000023067",150,116,1404,228,984,288,805,2437
"ENSMUSG00000023068",105,336,2360,175,551,160,85,1185
"ENSMUSG00000023070",0,0,0,0,0,0,0,0
"ENSMUSG00000023072",84,119,1174,189,448,254,161,902
"ENSMUSG00000023073",0,0,0,0,0,0,0,0
"ENSMUSG00000023074",185,517,4760,391,883,307,181,1876
"ENSMUSG00000023075",92,284,2489,363,525,256,87,1313
"ENSMUSG00000023078",1,14,15,0,0,0,0,18
"ENSMUSG00000023079",16,126,1136,77,292,174,51,1369
"ENSMUSG00000023083",0,0,0,0,0,0,0,0
"ENSMUSG00000023084",25,0,52,12,19,2,0,49
"ENSMUSG00000023087",125,323,2544,298,628,191,148,1171
"ENSMUSG00000023088",1169,1405,11347,1336,2426,1418,1117,8803
"ENSMUSG00000023089",3657,7331,56257,7419,17358,9147,6281,43042
"ENSMUSG00000023092",1681,4384,44453,14156,5321,3303,1525,18581
"ENSMUSG00000023093",0,0,0,0,0,0,0,0
"ENSMUSG00000023094",159,379,2567,388,716,188,165,1337
"ENSMUSG00000023104",257,401,2547,404,924,433,212,2047
"ENSMUSG00000023106",517,1110,8452,1051,2525,1318,584,5652
"ENSMUSG00000023110",354,704,5713,831,1670,826,764,3632
"ENSMUSG00000023118",725,1822,11336,1693,4071,2080,1081,7655
"ENSMUSG00000023120",0,3,19,0,0,0,0,12
"ENSMUSG00000023122",0,0,0,0,0,0,0,0
"ENSMUSG00000023132",0,0,62,0,0,4,0,15
"ENSMUSG00000023140",0,0,0,0,0,0,0,0
"ENSMUSG00000023143",92,159,954,194,176,126,26,596
"ENSMUSG00000023147",101,210,1553,275,425,302,117,1174
"ENSMUSG00000023150",793,1236,9457,1116,1468,863,835,6453
"ENSMUSG00000023151",0,19,32,0,0,0,0,39
"ENSMUSG00000023153",1358,2125,11711,2673,7899,2818,2469,12433
"ENSMUSG00000023156",166,492,3627,319,787,430,280,1815
"ENSMUSG00000023159",0,0,0,0,0,0,0,0
"ENSMUSG00000023165",0,0,0,0,0,0,0,0
"ENSMUSG00000023169",3,3,84,10,0,0,0,59
"ENSMUSG00000023170",540,1001,6846,1091,2209,1371,708,5038
"ENSMUSG00000023175",6842,14727,96839,15411,46861,20130,13348,74534
"ENSMUSG00000023176",0,0,39,0,0,0,0,0
"ENSMUSG00000023185",0,0,0,0,0,0,0,0
"ENSMUSG00000023186",119,233,2010,81,108,133,24,950
"ENSMUSG00000023191",114,175,1652,211,283,241,67,1048
"ENSMUSG00000023192",0,0,0,0,0,0,0,0
"ENSMUSG00000023206",593,620,5052,676,1127,437,335,3326
"ENSMUSG00000023210",0,0,0,0,0,0,0,0
"ENSMUSG00000023216",0,0,0,0,0,0,0,0
"ENSMUSG00000023224",490,862,8041,963,1931,1047,719,6426
"ENSMUSG00000023232",494,2022,13976,1953,4200,2715,1448,6555
"ENSMUSG00000023235",39,124,1347,94,306,146,109,848
"ENSMUSG00000023236",0,7,55,0,30,0,0,24
"ENSMUSG00000023243",3,7,116,8,61,10,0,142
"ENSMUSG00000023247",0,0,3,0,0,0,0,0
"ENSMUSG00000023249",1180,2293,25353,2170,4495,2751,1573,10607
"ENSMUSG00000023257",0,0,0,0,0,0,0,0
"ENSMUSG00000023259",263,544,4130,390,1162,502,209,2379
"ENSMUSG00000023262",119,190,968,94,480,155,160,1148
"ENSMUSG00000023263",0,0,0,0,0,0,0,0
"ENSMUSG00000023266",68,135,897,263,285,165,13,755
"ENSMUSG00000023267",12,24,133,16,111,15,0,127
"ENSMUSG00000023272",85,151,1076,90,196,227,43,709
"ENSMUSG00000023274",0,0,54,0,0,0,0,7
"ENSMUSG00000023277",1107,2723,19964,3297,5633,2898,2542,14404
"ENSMUSG00000023279",0,0,0,0,0,0,0,5
"ENSMUSG00000023284",18,18,245,7,90,4,0,150
"ENSMUSG00000023286",477,907,7249,985,2801,1376,831,5507
"ENSMUSG00000023289",0,0,0,0,0,0,0,0
"ENSMUSG00000023307",343,818,7713,661,1372,509,476,3350
"ENSMUSG00000023328",305,650,5373,619,1324,705,406,3119
"ENSMUSG00000023330",32,100,611,74,58,108,96,459
"ENSMUSG00000023333",0,0,0,0,0,0,0,0
"ENSMUSG00000023336",683,1776,13214,1506,3542,2360,1122,6790
"ENSMUSG00000023341",11,55,296,13,52,29,5,370
"ENSMUSG00000023345",14,35,196,1,56,19,1,248
"ENSMUSG00000023348",163,216,1442,168,195,241,83,1115
"ENSMUSG00000023349",0,0,52,0,7,0,0,11
"ENSMUSG00000023350",0,0,0,0,0,0,0,0
"ENSMUSG00000023353",410,1013,6216,1199,2240,929,614,4124
"ENSMUSG00000023367",89,95,1342,90,110,116,122,1081
"ENSMUSG00000023387",0,0,0,0,0,0,0,6
"ENSMUSG00000023391",0,4,0,0,0,0,0,0
"ENSMUSG00000023393",45,18,281,8,76,18,12,205
"ENSMUSG00000023403",0,0,0,0,0,0,0,0
"ENSMUSG00000023411",91,163,1353,147,146,202,231,882
"ENSMUSG00000023433",0,0,0,0,0,0,0,0
"ENSMUSG00000023439",9,57,128,34,36,29,18,144
"ENSMUSG00000023443",0,0,0,0,0,0,0,0
"ENSMUSG00000023452",106,202,1857,226,401,318,162,894
"ENSMUSG00000023456",20848,48965,372292,43396,93747,56200,27966,149754
"ENSMUSG00000023460",555,2430,15472,1565,3713,1042,592,6815
"ENSMUSG00000023467",0,0,0,0,0,0,1,13
"ENSMUSG00000023473",2,18,40,15,0,13,0,2
"ENSMUSG00000023484",2,15,51,0,0,6,0,96
"ENSMUSG00000023495",542,1237,8177,1449,2621,1249,942,4894
"ENSMUSG00000023505",13,44,302,10,35,32,1,204
"ENSMUSG00000023571",206,346,1925,361,547,353,328,1400
"ENSMUSG00000023572",194,375,3697,392,787,382,387,2347
"ENSMUSG00000023707",195,441,2661,433,701,397,198,1442
"ENSMUSG00000023723",730,1730,11963,1694,3980,1854,1409,7565
"ENSMUSG00000023737",0,0,0,0,0,0,0,0
"ENSMUSG00000023755",49,105,799,73,141,97,70,545
"ENSMUSG00000023764",218,282,2974,297,756,369,132,1650
"ENSMUSG00000023781",0,0,16,8,0,2,0,0
"ENSMUSG00000023791",31,102,1101,104,201,95,42,474
"ENSMUSG00000023795",0,0,2,0,0,0,0,0
"ENSMUSG00000023800",32,19,183,18,121,47,0,318
"ENSMUSG00000023802",0,0,0,0,0,0,0,0
"ENSMUSG00000023805",666,1147,7642,682,969,1019,504,3120
"ENSMUSG00000023806",23,96,1074,198,312,110,30,433
"ENSMUSG00000023809",684,1605,11371,1345,3246,1866,1028,9674
"ENSMUSG00000023826",260,301,2808,330,694,238,347,1587
"ENSMUSG00000023827",42,51,456,74,83,35,27,477
"ENSMUSG00000023828",33,8,206,8,0,19,31,58
"ENSMUSG00000023829",0,0,26,0,0,0,0,6
"ENSMUSG00000023830",253,714,6903,582,1217,984,255,3863
"ENSMUSG00000023832",107,64,594,106,61,65,41,637
"ENSMUSG00000023845",240,451,3398,308,525,269,207,1587
"ENSMUSG00000023852",71,169,1820,143,248,143,67,1076
"ENSMUSG00000023861",762,2657,15710,2438,3559,1364,851,6359
"ENSMUSG00000023868",18,66,934,66,70,171,52,221
"ENSMUSG00000023873",0,8,45,0,0,8,0,3
"ENSMUSG00000023882",0,3,234,25,51,6,0,81
"ENSMUSG00000023883",262,710,5045,694,1484,494,513,3280
"ENSMUSG00000023885",76,125,1442,95,193,110,213,1251
"ENSMUSG00000023886",809,1585,14719,1462,2211,2421,1110,6996
"ENSMUSG00000023892",12,58,775,31,49,17,40,338
"ENSMUSG00000023902",2,0,0,0,0,0,0,0
"ENSMUSG00000023903",0,0,23,0,0,20,0,13
"ENSMUSG00000023904",1393,2477,17688,3053,6521,3700,3335,13289
"ENSMUSG00000023905",54,278,6453,663,776,1430,340,2655
"ENSMUSG00000023906",0,0,0,0,0,0,0,0
"ENSMUSG00000023908",56,62,552,98,101,76,67,388
"ENSMUSG00000023909",46,91,821,91,192,107,50,571
"ENSMUSG00000023911",32,4,46,0,25,26,34,58
"ENSMUSG00000023912",431,539,5023,585,897,437,365,3512
"ENSMUSG00000023913",603,1418,11305,969,2919,1736,759,8501
"ENSMUSG00000023914",0,0,0,0,0,0,6,0
"ENSMUSG00000023915",74,340,2939,290,411,259,141,1265
"ENSMUSG00000023918",52,34,514,44,126,76,44,178
"ENSMUSG00000023919",19,22,216,21,60,0,0,143
"ENSMUSG00000023921",176,305,2899,289,613,279,143,1816
"ENSMUSG00000023923",107,166,1133,177,466,190,72,815
"ENSMUSG00000023926",0,0,0,0,0,0,0,0
"ENSMUSG00000023927",135,485,3439,338,791,196,235,1471
"ENSMUSG00000023930",0,0,0,0,0,0,0,0
"ENSMUSG00000023931",6,0,41,0,13,0,0,25
"ENSMUSG00000023932",166,442,3925,325,630,358,95,1678
"ENSMUSG00000023935",0,0,0,0,0,0,0,10
"ENSMUSG00000023938",341,821,5309,634,1353,845,531,3899
"ENSMUSG00000023939",450,1728,10784,1422,2801,1766,853,5678
"ENSMUSG00000023940",0,0,13,0,1,0,0,14
"ENSMUSG00000023942",528,932,6852,1106,2420,1386,609,5967
"ENSMUSG00000023943",0,4,0,0,0,0,0,0
"ENSMUSG00000023944",4572,15347,136376,15159,35843,16190,8829,60982
"ENSMUSG00000023945",0,0,0,0,0,0,0,0
"ENSMUSG00000023947",8,10,208,33,49,13,0,164
"ENSMUSG00000023949",0,0,0,0,0,0,0,0
"ENSMUSG00000023951",5033,11274,101254,8543,16903,11154,3535,55583
"ENSMUSG00000023952",669,1528,11212,1328,3013,1404,862,7454
"ENSMUSG00000023953",24,162,1163,46,167,86,31,628
"ENSMUSG00000023959",368,1535,11878,1064,1968,1093,319,4311
"ENSMUSG00000023960",149,274,2391,278,354,286,40,1620
"ENSMUSG00000023961",157,332,3269,245,427,182,187,1511
"ENSMUSG00000023963",40,69,583,50,102,3,12,258
"ENSMUSG00000023964",5,4,192,15,9,19,0,32
"ENSMUSG00000023965",186,383,3260,293,649,355,144,1430
"ENSMUSG00000023966",17,0,174,13,56,3,0,66
"ENSMUSG00000023967",754,1747,12140,1757,3109,1731,1450,6031
"ENSMUSG00000023968",50,46,176,24,435,194,85,972
"ENSMUSG00000023971",116,198,1876,217,309,357,126,1249
"ENSMUSG00000023972",3,13,120,14,37,17,0,86
"ENSMUSG00000023973",80,169,1695,233,538,260,62,1203
"ENSMUSG00000023977",1253,2588,16194,1857,3080,1817,950,9339
"ENSMUSG00000023978",0,0,0,0,0,0,0,0
"ENSMUSG00000023979",31,51,435,82,191,94,106,423
"ENSMUSG00000023980",204,338,2753,331,734,458,298,2274
"ENSMUSG00000023982",0,0,0,0,0,0,0,0
"ENSMUSG00000023984",1,17,25,22,0,0,13,21
"ENSMUSG00000023987",0,0,0,0,0,0,0,0
"ENSMUSG00000023988",196,477,3314,466,1043,553,250,2204
"ENSMUSG00000023990",816,1914,10605,1886,5095,2334,1811,9199
"ENSMUSG00000023991",63,125,1628,246,564,303,162,1087
"ENSMUSG00000023992",0,2,175,0,17,30,0,59
"ENSMUSG00000023993",0,0,0,0,0,5,0,0
"ENSMUSG00000023994",87,79,1391,193,216,180,7,1276
"ENSMUSG00000023995",0,0,13,0,0,9,0,0
"ENSMUSG00000023999",0,0,0,0,0,0,0,3
"ENSMUSG00000024002",427,685,5799,664,1427,647,580,4569
"ENSMUSG00000024006",898,1144,10489,1164,2027,1277,601,7303
"ENSMUSG00000024007",22,76,1063,203,456,109,92,849
"ENSMUSG00000024008",7,0,2,1,0,0,0,13
"ENSMUSG00000024011",219,299,2016,435,668,417,323,2634
"ENSMUSG00000024012",539,1197,8413,1228,2130,1384,778,5822
"ENSMUSG00000024013",23,61,687,72,119,53,41,280
"ENSMUSG00000024014",267,277,3626,235,1335,1001,475,4841
"ENSMUSG00000024018",68,228,1496,187,502,182,96,1410
"ENSMUSG00000024019",96,142,1570,106,203,201,51,950
"ENSMUSG00000024026",842,1916,14814,1891,4023,2154,1407,9427
"ENSMUSG00000024027",0,0,6,0,0,0,0,0
"ENSMUSG00000024028",0,0,0,0,0,0,0,0
"ENSMUSG00000024029",0,0,0,0,0,0,0,0
"ENSMUSG00000024030",21,42,261,21,72,7,0,84
"ENSMUSG00000024032",0,0,0,0,0,0,0,0
"ENSMUSG00000024033",18,38,193,37,67,78,0,230
"ENSMUSG00000024034",0,0,0,0,0,0,0,0
"ENSMUSG00000024036",4,22,136,11,64,10,0,132
"ENSMUSG00000024037",165,345,2190,300,429,213,219,1610
"ENSMUSG00000024038",2860,6095,39006,6443,15627,8650,5567,27099
"ENSMUSG00000024039",0,5,4,0,30,0,0,55
"ENSMUSG00000024041",0,0,0,0,0,0,0,0
"ENSMUSG00000024042",238,198,1295,174,556,235,283,1565
"ENSMUSG00000024043",20,29,393,32,68,44,54,349
"ENSMUSG00000024044",3,36,282,17,16,26,15,138
"ENSMUSG00000024045",1759,2197,22723,2028,4422,2824,1578,15578
"ENSMUSG00000024048",302,835,6443,930,1536,839,394,3081
"ENSMUSG00000024049",10192,19338,141168,19549,42064,19248,13293,88296
"ENSMUSG00000024050",236,428,3126,397,838,606,273,2655
"ENSMUSG00000024052",47,116,821,39,173,165,33,477
"ENSMUSG00000024053",65,92,763,109,116,46,34,479
"ENSMUSG00000024054",79,143,1402,51,78,156,60,1014
"ENSMUSG00000024055",340,303,3807,420,791,694,365,2922
"ENSMUSG00000024056",2,0,44,0,0,0,0,20
"ENSMUSG00000024059",436,885,5620,647,1267,787,331,2858
"ENSMUSG00000024063",43,74,998,96,126,176,43,606
"ENSMUSG00000024064",0,0,0,0,0,0,0,4
"ENSMUSG00000024065",24,63,707,56,283,128,67,546
"ENSMUSG00000024066",770,890,6509,629,927,783,403,4139
"ENSMUSG00000024067",150,445,3098,486,808,515,172,2294
"ENSMUSG00000024068",322,667,5720,605,1682,542,428,3060
"ENSMUSG00000024069",79,196,881,97,274,146,124,691
"ENSMUSG00000024070",119,177,1622,108,198,102,99,1132
"ENSMUSG00000024072",35,36,535,74,77,34,24,303
"ENSMUSG00000024073",296,476,4256,368,640,456,241,2278
"ENSMUSG00000024074",97,124,997,174,360,108,60,709
"ENSMUSG00000024076",39,21,357,23,33,50,31,433
"ENSMUSG00000024077",40,101,739,49,98,59,35,571
"ENSMUSG00000024078",30,244,1459,274,419,97,91,680
"ENSMUSG00000024079",88,176,1709,67,170,137,130,1138
"ENSMUSG00000024081",165,340,3311,405,781,475,172,2271
"ENSMUSG00000024082",107,337,2373,294,503,264,124,1299
"ENSMUSG00000024083",124,369,3892,196,634,472,233,2073
"ENSMUSG00000024084",11,6,104,3,0,0,0,36
"ENSMUSG00000024085",43,93,1190,99,189,84,1,500
"ENSMUSG00000024087",1,20,174,6,0,7,1,77
"ENSMUSG00000024088",0,0,0,0,0,0,0,0
"ENSMUSG00000024091",633,1384,13016,1320,2134,1332,929,6143
"ENSMUSG00000024095",119,188,1489,196,191,129,55,684
"ENSMUSG00000024096",359,428,3533,348,837,469,502,2924
"ENSMUSG00000024097",474,823,7547,779,1052,656,461,4587
"ENSMUSG00000024098",155,257,2706,182,491,204,164,1517
"ENSMUSG00000024099",3152,8590,74019,8422,14757,7745,6067,36237
"ENSMUSG00000024101",284,516,3743,444,1012,509,519,2796
"ENSMUSG00000024104",358,526,5049,568,1003,416,618,3596
"ENSMUSG00000024105",0,43,269,22,20,27,0,170
"ENSMUSG00000024107",0,4,29,0,0,6,0,43
"ENSMUSG00000024109",0,6,18,8,12,0,8,11
"ENSMUSG00000024112",146,221,2587,204,391,374,332,1684
"ENSMUSG00000024114",0,3,11,0,0,0,0,0
"ENSMUSG00000024116",0,0,0,0,0,0,0,0
"ENSMUSG00000024118",57,57,531,48,41,76,52,417
"ENSMUSG00000024120",541,965,9099,865,2114,860,686,4711
"ENSMUSG00000024121",145,604,3550,469,960,530,115,1794
"ENSMUSG00000024122",99,150,1629,116,208,133,0,732
"ENSMUSG00000024124",0,0,0,0,0,0,0,5
"ENSMUSG00000024125",0,0,0,0,0,0,0,0
"ENSMUSG00000024127",364,529,3366,456,606,411,111,2730
"ENSMUSG00000024128",0,0,0,0,0,0,0,0
"ENSMUSG00000024130",279,455,3555,489,669,668,293,3178
"ENSMUSG00000024131",1,5,25,12,0,0,0,20
"ENSMUSG00000024132",732,1796,15452,2160,4542,2210,956,7847
"ENSMUSG00000024134",91,250,1405,194,911,252,98,1312
"ENSMUSG00000024135",42,30,684,65,214,100,50,313
"ENSMUSG00000024136",114,88,775,141,429,207,63,1060
"ENSMUSG00000024137",321,735,5357,787,1346,715,253,4229
"ENSMUSG00000024140",467,1604,13516,1151,2077,1290,417,9343
"ENSMUSG00000024142",286,366,2746,371,619,418,129,1819
"ENSMUSG00000024143",403,1113,7958,900,1615,656,393,3543
"ENSMUSG00000024145",16,15,159,29,0,30,31,184
"ENSMUSG00000024146",177,431,3857,388,854,541,292,1782
"ENSMUSG00000024150",172,481,3759,276,961,384,166,2280
"ENSMUSG00000024151",77,239,1654,193,299,192,70,978
"ENSMUSG00000024154",0,0,0,0,0,0,0,4
"ENSMUSG00000024155",0,11,35,0,6,0,0,17
"ENSMUSG00000024158",395,926,7774,1057,2003,1314,516,4733
"ENSMUSG00000024160",332,719,5036,646,2009,986,431,3292
"ENSMUSG00000024163",1631,1694,17100,1989,4176,2588,1146,12643
"ENSMUSG00000024164",497,788,8597,868,1644,917,578,7330
"ENSMUSG00000024165",3,32,348,27,46,42,13,130
"ENSMUSG00000024168",65,219,1639,300,452,228,93,1468
"ENSMUSG00000024169",147,136,1120,112,181,169,74,882
"ENSMUSG00000024170",258,330,2984,434,935,569,205,2373
"ENSMUSG00000024171",0,0,3,0,0,0,0,0
"ENSMUSG00000024172",0,0,0,0,0,0,0,0
"ENSMUSG00000024173",0,0,29,0,0,0,0,18
"ENSMUSG00000024174",32,95,831,29,20,89,22,577
"ENSMUSG00000024175",0,0,0,0,0,0,0,0
"ENSMUSG00000024176",19,33,93,51,0,9,3,88
"ENSMUSG00000024177",21,33,188,27,27,100,39,175
"ENSMUSG00000024180",23,23,425,13,0,55,16,229
"ENSMUSG00000024181",554,1291,8543,1267,3320,1277,684,5176
"ENSMUSG00000024182",124,321,2081,335,849,466,113,1101
"ENSMUSG00000024184",0,0,4,0,0,0,0,0
"ENSMUSG00000024186",21,48,450,115,102,36,16,279
"ENSMUSG00000024187",413,1049,7479,1008,1840,1158,597,4496
"ENSMUSG00000024188",468,584,5917,799,1253,842,367,4718
"ENSMUSG00000024190",1063,1333,8601,1439,1207,1323,1816,17627
"ENSMUSG00000024191",285,588,4285,577,1428,946,448,2759
"ENSMUSG00000024193",473,828,5913,691,1503,828,487,4629
"ENSMUSG00000024194",706,1636,10713,1676,3358,1859,1325,6854
"ENSMUSG00000024197",256,302,2811,346,1022,393,383,2226
"ENSMUSG00000024201",224,431,3290,519,847,530,272,2374
"ENSMUSG00000024205",4,9,100,16,73,14,10,73
"ENSMUSG00000024206",46,93,310,159,126,118,43,501
"ENSMUSG00000024207",0,0,0,0,0,0,0,0
"ENSMUSG00000024208",3059,5457,40908,6993,17365,8689,6372,32268
"ENSMUSG00000024209",0,6,0,0,0,0,0,0
"ENSMUSG00000024210",176,430,2676,474,788,311,84,1712
"ENSMUSG00000024211",0,0,30,5,0,0,0,0
"ENSMUSG00000024212",186,435,3608,482,1147,648,163,2288
"ENSMUSG00000024213",1041,2901,18258,2837,6203,2819,1681,10304
"ENSMUSG00000024215",16,34,54,19,12,10,0,34
"ENSMUSG00000024217",180,571,3964,480,973,525,189,1862
"ENSMUSG00000024218",118,350,2107,262,549,183,82,1201
"ENSMUSG00000024219",283,406,3219,423,840,408,270,2829
"ENSMUSG00000024220",380,532,3571,406,1075,556,377,2786
"ENSMUSG00000024222",254,296,2287,434,1363,240,539,3629
"ENSMUSG00000024223",0,1,0,0,0,0,0,16
"ENSMUSG00000024224",0,0,0,0,0,0,0,0
"ENSMUSG00000024225",0,0,0,0,0,0,0,0
"ENSMUSG00000024227",0,0,48,0,0,13,0,29
"ENSMUSG00000024228",44,73,805,51,151,64,38,449
"ENSMUSG00000024231",255,608,3778,363,958,421,197,1768
"ENSMUSG00000024232",14,32,206,21,24,11,0,179
"ENSMUSG00000024233",0,0,0,0,0,0,0,0
"ENSMUSG00000024234",146,285,2542,178,340,194,244,1339
"ENSMUSG00000024235",36,11,645,91,133,58,88,325
"ENSMUSG00000024236",2509,4126,36633,3920,6876,5905,3085,30817
"ENSMUSG00000024238",254,399,4058,290,499,444,179,2456
"ENSMUSG00000024240",139,324,3198,354,738,435,162,1906
"ENSMUSG00000024241",144,239,2548,196,356,114,178,1372
"ENSMUSG00000024242",223,371,2958,428,489,286,133,2223
"ENSMUSG00000024245",3,0,62,0,0,9,0,80
"ENSMUSG00000024246",144,169,1259,77,300,106,45,1138
"ENSMUSG00000024247",845,2823,19897,2315,5676,2716,1522,8463
"ENSMUSG00000024248",922,1968,16506,2333,4097,1967,1194,8298
"ENSMUSG00000024251",18,91,664,73,104,84,39,448
"ENSMUSG00000024253",2,46,421,45,89,38,16,197
"ENSMUSG00000024254",0,0,0,0,0,0,0,0
"ENSMUSG00000024256",0,0,0,0,0,0,0,0
"ENSMUSG00000024258",148,138,1033,91,231,143,6,696
"ENSMUSG00000024259",272,440,4237,418,754,318,216,1908
"ENSMUSG00000024260",208,228,2310,273,678,244,291,1673
"ENSMUSG00000024261",0,0,31,0,0,0,0,0
"ENSMUSG00000024266",6,0,24,0,0,0,34,4
"ENSMUSG00000024268",4,17,93,3,3,0,0,57
"ENSMUSG00000024269",83,299,1810,174,658,204,79,996
"ENSMUSG00000024270",24,12,345,11,19,13,0,185
"ENSMUSG00000024271",449,522,4796,591,946,628,411,3654
"ENSMUSG00000024273",66,75,840,120,148,131,25,701
"ENSMUSG00000024274",0,0,0,0,0,0,0,0
"ENSMUSG00000024276",162,301,3299,327,472,272,112,1748
"ENSMUSG00000024277",132,639,5086,520,1054,727,185,2665
"ENSMUSG00000024283",113,252,2566,139,232,198,190,1186
"ENSMUSG00000024286",317,671,5847,623,970,576,318,2976
"ENSMUSG00000024287",635,471,5516,434,872,524,633,4002
"ENSMUSG00000024290",108,138,2322,119,457,242,63,1912
"ENSMUSG00000024292",0,0,0,0,55,10,0,37
"ENSMUSG00000024293",106,142,1311,93,195,105,41,680
"ENSMUSG00000024294",219,471,2480,288,1080,318,96,2146
"ENSMUSG00000024295",0,0,0,0,0,0,0,0
"ENSMUSG00000024298",151,293,3399,229,251,212,97,1487
"ENSMUSG00000024299",459,762,6020,930,1111,812,624,3773
"ENSMUSG00000024300",33,33,381,49,98,18,8,83
"ENSMUSG00000024301",0,19,174,18,20,18,0,76
"ENSMUSG00000024302",377,699,6450,1035,2040,1149,340,4536
"ENSMUSG00000024304",13,3,31,58,0,0,0,48
"ENSMUSG00000024306",0,0,0,0,0,0,0,0
"ENSMUSG00000024308",292,711,5580,631,1130,793,430,4803
"ENSMUSG00000024309",617,1053,8663,1238,3651,1975,926,6468
"ENSMUSG00000024312",57,228,1600,200,245,238,123,1145
"ENSMUSG00000024313",0,0,0,0,0,0,0,9
"ENSMUSG00000024317",48,58,773,53,78,85,34,350
"ENSMUSG00000024319",457,1008,6343,802,2347,1035,544,4875
"ENSMUSG00000024325",393,785,5437,578,1642,1067,274,4989
"ENSMUSG00000024327",2,13,65,8,10,0,0,48
"ENSMUSG00000024330",176,276,1877,226,511,369,109,2758
"ENSMUSG00000024331",0,0,23,0,0,3,0,6
"ENSMUSG00000024334",0,0,14,0,0,0,0,14
"ENSMUSG00000024335",800,1561,12243,1528,2863,1594,648,8756
"ENSMUSG00000024338",198,290,1975,269,303,368,184,2016
"ENSMUSG00000024339",213,304,3035,353,448,457,219,1986
"ENSMUSG00000024340",0,0,28,5,0,5,0,21
"ENSMUSG00000024346",1469,3390,22916,3433,8856,5093,3175,15829
"ENSMUSG00000024347",19,12,168,0,0,24,0,36
"ENSMUSG00000024349",43,154,1060,75,124,179,75,771
"ENSMUSG00000024350",228,538,4079,450,1048,631,246,2579
"ENSMUSG00000024352",2,33,246,9,28,30,50,197
"ENSMUSG00000024353",10,1,60,19,0,16,0,40
"ENSMUSG00000024354",0,0,0,0,0,4,0,0
"ENSMUSG00000024357",261,477,3302,543,955,601,375,2177
"ENSMUSG00000024359",1808,4699,39573,4549,8577,4378,3355,17229
"ENSMUSG00000024360",503,1339,8518,1459,3088,1576,968,6352
"ENSMUSG00000024365",0,0,4,0,0,0,0,4
"ENSMUSG00000024366",0,1,24,10,0,24,0,69
"ENSMUSG00000024369",74,177,1478,311,240,275,115,975
"ENSMUSG00000024370",195,323,3351,378,778,420,199,2564
"ENSMUSG00000024371",19,66,216,40,44,46,15,255
"ENSMUSG00000024376",35,53,769,110,204,116,90,628
"ENSMUSG00000024378",10,20,486,43,50,39,7,535
"ENSMUSG00000024379",8,6,281,38,0,4,32,105
"ENSMUSG00000024381",4565,13813,87639,14095,30249,16291,9417,57850
"ENSMUSG00000024382",169,290,2181,176,480,237,140,1567
"ENSMUSG00000024383",91,198,1751,169,190,105,83,929
"ENSMUSG00000024384",134,392,4062,319,845,423,153,2127
"ENSMUSG00000024386",0,0,0,0,0,0,0,0
"ENSMUSG00000024387",632,2030,12604,2058,5032,2763,1332,8089
"ENSMUSG00000024388",0,0,5,0,0,0,0,3
"ENSMUSG00000024391",4,0,9,0,0,0,0,0
"ENSMUSG00000024392",1341,2965,20201,3019,6688,4204,2067,14992
"ENSMUSG00000024393",1229,2725,17576,2660,3828,2840,1527,13249
"ENSMUSG00000024395",553,1027,5992,946,1761,1223,787,6422
"ENSMUSG00000024397",18,23,287,9,0,30,9,172
"ENSMUSG00000024399",2,8,33,0,0,12,0,21
"ENSMUSG00000024400",298,520,4162,376,1018,617,323,2731
"ENSMUSG00000024401",17,9,117,15,18,0,0,38
"ENSMUSG00000024402",0,0,46,0,40,8,0,4
"ENSMUSG00000024403",12,76,394,82,139,33,47,197
"ENSMUSG00000024404",1156,2139,14904,1758,4355,1893,1370,9612
"ENSMUSG00000024406",0,0,0,0,0,0,0,0
"ENSMUSG00000024409",0,0,0,11,12,0,0,0
"ENSMUSG00000024410",98,260,2189,127,319,216,40,1237
"ENSMUSG00000024411",75,59,1651,97,44,165,39,571
"ENSMUSG00000024413",496,1658,13544,694,3086,1415,824,6875
"ENSMUSG00000024414",394,740,6074,813,1765,1173,630,4051
"ENSMUSG00000024420",63,186,1180,137,239,144,39,663
"ENSMUSG00000024421",12,52,529,59,28,12,0,321
"ENSMUSG00000024422",269,456,3777,553,1159,509,324,3155
"ENSMUSG00000024423",414,674,7189,542,772,531,395,3054
"ENSMUSG00000024424",29,59,366,35,102,45,56,184
"ENSMUSG00000024425",353,714,7394,684,1538,532,715,3833
"ENSMUSG00000024426",38,50,639,67,220,141,28,423
"ENSMUSG00000024427",22,79,770,63,48,44,20,471
