"","Mmus_C57-6J_ADR_FLT_Rep1_M23","Mmus_C57-6J_ADR_FLT_Rep2_M24","Mmus_C57-6J_ADR_FLT_Rep3_M25","Mmus_C57-6J_ADR_FLT_Rep4_M26","Mmus_C57-6J_ADR_FLT_Rep5_M27","Mmus_C57-6J_ADR_FLT_Rep6_M28","Mmus_C57-6J_ADR_GC_Rep1_M33","Mmus_C57-6J_ADR_GC_Rep2_M34","Mmus_C57-6J_ADR_GC_Rep3_M35","Mmus_C57-6J_ADR_GC_Rep4_M36","Mmus_C57-6J_ADR_GC_Rep5_M37"
"ENSMUSG00000021403",8,13,13,14,8,13,7,10,13,18,12
"ENSMUSG00000021404",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021408",2372.97,2933,2654.83,2838.25,2182.23,2055.15,2422.96,2123.38,2123.11,2549.14,2105.82
"ENSMUSG00000021411",114,206,208,172,146,121,209,115,280,142,133
"ENSMUSG00000021413",3827,4537,4032,4834,3816,3518,3593,3418,2753,3877,3662
"ENSMUSG00000021414",20,38,52,45,66,32,76,27,44,41,38
"ENSMUSG00000021415",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021416",1.07,3,9.01,12.01,32.05,1,92.23,12.37,22.03,4.01,4.01
"ENSMUSG00000021417",1710.93,2256,1995.99,2316.99,2175.95,1797,1954.77,1921.63,2162.97,2678.99,2433.99
"ENSMUSG00000021418",214,282,227,359,287,263,215,207,196,311,287
"ENSMUSG00000021420",1941,2214,2107,2415,2316,2124,1851,1833,2052,2233,2072
"ENSMUSG00000021423",155,259,197,343,200,176,226,305,148,251,144
"ENSMUSG00000021427",12977,15645,14389,17107,13564,13754,13098,12437,13009,14163,12724
"ENSMUSG00000021428",1282,1638,1581,1368,1129,1135,1278,1129,1151,1048,861
"ENSMUSG00000021431",737,675,704,694,518,523,596,629,556,555,525
"ENSMUSG00000021432",479,477,467,548,508,501,437,447,390,572,475
"ENSMUSG00000021439",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021440",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021441",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021448",118,214,144,193,171,138,134,63,115,105,128
"ENSMUSG00000021451",684,1150,957,1764,1177,1080,844,1271,592,1242,887
"ENSMUSG00000021453",1180,1801,1698,1836,1342,1534,993,823,1286,864,1256
"ENSMUSG00000021456",1,9,15,4,25,2,11,14,14,8,3
"ENSMUSG00000021457",413,594,613,681,337,424,656,1210,445,662,400
"ENSMUSG00000021458",1499,1541,1590,1981,1493,1255,1202,1415,998,1759,1606
"ENSMUSG00000021460",3009,3701,3501,3735,3208,3134,3055,2801,3165,3337,3217
"ENSMUSG00000021461",541,585,433,702,538,545,468,479,476,617,564
"ENSMUSG00000021464",511,766,550,840,592,557,614,249,426,637,488
"ENSMUSG00000021466",2758,5082,3782,6265,4830,4440,4611,2495,3484,6133,5298
"ENSMUSG00000021468",4167,4307,3728,5472,4515,4522,3411,3888,3872,4536,4360
"ENSMUSG00000021469",33,55,79,58,40,42,53,47,38,27,68
"ENSMUSG00000021470",2493,2664,2220,3006,2581,2351,2052,1866,1889,3147,2343
"ENSMUSG00000021474",2316,2634,2533,3497,2951,2555,3006,2155,2394,2694,2548
"ENSMUSG00000021476",1398,1914,1779,2111,1853,1901,1569,1705,1556,2026,1794
"ENSMUSG00000021477",8593,8510,8494,10219.87,7267,6457,7133,6424,7519,9807,6320
"ENSMUSG00000021478",2,8,1,3,4,2,1,0,0,0,4
"ENSMUSG00000021481",1385,1686,1352,2413,2134,2044,1267,1565,1210,2432,2078
"ENSMUSG00000021482",2216,2564,2320,2727,2278,2115,2236,1878,2174,2935,2257
"ENSMUSG00000021483",49,82,68,141,106,83,91,95,83,104,54
"ENSMUSG00000021484",11017,12021,10846,14264,12106,11033,10606,11123,10850,11847,10927
"ENSMUSG00000021485",64,74,53,25,16,14,39,27,16,21,15
"ENSMUSG00000021486",3677,4593,4273,5426.94,4544,4288,4010,4146.96,4162,4606.82,4115
"ENSMUSG00000021488",11113,13486,12032,18016,14278,14178,11496,10599,9290,15437,12651
"ENSMUSG00000021490",0,0,0,1,0,0,0,0,1,0,0
"ENSMUSG00000021492",0,3,0,4,1,9,7,3,619,2,0
"ENSMUSG00000021493",600,767,867,793,741,611,665,663,633,667,660
"ENSMUSG00000021494",1288,1603,1469,2003,1481,1432,1257,1141,1073,1564,1332
"ENSMUSG00000021495",789,690,773,801,534,638,460,928,323,750,735
"ENSMUSG00000021496",390,404,394,394,403,346,345,387,345,367,360
"ENSMUSG00000021497",2267,2722,2630,3235,2834,2623,2402,2448,2579,2873,2573
"ENSMUSG00000021499",2,1,5,1,3,3,5,2,0,9,4
"ENSMUSG00000021500",4212,5113,4506,5831,4393,3979,3676,3287,3171,4874,4089
"ENSMUSG00000021501",640,721,702,977,854,823,730,719,690,943,737
"ENSMUSG00000021504",315,387,349,708,577,502,346,411,351,515,512
"ENSMUSG00000021506",1,0,0,0,0,1,0,3,5,0,1
"ENSMUSG00000021508",949,1959,1896,1863,1803,1606,1589,1573,1694,2121,1581
"ENSMUSG00000021509",3,10,20,22,93,5,50,12,44,5,16
"ENSMUSG00000021510",510.23,744.07,620.65,945.48,960.57,686.87,704.7,651.46,529.04,1031.5,686.3
"ENSMUSG00000021514",687,835,677,1043,826,692.31,755,807,574,929,840
"ENSMUSG00000021518",2498,3071,2808,3371,2831,2614,2632,2382,2453,3259,2387
"ENSMUSG00000021519",681,923,850,886,879,838,725,691,625,925,803
"ENSMUSG00000021520",3162.87,3651.1,3528.43,4833.83,4232.97,3678.89,3389.2,3076.74,3561.06,3611.97,3463.44
"ENSMUSG00000021532",319,446,372,492,412,439,311,384,369,441,406
"ENSMUSG00000021534",0,6,3,6,5,3,2,4,2,3,2
"ENSMUSG00000021536",33,93,54,57,49,46,85,24,47,66,60
"ENSMUSG00000021537",1535,1967,1820,2050,1792,1623,1658,1305,1404,1886,1565
"ENSMUSG00000021538",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021539",0,7,3,6,1,2,2,2,206,3,1
"ENSMUSG00000021540",4260,5784,4910,6812,5843,5255,5327,4041,4416,7424,5368
"ENSMUSG00000021541",8,43,26,20,20,13,20,8,7,23,8
"ENSMUSG00000021545",0,0,2,1,0,0,0,0,0,0,1
"ENSMUSG00000021546",18236.68,24716.55,22024.22,25132.03,20651.25,20074.04,20944.5,17620.35,19881.48,22209.16,18551.37
"ENSMUSG00000021548",709,991,824,982,897,821,735,662,738,1002,895
"ENSMUSG00000021549",2820,3557,3391,3627,3429,3156,3008,2791,2866,3527,3131
"ENSMUSG00000021550",1300,1742,1428,2187,1819,1724,1571,1467,1464,1832,1584
"ENSMUSG00000021552",1085.88,1607.35,1303.83,1304.03,1124.17,1173.06,1245.48,1068.15,1227.93,1113.98,1055.17
"ENSMUSG00000021553",0,0,0,2,1,0,2,1,2,0,2
"ENSMUSG00000021555",1197,1696,1454,1905,1470,1495,1347,1256,1197,1784,1307
"ENSMUSG00000021556",358,550,439,627,584,460,371,475,345,432,377
"ENSMUSG00000021557",1358,1890,1740,2080,1685,1562,1337,1391,1262,1463,1321
"ENSMUSG00000021559",949,1289,1326,1826,1228,1264,1399,1145,989,1515,802
"ENSMUSG00000021565",8,9,11,7,14,4,6,10,4,14,12
"ENSMUSG00000021566",1,0,0,6,7,2,3,1,1,4,4
"ENSMUSG00000021567",54,103,55,115,67,61,104,30,85,109,91
"ENSMUSG00000021569",45,58,39,70,56,44,28,38,26,52,38
"ENSMUSG00000021572",175,188,152,202,201,177,122,126,117,133,200
"ENSMUSG00000021573",301,598,485,451,554,397,706,451,532,428,439
"ENSMUSG00000021575",121,213,182,200,158,114,124,86,99,198,137
"ENSMUSG00000021576",3349,3861,3683,4785,4069,3996,3245,3502,3593,4270,4234
"ENSMUSG00000021577",23483,27752,25521,26431,28794,22420,25401,23120,24812,25581,23747
"ENSMUSG00000021578",2377,3041,2920,3394,3026,2818,2738,2472,2467,3184,2748
"ENSMUSG00000021579",18,28,28,69,43,45,34,11,19,54,24
"ENSMUSG00000021583",3942,4826,4710,5379,4345,3840,4769,4946,4063,4971,3662
"ENSMUSG00000021585",4122,4668,4266,5573,4556,4209,4184,3556,3497,4751,3831
"ENSMUSG00000021587",1727,6050,5169,5756,5142,4822,3737,5341,3390,4225,3562
"ENSMUSG00000021589",505,721,570,683,641,536,595,360,525,819,559
"ENSMUSG00000021590",1,3,0,1,3,0,1,0,0,0,0
"ENSMUSG00000021591",409,604,485,722,524,436,500,458,395,532,452
"ENSMUSG00000021592",590,710,611,663,675,521,622,414,561,685,549
"ENSMUSG00000021594",1134.19,1618.2,1449.02,2017.03,1215.3,1412.87,1376.1,941.7,1055.87,2060.88,1137.41
"ENSMUSG00000021595",3325,4399,4213,5287,4215,3861,3819,3522,3585,4422,3763
"ENSMUSG00000021596",72,154,153,171,144,92,113,143,102,120,122
"ENSMUSG00000021597",644,739,676,671,639,555,682,489,512,749,622
"ENSMUSG00000021598",640,791,728,1156,929,917,681,752,673,1031,988
"ENSMUSG00000021600",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021604",0,3,2,0,0,1,0,0,1,0,0
"ENSMUSG00000021606",1221,1336,1367,1580,1641,1461,1293,1372,1498,1520.99,1401
"ENSMUSG00000021607",1049,1120,1071,1230,1142,1016,967,1051,1030,1211,1012
"ENSMUSG00000021608",897,1328,1016,1593,1325,1232,1100,950,950,1330,1012
"ENSMUSG00000021609",6,6,11,10,10,3,3,5,4,8,4
"ENSMUSG00000021610",5495,6096,5872,6975,6151,5774,4951,5323,5427,6313,5708
"ENSMUSG00000021611",551,657,486,712,629,607,514,420,482,782,776
"ENSMUSG00000021612",0,0,1,0,0,0,1,1,0,0,0
"ENSMUSG00000021613",247,480,459,375,285,323,352,237,395,351,298
"ENSMUSG00000021614",168,318,294,420,226,185,285,224,231,294,168
"ENSMUSG00000021615",367,466,392,495,377,372,391,356,368,410,344
"ENSMUSG00000021619",274,368,366,441,414,295,316,278,345,400,323
"ENSMUSG00000021620",14,19,17,30,20,13,17,31,264,26,24
"ENSMUSG00000021621",948,1133,1069,1337,1061,1140,1040,1095,1110,1106,1015
"ENSMUSG00000021622",57,57,59,123,105,81,67,104,96,74,50
"ENSMUSG00000021624",119,194,140,447,222,166,151,135,77,242,149
"ENSMUSG00000021629",2445,3185,3120,3055,2864,2663,2825,2670,2736,2971,2609
"ENSMUSG00000021631",0,0,0,2.6,0,2.5,1.24,0,1.35,2.27,0
"ENSMUSG00000021635",845,1264,1139,1343,1237,1065,1000,935,920,1195,1077
"ENSMUSG00000021636",30,36,61,32,26,41,9,59,41,26,32
"ENSMUSG00000021638",313,287,534,374,392,672,89,421,347,481,351
"ENSMUSG00000021639",383,453,419,598,510,476,328,331,302,539,429
"ENSMUSG00000021640",2.05,4.06,12.29,8.1,4.07,3.06,10.12,2.04,0,9.18,5.06
"ENSMUSG00000021643",200,261,213,245,186,226,185,179,137,235,179
"ENSMUSG00000021645",390,577,508,797,562,601,548,505,432,615,477
"ENSMUSG00000021646",1814,2237,1955,1814,1845,1527,1905,1387,1653,1966,1561
"ENSMUSG00000021647",241,879,524,727,796,485,115,99,129,198,99
"ENSMUSG00000021650",834,916,791,1427,1289,1122,851,855,830,1201,1141
"ENSMUSG00000021660",6177.48,7929.64,7060.76,8783.46,6521.89,6752.5,7183.96,6206.63,6628.63,7578.01,6181.35
"ENSMUSG00000021661",438,568,490,681,589,499,494,481,440,699,608
"ENSMUSG00000021662",737,2168,1691,1991,1846,1523,1501,1321,1181,1385,1253
"ENSMUSG00000021665",1865,2665,2636,3014,2408,1976,2327,1945,1733,2974,1842
"ENSMUSG00000021666",2170,2146,2092,2763,2594,2307,1876,2182,2181,2132,2275
"ENSMUSG00000021668",2705,3295,3437,3925,3950,3784,3073,2908,3415,3042,3118
"ENSMUSG00000021669",12094,13440,14201,17247,14872,15375,13108,11489,13842,14115,14145
"ENSMUSG00000021670",7546,7262,7267,6735,4677,5762,5657,4764,5789,4579,4435
"ENSMUSG00000021671",615,922,795,999,802,776,726,561,666,828,750
"ENSMUSG00000021675",14,28,32,26,31,48,13,55,23,31,21
"ENSMUSG00000021676",13356,18326,17206,23772,20323,20131,17095,12838,18504,19095,18276
"ENSMUSG00000021678",3,10,8,3,3,4,14,12,7,7,4
"ENSMUSG00000021679",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021680",0,4,3,3,0,1,1,0,1,0,0
"ENSMUSG00000021681",2442,3028,2799,2942,2734,2426,2584,2202,2297,2839,2319
"ENSMUSG00000021684",10869,8627,6878,9946,7681,7939,5609,6567,5804,8124,6563
"ENSMUSG00000021685",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021686",3294,4095,3667,4782,3939,3772,3470,3290,3285,4013,3565
"ENSMUSG00000021687",4845,5766,5148,5742,5774,5037,4935,4850,4970,6080,5337
"ENSMUSG00000021690",14458,17735,13325,11612,11152,10958,11412,9047,10716,12438,10555
"ENSMUSG00000021692",370.81,517.81,442.83,483.74,362.94,388.62,348.8,288.9,310.92,329.89,289.76
"ENSMUSG00000021693",1938,2657,2576,2431,2266,1962,2252,1835,1964,2157,1819
"ENSMUSG00000021694",244,310,268,328,206,223,259,197,167,238,224
"ENSMUSG00000021696",163,399,319,352,289,297,384,113,303,191,225
"ENSMUSG00000021697",18,46,17,15,17,11,23,30,8,12,5
"ENSMUSG00000021699",384,807,764,447,922,403,709,428,642,319,385
"ENSMUSG00000021700",2699,8449,7668,7756,7243,6093,4573,6435,4430,5595,4330
"ENSMUSG00000021701",1721,3110,2622,2123,1859,1677,2244,1653,1900,1548,1566
"ENSMUSG00000021702",12,47,21,82,35,13,94,25,63,36,30
"ENSMUSG00000021703",5006,6886,5452,8194,6561,6229,5268,4448,4834,7277,5559
"ENSMUSG00000021704",1842,2056,1992,1970,1920,1692,1722,1617,1659,1873,1752
"ENSMUSG00000021706",2411,3036,2692,3011,2749,2504,2388,2255,2194,2615,2178
"ENSMUSG00000021707",578,698,713,593,511,446,491,484,520,580,551
"ENSMUSG00000021708",305,422,305,375,428,364,377,293,358,390,412
"ENSMUSG00000021709",13015,16430,14716,15128,14686,12182,13404,11446,12679,14998,12557
"ENSMUSG00000021710",1295,1374,1425,1665,1553,1358,1304,1301,1428,1502,1366
"ENSMUSG00000021711",2966,3456,3348,3865,3804,3524,3151,3265,3283,3565,3392
"ENSMUSG00000021712",782,1007,858,1374,1350,1198,947,786,770,1476,1197
"ENSMUSG00000021713",336,406,370,481,441,422,423,348,330,481,343
"ENSMUSG00000021714",51,45,37,39,14,13,37,37,26,26,30
"ENSMUSG00000021715",580,649,568,792,670,562,588,462,480,708,657
"ENSMUSG00000021716",531,688,581,841,735,636,577,527,577,856,689
"ENSMUSG00000021718",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021719",140,314,268,240,191,177,157,109,144,171,156
"ENSMUSG00000021720",123,154,116,134,114,93,97,105,89,142,78
"ENSMUSG00000021721",0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000021725",561,790,695,765,631,559,612,662,462,702,589
"ENSMUSG00000021728",921.05,883.15,943.1,1327.21,892.11,1192.92,593.1,1011.28,746.65,966.05,693.03
"ENSMUSG00000021730",3,6,6,5,9,3,8,5,5,8,5
"ENSMUSG00000021731",1276,1507,1358,1849,1583,1518,1248,1313,1179,1587,1341
"ENSMUSG00000021732",3,45,41,31,40,19,161,42,31,28,26
"ENSMUSG00000021733",2989,3101,3117,3176,2792,2607,2780,2582,2756,3223,2708
"ENSMUSG00000021737",2786,3257,3119,4145,3525,3274,2885,3046,3136,3453,3177
"ENSMUSG00000021738",6691,9451,8743,2432,2303,2256,6247,4343,5646,2133,2287
"ENSMUSG00000021741",1,0,0,0,0,0,1,2.19,0,0,0
"ENSMUSG00000021743",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021745",11732,13738,13195,14877,13835,13356,13007,12056,13484,15322,13339
"ENSMUSG00000021747",41,92,94,83,71,32,80,68,58,68,69
"ENSMUSG00000021748",4067,4965.88,5216.23,5301.93,6206.89,4179.9,5037.93,4024.9,4806.93,4387.83,4251.93
"ENSMUSG00000021749",0,0,2,1,1,0,0,0,0,0,0
"ENSMUSG00000021750",104,338,241,452,337,239,300,193,268,194,191
"ENSMUSG00000021751",0,0,2,4,17,2,22,0,252,0,1
"ENSMUSG00000021752",281,309,334,505,378,370,325,330,280,387,342
"ENSMUSG00000021754",3225,4103,3479,9362,6723,5522,3586,3286,3009,6867,5039
"ENSMUSG00000021756",35319,43773,38290,43012,36127,33743,37957,30838,33162,41074,32036
"ENSMUSG00000021758",72,51,84,81,60,63,27,46,45,58,63
"ENSMUSG00000021759",9975,11664,10336,14315,13131,12934,9981,10282,11613,12379,11312
"ENSMUSG00000021760",1264,1994,1629,2434,1686,1813,1856,1058,1643,1826,1467
"ENSMUSG00000021763",68,168,137,126,169,88,348,62,200,185,128
"ENSMUSG00000021764",1575,1866,1757,2219,2082,1771,1758,1557,1755,1869,1833
"ENSMUSG00000021765",183,227,295,70,74,76,278,167,407,57,66
"ENSMUSG00000021767",2885,3407,2812,4215,3590,3309,2828,2413,2062,3898,3272
"ENSMUSG00000021768",11,2,8,19,14,6,4,10,13,15,12
"ENSMUSG00000021770",5606,7049,6951,6926,6950,6301,6213,6524,6794,6828,7252
"ENSMUSG00000021771",4735.99,6231.95,5632.99,6768.98,5880,5566.99,5481,5304.98,5292.97,6135.99,5518.98
"ENSMUSG00000021772",483,562,546,658,541,513,557,557,483,523,509
"ENSMUSG00000021773",628,699,705,893,789,684,522,746,705,752,745
"ENSMUSG00000021774",1435,1926,1865,1983,1883,1628,1671,1375,1535,1910,1511
"ENSMUSG00000021775",5037,7492,7869,4330,5586,5066,6989,6058,6745,9735,7841
"ENSMUSG00000021779",8736,6616,6405,6065,5256,4823,4419,5673,5074,6132,4884
"ENSMUSG00000021782",4567.98,5178.97,4448,6420,5873,5264.99,4027,3912,3725.99,6002,4898
"ENSMUSG00000021785",1548,1622,1490,2166,2130,1682,1518,1484,1600,2187,1956
"ENSMUSG00000021786",689,651,560,1029,911,744,541,569,546,1125,764
"ENSMUSG00000021789",0,1,0,0,2,0,0,0,0,0,2
"ENSMUSG00000021790",2,0,1,0,0,2,1,1,0,0,3
"ENSMUSG00000021791",4,21,14,10,4,11,11,9,13,13,6
"ENSMUSG00000021792",642,1106,1077,1057,1592,745,1902,894,1121,807,805
"ENSMUSG00000021794",8002.96,10469.96,9175.63,10893.96,9450.97,8519.98,9657.93,8436.92,11559.94,10431.99,8913.71
"ENSMUSG00000021795",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021796",6004,7256,6441,8020,6813,6421,6227,5189,5413,7858,6257
"ENSMUSG00000021797",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021798",108,132,120,183,159,140,118,136,172,135,118
"ENSMUSG00000021799",1,3,1,0,0,0,0,1,0,1,0
"ENSMUSG00000021803",2,7,8,9,11,1,3,3,1,4,4
"ENSMUSG00000021804",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021806",1072,1438,1414,1476,1193,1083,1331,1294,1254,1450,1200
"ENSMUSG00000021807",2509.83,3022.95,2853.48,3404.98,2999.53,2925.46,2780.77,2658.48,2615.69,3306.38,2943.53
"ENSMUSG00000021809",556,682,606,743,714,582,603,487,498,836,570
"ENSMUSG00000021810",2129,2324,2185,3321,2922,2769,2161,2122,2258,2394,2160
"ENSMUSG00000021811",1644.46,1939,1627,2124.64,1849.65,1735.55,1422,1396,1340,1473,1322
"ENSMUSG00000021814",6381,6934,6577,8983,7815,7298,6085,6676,6739,7789,7286
"ENSMUSG00000021815",11,12,13,10,4,9,3,10,3,5,18
"ENSMUSG00000021816",2543,3106,3151,3230,3341,2902,2743,2574,2701,3122,2782
"ENSMUSG00000021819",6044,7983,7131,8837,7106,6578,5836,5888,5048,7212,6594
"ENSMUSG00000021820",1797,2217,2025,2765,2441,2404,1870,2167,1957,2838,2473
"ENSMUSG00000021822",4995,5870,5415,2429,1923,2860,4474,3603,7639,2464,2512
"ENSMUSG00000021823",7287,11208,9736,13317,11118,10294,9633,7041,8765,10227,9138
"ENSMUSG00000021824",2932.8,3595.23,3402.88,4549.72,4063.17,3529.76,3135.06,3164.42,3422.84,3951.48,3797.32
"ENSMUSG00000021830",2067,2727,2509,2201,2331,1871,1934,1914,2000,2345,2088
"ENSMUSG00000021831",2545,3248,3237,3603,3778,2899,3152,2857,3422,3114,3522
"ENSMUSG00000021832",3592,4352,4088,4704,3884,3478,3455,3443,3681,4121,3457
"ENSMUSG00000021835",96,147,178,249,162,169,218,143,165,230,118
"ENSMUSG00000021838",3709,4331,4300,6265,6160,5895,3707,4228,3674,6039,5404
"ENSMUSG00000021840",6500,7933,7708,7423,6440,6204,6755,6190,6601,6562,5526
"ENSMUSG00000021843",3047,4234,3569,4346,3990,3308,3431,3007,3128,4066,3719
"ENSMUSG00000021846",700,938.75,847.99,718,967,692.33,960.82,785,871.74,816.77,802.48
"ENSMUSG00000021848",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021850",0,0,1,0,1,0,0,0,6,0,0
"ENSMUSG00000021852",0,1,0,0,1,2,0,0,0,0,1
"ENSMUSG00000021866",3236.04,3825.59,4048.96,4183,3392,3448.92,3556.78,3221.03,4081.03,3521.08,3043
"ENSMUSG00000021867",446.28,501.22,554.54,594.77,592.71,527.83,476.27,587.64,418.16,546.11,379.4
"ENSMUSG00000021868",431,469,489,770,695,573,445,537,509,524,606
"ENSMUSG00000021870",5985,6395,6221,7333,6454,5745,5325,5105,5342,6945,5948
"ENSMUSG00000021871",335.92,389.13,505.56,550.53,352.31,320.61,375.08,213.67,276.63,411.57,185.66
"ENSMUSG00000021872",2,5,4,8,4,2,7,8,7,19,10
"ENSMUSG00000021874",25,29,24,31,29,27,11,20,12,30,29
"ENSMUSG00000021876",764,1283,972.67,1640.92,1298,900.64,1375,951.83,3140.17,1448.9,1032
"ENSMUSG00000021877",7069,8850,8756,6947,6797,5684,7700,6688,7511,6285,5871
"ENSMUSG00000021879",2,12,5,11,5,4,5,9,2,10,9
"ENSMUSG00000021880",24,56,20,65,32,55,38,135,35,71,47
"ENSMUSG00000021884",851,803,735.39,816,812,627,731.88,716,1374.58,906,818
"ENSMUSG00000021886",116,143,189,302,173,154,134,282,91,246,100
"ENSMUSG00000021890",4244,5263,5340,5845,4900,4753,4376,5131,5685,4413,4294
"ENSMUSG00000021891",640,699,689,633,530,495,601,573,629,644,568
"ENSMUSG00000021892",5709,7286,6699,7095,5034,6010,5720,5293,5605,5860,4312
"ENSMUSG00000021893",3062,3576,3388,3869,3384,3192,2878,2866,2988,3386,2986
"ENSMUSG00000021895",3281,3972,3765.98,4288,4211,3575,2857.98,3523,3422,4192,3629
"ENSMUSG00000021898",7,5,2,0,2,4,1,2,3,7,9
"ENSMUSG00000021900",2264,2300,2188,2903,2558,2278,2025,2116,2191,2563,2468
"ENSMUSG00000021901",3518,4302,4065,4806,3962,3876,3488,3423,3544,3897,3552
"ENSMUSG00000021902",216,229,197,250,199,198,177,211,180,322,238
"ENSMUSG00000021903",377,662,317,950,723,471,872,441,528,587,579
"ENSMUSG00000021904",404,977,614,800,737,579,854,412,653,638,562
"ENSMUSG00000021905",1168,1412,1336,1452,1343,1362,1250,1168,1163,1465,1250
"ENSMUSG00000021906",902,1059,979,923,978,842,860,721,768,853,801
"ENSMUSG00000021907",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021908",122.3,108.66,100.87,134.5,130.2,119.51,113.15,85.65,97.46,89.43,64.85
"ENSMUSG00000021910",17640,22716,19757,25726,20710,19509,18799,17387,17220,20156,17862
"ENSMUSG00000021911",3865,4621,4303,5059,4084,4113,3729,3594,3474,4365,3983
"ENSMUSG00000021913",641,1553,1180,1166,1257,1041,938,935,921,1065,971
"ENSMUSG00000021916",1105,1519,1349,1689,1551,1388,1268,1087,1164,1631,1292
"ENSMUSG00000021917",2591,3457,2971,3761,3194,2949,2806,2704,2949,3260,2776
"ENSMUSG00000021918",830,1091,908,1040,920,848,818,634,675,1025,846
"ENSMUSG00000021919",0,2,2,1,0,1,2,0,3,2,2
"ENSMUSG00000021922",4,14,80,32,49,8,121,11,4305,8,8
"ENSMUSG00000021927",0,0,0,2.07,0,0,0,0,0,0,0
"ENSMUSG00000021928",448,588,504,562,541,462,492,470,603,539,486
"ENSMUSG00000021929",1985,2480,2258,2785,2522,2200,2398,2036,2106,2491,2087
"ENSMUSG00000021930",786,1031,997,1113,1056,893,898,779,793,1031,821
"ENSMUSG00000021932",318,424,425,395,396,305,422,325,324,427,436
"ENSMUSG00000021933",59,75,73,43,47,55,61,70,57,73,61
"ENSMUSG00000021936",1240,1339,1325,1187,1106,1008,1154,992,998,1155,1174
"ENSMUSG00000021938",1300,1877,1755,1012,1124,963,1315,1024,1199,1055,940
"ENSMUSG00000021939",69360,69438,69146,80320,74568,59804,54448,64976,64475,66788,64081
"ENSMUSG00000021940",12,6,12,17,13,7,13,11,12,11,11
"ENSMUSG00000021943",1207,1752,1548,3112,1968,1849,1711,1293,1370,2014,1574
"ENSMUSG00000021944",187,269,211,240,152,212,269,169,287,266,214
"ENSMUSG00000021945",2886.81,4039.66,3350.62,4492.87,4007.71,3647.27,3299.19,2783.41,2811.3,4405.4,3577.07
"ENSMUSG00000021947",320,429,457,464,384,376,410,392,432,566,500
"ENSMUSG00000021948",13766,10685,9311,14503,13611,12171,5938,9743,7256,10047,8078
"ENSMUSG00000021950",0,2,0,5,10,2,23,3,4,0,1
"ENSMUSG00000021951",404,439,453,628,593,518,336,359,401,458,397
"ENSMUSG00000021952",3675,4294,4368,5385,4895.79,4275.78,3722,3313,3695.92,4938,4753.84
"ENSMUSG00000021953",0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000021957",19218,21103,19933,25237,28525,18441,28347,21209,24932,18075,21155
"ENSMUSG00000021958",148,209,169,270,257,223,216,218,184,196,161
"ENSMUSG00000021959",4538,6418,5348,5145,4766,4515,5415,3818,4576.54,5603,4226
"ENSMUSG00000021961",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021962",1404,1889,1778,2471,2003,1734,1738,1601,1592,2116,1818
"ENSMUSG00000021963",2007.51,2480.77,2029.63,2508.56,2167.41,2045.71,1986.01,1715.51,1799.12,2369.79,2076.53
"ENSMUSG00000021965",26,41,31,16,17,10,26,31,12,17,9
"ENSMUSG00000021966",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021967",1139,1232,1102,1505,1289,1217,1045,1070,1068,1224,1237
"ENSMUSG00000021969",5158,6356,5657,5294,5396,4571,5171,4278,4757,6654,5837
"ENSMUSG00000021972",3318,3810,3173,4262,3657,3580,2874,2866,2714,3922,3353
"ENSMUSG00000021973",2722,3496,2850,3644,3173,2802,2620,2220,2317,3515,2947
"ENSMUSG00000021974",655,719,520,1264,1059,962,598,514,515,778,702
"ENSMUSG00000021975",576,688,563,1186,863,834,517,533,469,854,711
"ENSMUSG00000021977",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021978",6073,8411,7000,9616,8062,7375,7653,6659,6744,8400,7431
"ENSMUSG00000021981",1696,2339,2059,2466,2383,1904,2021,1751,1937,2197,1983
"ENSMUSG00000021982",2028,2173,1951,2451,2173,2073,1753,1951,1790,2489,2102
"ENSMUSG00000021983",158,499,498,443,369,357,315,370,264,382,235
"ENSMUSG00000021986",163,515,421,635,544,428,324,385,268,448,298
"ENSMUSG00000021987",3373,4618,4473,4856,4548,4159,4267,3827,3673,4536,3953
