"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000000159",5,3,5,10,7,7,7,3,8
"ENSMUSG00000000167",44,90,70,108,100,110,92,78,132
"ENSMUSG00000000168",2121,2966,3204,4862,7252,6745,5940,2765,6745
"ENSMUSG00000000171",2648,3200,3045,4650,8434,7459,7561,3485,6869
"ENSMUSG00000000182",7,8,4,23,26,19,8,5,17
"ENSMUSG00000000183",0,0,1,0,0,0,0,0,0
"ENSMUSG00000000184",2676,5748,2229,5511,547,694,1958,2269,5211
"ENSMUSG00000000194",1049,1471,1574,2893,4543,4008,3624,1401,2780
"ENSMUSG00000000197",2979,3221,5207,8894,12303,10647,9086,5505,10891
"ENSMUSG00000000202",616,843,824,904,1459,1338,1393,540,1199
"ENSMUSG00000000204",0,4,3,0,0,1,4,5,0
"ENSMUSG00000000214",30,0,53,138,183,174,171,167,70
"ENSMUSG00000000215",9,0,0,1,2,5,2,2,0
"ENSMUSG00000000216",5,1,8,10,214,81,111,0,13
"ENSMUSG00000000223",2302,3880,2678,5760,2766,2986,3370,1881,5135
"ENSMUSG00000000244",7,5,9,3,10,10,3,10,10
"ENSMUSG00000000247",992,2124,956,1682,22,35,834,689,2134
"ENSMUSG00000000248",2,0,0,1,2,2,1,0,1
"ENSMUSG00000000253",508,499,722,1242,1379,1190,1304,962,1460
"ENSMUSG00000000263",11,3,264,128,51,984,755,55,580
"ENSMUSG00000000266",822,983,1663,2782,3577,2877,2457,1575,3130
"ENSMUSG00000000275",196,261,250,481,372,414,498,264,484
"ENSMUSG00000000276",1643,1839,2200,4782,7899,5835,5078,1809,4617
"ENSMUSG00000000278",285,397,459,781,1126,1232,970,411,1062
"ENSMUSG00000000282",516,731,764,1440,1043,810,1053,462,1754
"ENSMUSG00000000290",102,155,123,296,174,193,189,202,251
"ENSMUSG00000000295",395,505,602,964,431,594,686,735,1279
"ENSMUSG00000000296",390,425,747,903,237,419,758,893,1499
"ENSMUSG00000000301",56,96,74,118,170,139,146,68,156
"ENSMUSG00000000303",196,455,195,311,806,477,807,47,366
"ENSMUSG00000000305",333,529,718,2046,1790,1025,1215,723,1101
"ENSMUSG00000000308",3033,3138,5014,7093,11357,10520,10879,4948,9406
"ENSMUSG00000000317",54,83,89,111,242,196,167,60,158
"ENSMUSG00000000318",22,59,22,94,395,397,220,39,126
"ENSMUSG00000000320",17,18,15,29,40,29,37,15,39
"ENSMUSG00000000326",1185,1567,1678,3168,4815,3912,3929,1800,3155
"ENSMUSG00000000339",854,1070,1041,1672,2349,2125,2145,929,2010
"ENSMUSG00000000340",937,1396,1324,1971,1638,1765,1634,1297,2840
"ENSMUSG00000000346",2508,3689,3618,5832,7484,7627,6791,3165,7530
"ENSMUSG00000000355",1027,1409,1160,2125,2294,2420,2215,1401,3590
"ENSMUSG00000000359",9,10,5,35,19,25,20,12,14
"ENSMUSG00000000365",32,6,81,108,104,72,46,44,82
"ENSMUSG00000000374",3858,6274,5677,9308,8930,7496,7483,3906,9210
"ENSMUSG00000000378",1567,1189,1509,2879,1881,1518,2063,1553,2255
"ENSMUSG00000000381",0,0,0,0,0,3,0,0,0
"ENSMUSG00000000384",398,543,609,925,1490,1322,1103,434,1027
"ENSMUSG00000000385",0,0,0,0,45,20,19,0,2
"ENSMUSG00000000386",3,4,3,18,13,7,18,1,11
"ENSMUSG00000000392",130,110,72,138,117,56,112,19,178
"ENSMUSG00000000394",3,0,0,4,0,1,1,0,0
"ENSMUSG00000000399",3002,4054,3760,5855,9652,8828,7955,3844,10158
"ENSMUSG00000000402",101,144,158,331,29,57,100,157,273
"ENSMUSG00000000409",22,16,34,135,21,20,31,85,93
"ENSMUSG00000000411",3,3,4,11,7,2,1,2,9
"ENSMUSG00000000416",1247,1635,2337,4789,2892,2033,2303,1407,3067
"ENSMUSG00000000420",1751,2470,2414,3948,5343,5510,4712,2329,5178
"ENSMUSG00000000435",0,0,0,1,0,1,0,0,0
"ENSMUSG00000000439",836,1215,1223,2098,3191,2303,2437,1129,2404
"ENSMUSG00000000440",131,266,82,209,207,144,181,39,276
"ENSMUSG00000000441",1169,1666,1940,3185,6553,5319,4349,1496,3327
"ENSMUSG00000000486",12,9,19,51,63,90,60,20,32
