"","Mmus_C57-6J_SPL_cells_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep2_SP2","Mmus_C57-6J_SPL_ss-tissues_Rep3_SP3","Mmus_C57-6J_SPL_tissues_Rep1_SP1"
"ENSMUSG00000002930",0,0,0,0,0
"ENSMUSG00000002944",580,1669,1514,2044,1886
"ENSMUSG00000002948",852,727.09,1180.71,1094.59,763
"ENSMUSG00000002949",454,442,604,615,480
"ENSMUSG00000002957",517,643.99,897.99,744.99,646
"ENSMUSG00000002963",429,413,586,565,398
"ENSMUSG00000002968",303,299,530,468,285
"ENSMUSG00000002980",9,253,290,235,223
"ENSMUSG00000002981",470,593,1146,790,537
"ENSMUSG00000002983",476,591,1099,828,497
"ENSMUSG00000002984",241,307,464,414.96,238
"ENSMUSG00000002985",2228,12183,20988,15933,11973
"ENSMUSG00000002992",13,10,19,18,7
"ENSMUSG00000002996",780.86,767.26,854.46,1018.04,866.3
"ENSMUSG00000002997",73,267,120,311,281
"ENSMUSG00000003031",2315,1674,1886,2088,1790
"ENSMUSG00000003032",107,84,159,147,123
"ENSMUSG00000003033",921,714,1127,974,817
