"","Mouse_hippocampus_1-2","Mouse_hippocampus_11-12","Mouse_hippocampus_13-14","Mouse_hippocampus_15-16","Mouse_hippocampus_3-4","Mouse_hippocampus_5-6","Mouse_hippocampus_7-8","Mouse_hippocampus_9-10"
"ENSMUSG00000001281",15,15,27,23,29,26,63,14
"ENSMUSG00000001285",511,481,643,693,672,573,2032,495
"ENSMUSG00000001288",198,142,247,284,271,228,498,210
"ENSMUSG00000001289",1682,1370,2110,2311,2241,1926,6466,1733
"ENSMUSG00000001300",1550,1171,1626,1793,2147,1815,463,1479
"ENSMUSG00000001305",185,175,218,218,241,202,93,176
"ENSMUSG00000001313",1289,1091,2623,2201,1660,1854,10145,1432
"ENSMUSG00000001323",1841,1544,1899,2163,2508,1822,813,1574
"ENSMUSG00000001333",11,9,17,27,23,11,7,15
"ENSMUSG00000001334",2279,2057,3545,3432,3000,2686,3345,2370
"ENSMUSG00000001348",8,3,13,10,16,19,30,20
"ENSMUSG00000001349",6,4,29,18,49,23,25,20
"ENSMUSG00000001366",2134,1791,3230,3269,2820,2517,2511,2038
"ENSMUSG00000001376",2266,1588,2729,3015,3093,2217,228,2089
"ENSMUSG00000001380",1922,1577,2378,2585,2615,2138,2083,1857
"ENSMUSG00000001383",4162,3480,4861,5274,5785,4421,3921,3916
"ENSMUSG00000001403",5,5,10,7,7,5,12,3
"ENSMUSG00000001415",1845,1537,2397,2272,2161,2043,4218,1805
"ENSMUSG00000001416",2924,2446,3560,3854,3848,2959,4715,2666
"ENSMUSG00000001418",669,659,1049,1164,1088,1014,3316,800
"ENSMUSG00000001419",6729,6018,7324,8107,8739,6952,16842,5982
"ENSMUSG00000001420",24,19,17,24,22,16,35,14
"ENSMUSG00000001424",3061,2894,3425,3735,4251,3252,8643,2850
"ENSMUSG00000001435",152,130,459,580,574,568,867,332
"ENSMUSG00000001436",298,277,517,559,551,498,1172,340
"ENSMUSG00000001440",5891,4953,7312,7818,8111,6220,2419,5618
"ENSMUSG00000001441",5557,4223,6789,7709,7724,6075,2847,5478
"ENSMUSG00000001444",3,3,4,1,6,4,7,2
"ENSMUSG00000001445",1063,918,1295,1365,1306,1071,2772,1057
"ENSMUSG00000001467",1891,1336,2590,2548,2329,2299,1198,2102
"ENSMUSG00000001472",13726,11735,18191,18364,17244,14991,29086,13025
"ENSMUSG00000001473",154,130,200,205,176,181,112,136
"ENSMUSG00000001482",1210,1045,1616,1671,1595,1361,3596,1171
"ENSMUSG00000001493",21,36,38,56,42,27,84,34
"ENSMUSG00000001494",15,7,3,28,1,1,35,30
"ENSMUSG00000001496",24,17,7,24,15,9,34,20
"ENSMUSG00000001497",2,0,3,3,1,4,0,2
"ENSMUSG00000001504",1,2,210,172,2,96,164,2
"ENSMUSG00000001506",249,106,594,886,854,910,938,403
"ENSMUSG00000001507",497,354,1034,1079,785,840,2198,666
"ENSMUSG00000001508",7,3,8,10,5,3,23,6
"ENSMUSG00000001510",3,3,6,3,0,7,15,3
"ENSMUSG00000001517",45,29,42,64,61,41,72,30
"ENSMUSG00000001518",422,363,648,713,571,525,1620,430
"ENSMUSG00000001520",347,253,466,460,344,333,949,312
"ENSMUSG00000001521",487,342,644,646,646,499,1052,517
"ENSMUSG00000001524",342,250,373,364,404,348,1089,309
"ENSMUSG00000001525",10157,8895,12699,13153,12291,10580,39301,9993
"ENSMUSG00000001542",871,515,1063,1278,1096,799,114,921
"ENSMUSG00000001552",1067,960,1491,1636,1382,1259,4433,1038
"ENSMUSG00000001555",153,144,229,254,241,202,642,207
"ENSMUSG00000001558",9,7,3,4,8,8,9,17
"ENSMUSG00000001566",0,0,0,0,0,0,1,0
"ENSMUSG00000001569",910,763,1125,1291,1219,998,376,860
"ENSMUSG00000001576",3196,2771,3904,4247,4209,3487,7032,3184
"ENSMUSG00000001583",6,1,5,4,3,2,3,4
"ENSMUSG00000001588",11,5,7,10,19,11,5,9
"ENSMUSG00000001604",10,9,34,57,50,70,65,41
"ENSMUSG00000001622",0,0,0,0,0,0,0,0
"ENSMUSG00000001627",728,567,809,900,955,666,239,656
"ENSMUSG00000001630",617,437,855,860,834,732,202,596
"ENSMUSG00000001632",1020,866,1203,1308,1329,1180,1385,962
"ENSMUSG00000001642",148,103,197,215,230,166,432,169
"ENSMUSG00000001655",0,0,0,0,0,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0,0,0
"ENSMUSG00000001657",0,0,0,0,0,0,0,0
"ENSMUSG00000001661",0,0,0,0,3,0,0,0
"ENSMUSG00000001663",178,126,266,288,260,214,751,202
"ENSMUSG00000001665",41,31,123,131,99,105,261,71
"ENSMUSG00000001666",205,199,295,302,274,240,717,179
"ENSMUSG00000001670",5,0,0,14,10,6,14,4
"ENSMUSG00000001672",4,4,23,33,29,33,39,23
"ENSMUSG00000001674",268,210,368,382,374,344,256,275
"ENSMUSG00000001687",5421,3975,6673,7406,7375,5428,1942,5095
"ENSMUSG00000001700",490,409,672,747,685,581,426,537
"ENSMUSG00000001707",553,376,688,728,701,541,644,540
"ENSMUSG00000001729",3979,3933,5136,5490,5339,4682,13526,3949
"ENSMUSG00000001739",3,2,3,3,1,0,6,1
"ENSMUSG00000001741",701,710,585,704,1090,661,606,686
"ENSMUSG00000001750",195,136,331,317,321,287,858,222
"ENSMUSG00000001751",233,201,356,376,376,325,1181,256
"ENSMUSG00000001755",567,464,694,727,744,607,2124,546
"ENSMUSG00000001761",531,554,935,990,973,954,1792,676
"ENSMUSG00000001763",632,567,965,1178,1239,1081,2652,850
"ENSMUSG00000001767",755,511,925,975,1012,735,107,703
"ENSMUSG00000001768",847,662,1316,1494,1350,1118,291,932
"ENSMUSG00000001773",268,151,339,365,320,292,32,227
"ENSMUSG00000001774",2314,1351,2755,3307,3301,2360,295,1985
"ENSMUSG00000001783",2446,2024,3449,3584,3230,2833,4702,2438
"ENSMUSG00000001785",542,432,647,665,689,559,340,532
"ENSMUSG00000001786",1340,1039,1684,1699,1665,1411,1513,1207
"ENSMUSG00000001794",2926,2621,3637,3862,3899,3198,11694,2786
"ENSMUSG00000001802",2195,1928,2593,2833,2730,2320,7181,1997
"ENSMUSG00000001804",0,0,0,0,0,0,0,0
