"","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9"
"ENSMUSG00000000827",1091,1473,1542,1540,1470,1241
"ENSMUSG00000000838",4508,4731,5091,4673,4578,5112
"ENSMUSG00000000861",3768,3196,2807,3208,4556,3414
"ENSMUSG00000000869",0,0,0,0,0,0
"ENSMUSG00000000876",568,547,585,527,718,521
"ENSMUSG00000000881",8302,7946,7869,8127,7964,8231
"ENSMUSG00000000884",46,32,62,79,92,50
"ENSMUSG00000000889",40,13,29,14,8,17
"ENSMUSG00000000901",40,28,38,43,40,53
"ENSMUSG00000000902",1232,1078,1366,1388,1462,1092
"ENSMUSG00000000903",2,0,0,0,0,0
"ENSMUSG00000000915",2364,2295,2082,2108,2298,2365
"ENSMUSG00000000916",169,182,176,133,192,174
"ENSMUSG00000000934",551,472,406,483,829,543
"ENSMUSG00000000938",0,0,0,0,0,0
"ENSMUSG00000000942",0,0,0,0,0,0
"ENSMUSG00000000948",2474,2576,2289,2270,2789,3032
"ENSMUSG00000000957",659,360,545,617,867,417
"ENSMUSG00000000958",76,67,63,103,92,63
"ENSMUSG00000000959",884,791,853,859,961,728
"ENSMUSG00000000976",501,468,388,489,545,431
"ENSMUSG00000000982",3,0,0,0,2,0
"ENSMUSG00000000983",37,17,51,35,10,27
"ENSMUSG00000001014",15,10,17,8,17,13
"ENSMUSG00000001016",2637,2681,3140,2903,3069,2949
"ENSMUSG00000001017",2377,2409,2511,2456,2735,2081
"ENSMUSG00000001018",777,761,830,945,771,771
"ENSMUSG00000001020",0,0,0,8,1,0
"ENSMUSG00000001021",2,24,1,2,0,0
"ENSMUSG00000001023",0,0,0,0,0,2
"ENSMUSG00000001025",211,428,570,553,177,270
"ENSMUSG00000001027",0,7,5,3,0,0
"ENSMUSG00000001029",61,44,101,60,44,42
"ENSMUSG00000001034",391,325,269,278,347,304
"ENSMUSG00000001036",4130,4275,4736,4840,4337,4411
"ENSMUSG00000001039",252,323,322,306,364,312
"ENSMUSG00000001052",2356,2442,2230,2469,2384,2449
"ENSMUSG00000001053",325,205,202,244,284,268
"ENSMUSG00000001054",942,829,1049,1032,1093,931
"ENSMUSG00000001056",972,1098,1084,942,1234,984
"ENSMUSG00000001062",974,1074,929,979,1231,901
"ENSMUSG00000001065",233,297,268,296,289,321
"ENSMUSG00000001076",0,0,0,0,0,0
"ENSMUSG00000001082",122,94,124,114,129,111
"ENSMUSG00000001089",5089,4765,5095,5769,4149,6852
"ENSMUSG00000001095",0,0,0,0,0,0
"ENSMUSG00000001098",1276,1103,1369,1392,1665,1332
"ENSMUSG00000001100",1960,2144,2456,2461,2337,1927
"ENSMUSG00000001103",105,18,84,111,20,100
"ENSMUSG00000001105",1423,1847,1775,1706,1645,1826
"ENSMUSG00000001119",660,116,400,278,434,392
"ENSMUSG00000001120",1524,963,1283,1334,1376,1239
"ENSMUSG00000001123",320,212,414,383,383,255
"ENSMUSG00000001127",2529,2699,3259,3045,3537,2851
"ENSMUSG00000001128",46,88,64,95,114,75
"ENSMUSG00000001131",12,0,14,13,15,16
"ENSMUSG00000001134",128,190,191,178,145,138
"ENSMUSG00000001138",596,573,519,510,638,574
"ENSMUSG00000001143",818,724,740,832,1038,946
"ENSMUSG00000001150",1727,1588,1794,1907,2252,1779
"ENSMUSG00000001151",1617,1549,1304,1520,3125,1734
"ENSMUSG00000001155",0,0,0,0,1,0
"ENSMUSG00000001156",665,707,600,702,744,836
"ENSMUSG00000001157",689,864,686,727,790,720
"ENSMUSG00000001158",1287,1436,1493,1487,1692,1555
"ENSMUSG00000001166",44,37,42,47,17,37
"ENSMUSG00000001168",0,0,0,0,1,0
"ENSMUSG00000001173",3094,3102,2992,3493,3611,3223
"ENSMUSG00000001175",123703,149506,155521,163181,121863,144367
"ENSMUSG00000001211",7297,7208,7118,7891,6674,7354
"ENSMUSG00000001225",3,5,6,5,1,4
"ENSMUSG00000001227",3112,2812,2375,2478,3505,2859
"ENSMUSG00000001228",28,31,18,24,53,23
"ENSMUSG00000001229",2085,1825,1645,1825,1845,1795
"ENSMUSG00000001240",312,441,483,458,384,412
"ENSMUSG00000001247",237,168,274,291,255,221
"ENSMUSG00000001248",1921,1834,1642,1641,2187,1568
"ENSMUSG00000001249",24,19,22,8,16,36
"ENSMUSG00000001260",1042,962,1301,1185,1218,786
"ENSMUSG00000001270",21638,20600,18422,16955,15901,20190
"ENSMUSG00000001280",1455,1154,1303,1406,1654,1492
"ENSMUSG00000001281",11,27,14,5,18,13
"ENSMUSG00000001285",446,442,512,393,512,402
"ENSMUSG00000001288",291,181,203,206,335,234
"ENSMUSG00000001289",7312,8191,10705,9327,9824,8633
"ENSMUSG00000001300",3110,2056,2295,2392,3298,2894
"ENSMUSG00000001305",366,316,331,345,466,411
"ENSMUSG00000001313",2921,3075,3168,3323,3064,2957
"ENSMUSG00000001323",4329,4191,4224,4484,4687,4749
"ENSMUSG00000001333",104,100,119,99,90,143
"ENSMUSG00000001334",1930,1815,1901,2051,1337,2077
"ENSMUSG00000001348",5,0,7,1,2,2
"ENSMUSG00000001349",19,12,20,25,10,4
"ENSMUSG00000001366",2075,2214,2321,2374,2033,2349
"ENSMUSG00000001376",3078,3621,3727,4147,3382,3276
"ENSMUSG00000001380",3733,3047,3811,3823,4041,3401
"ENSMUSG00000001383",7527,7124,8529,8927,7902,8562
"ENSMUSG00000001403",5,4,4,1,1,1
"ENSMUSG00000001415",2125,2704,2428,2650,2216,2366
"ENSMUSG00000001416",2556,2175,3297,2907,3251,2978
"ENSMUSG00000001418",539,501,653,671,634,550
"ENSMUSG00000001419",8465,8343,7225,8371,8057,8203
"ENSMUSG00000001420",41,8,24,37,42,26
"ENSMUSG00000001424",2419,2138,2504,2401,2616,2175
"ENSMUSG00000001435",177,61,125,116,210,100
"ENSMUSG00000001436",254,132,274,240,301,211
"ENSMUSG00000001440",9112,8092,8607,9432,9440,9524
"ENSMUSG00000001441",5686,5177,5734,5976,6941,5430
"ENSMUSG00000001444",12,4,18,22,5,7
"ENSMUSG00000001445",890,934,1107,1086,1295,819
"ENSMUSG00000001467",2244,2915,2781,3133,2805,2744
"ENSMUSG00000001472",16251,15838,16319,17906,15741,17151
"ENSMUSG00000001473",63,60,43,36,26,23
"ENSMUSG00000001482",1169,1396,1184,1359,1580,1144
"ENSMUSG00000001493",26,23,25,19,17,38
"ENSMUSG00000001494",1,0,0,0,2,0
"ENSMUSG00000001496",2,1,0,16,1,6
"ENSMUSG00000001497",0,0,0,0,0,0
"ENSMUSG00000001504",2,0,0,2,6,6
"ENSMUSG00000001506",692,150,535,569,534,765
"ENSMUSG00000001507",594,418,544,494,814,464
"ENSMUSG00000001508",6,3,6,14,9,8
"ENSMUSG00000001510",5,0,1,0,0,0
"ENSMUSG00000001517",38,43,48,36,41,31
"ENSMUSG00000001518",395,366,401,376,456,345
"ENSMUSG00000001520",136,161,128,164,198,174
"ENSMUSG00000001521",448,567,421,422,569,464
"ENSMUSG00000001524",163,244,194,218,209,137
"ENSMUSG00000001525",18548,18446,19409,19480,19253,16425
"ENSMUSG00000001542",1319,1895,1702,1789,1667,1769
"ENSMUSG00000001552",1496,1015,1155,1162,1457,1265
"ENSMUSG00000001555",144,163,150,158,182,93
"ENSMUSG00000001558",11,9,13,15,8,7
"ENSMUSG00000001566",0,0,0,0,0,0
"ENSMUSG00000001569",1104,1068,1064,1160,1199,1255
"ENSMUSG00000001576",3201,2732,3072,3276,3065,3421
"ENSMUSG00000001583",5,0,8,2,11,0
"ENSMUSG00000001588",2,1,2,0,2,1
"ENSMUSG00000001604",15,14,10,15,8,18
"ENSMUSG00000001622",0,0,0,0,0,0
"ENSMUSG00000001627",1240,1756,1640,1725,1533,1272
"ENSMUSG00000001630",1044,1068,1385,1245,1018,1232
"ENSMUSG00000001632",1094,981,914,1015,1036,1108
"ENSMUSG00000001642",610,659,745,717,841,694
"ENSMUSG00000001655",0,0,0,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0
"ENSMUSG00000001657",0,0,0,0,0,0
"ENSMUSG00000001661",0,0,0,0,0,0
"ENSMUSG00000001663",250,275,327,346,431,296
"ENSMUSG00000001665",50,49,83,62,43,72
"ENSMUSG00000001666",319,191,252,256,269,311
"ENSMUSG00000001670",0,0,0,0,0,0
"ENSMUSG00000001672",7,0,15,17,18,37
"ENSMUSG00000001674",481,439,549,644,527,528
"ENSMUSG00000001687",3673,3958,4308,4015,3435,3713
"ENSMUSG00000001700",295,315,415,470,357,320
"ENSMUSG00000001707",465,573,644,694,723,426
"ENSMUSG00000001729",3969,4113,4068,4059,3895,3903
"ENSMUSG00000001739",7,10,6,5,9,4
"ENSMUSG00000001741",81,64,131,139,177,116
"ENSMUSG00000001750",215,164,194,212,190,170
"ENSMUSG00000001751",174,158,199,162,135,135
"ENSMUSG00000001755",522,561,493,395,676,510
"ENSMUSG00000001761",690,451,604,600,1009,566
"ENSMUSG00000001763",466,357,368,399,591,348
"ENSMUSG00000001767",883,912,975,1223,1050,1046
"ENSMUSG00000001768",1293,1908,1390,1552,1504,1598
"ENSMUSG00000001773",319,282,314,376,516,327
"ENSMUSG00000001774",2703,2928,3098,3090,3614,3186
"ENSMUSG00000001783",3116,2728,3545,3461,3383,3134
"ENSMUSG00000001785",521,518,555,599,721,659
"ENSMUSG00000001786",489,497,608,744,565,539
"ENSMUSG00000001794",3066,2148,2724,3011,2679,2815
"ENSMUSG00000001802",1798,1885,1602,1575,1931,1730
"ENSMUSG00000001804",0,0,0,0,0,0
"ENSMUSG00000001815",0,0,0,0,0,0
"ENSMUSG00000001819",0,0,0,0,0,0
"ENSMUSG00000001823",0,0,0,0,0,0
"ENSMUSG00000001827",3,34,7,21,6,5
"ENSMUSG00000001829",1998,2022,1932,1990,2419,1877
"ENSMUSG00000001833",23716,21735,26393,28014,25037,30010
"ENSMUSG00000001844",542,509,458,475,560,544
"ENSMUSG00000001847",8133,7133,8645,9458,9485,7999
"ENSMUSG00000001855",1796,1746,1556,1701,2019,1794
"ENSMUSG00000001864",249,158,230,216,223,172
"ENSMUSG00000001865",1,0,0,2,0,0
"ENSMUSG00000001870",923,728,995,1039,786,790
"ENSMUSG00000001891",2707,3013,3451,3525,3140,3036
"ENSMUSG00000001901",112,140,114,131,124,95
"ENSMUSG00000001909",867,889,876,759,955,811
"ENSMUSG00000001910",4847,4669,4223,4861,4306,5051
"ENSMUSG00000001911",9962,9557,5994,7166,10115,8817
"ENSMUSG00000001918",30,4,45,28,26,11
"ENSMUSG00000001924",15470,13128,15747,16444,15806,13761
"ENSMUSG00000001930",990,618,1306,1464,752,1284
"ENSMUSG00000001942",680,887,923,1080,565,791
"ENSMUSG00000001943",64,58,43,64,21,44
"ENSMUSG00000001946",348,373,473,538,366,271
"ENSMUSG00000001948",72,60,75,48,94,76
"ENSMUSG00000001962",634,410,522,577,538,780
"ENSMUSG00000001964",1086,1010,1251,1133,1450,1051
"ENSMUSG00000001983",433,362,371,346,375,389
"ENSMUSG00000001985",3420,2091,2231,2391,4765,3389
"ENSMUSG00000001986",14876,12875,14143,14736,11629,15130
"ENSMUSG00000001988",105,140,132,124,147,155
"ENSMUSG00000001995",1940,1726,2016,2022,1824,1933
"ENSMUSG00000001998",332,405,392,389,470,434
"ENSMUSG00000001999",235,303,300,260,290,289
"ENSMUSG00000002006",4155,4662,4045,4510,5638,4157
"ENSMUSG00000002007",51,65,45,51,41,33
"ENSMUSG00000002010",4095,3583,4108,4215,4453,3974
"ENSMUSG00000002012",926,717,1217,1071,2414,752
"ENSMUSG00000002014",775,887,1107,1156,941,801
"ENSMUSG00000002015",890,792,1012,1092,986,933
"ENSMUSG00000002017",843,670,908,860,821,1040
"ENSMUSG00000002020",7,2,4,7,8,10
"ENSMUSG00000002028",7657,6522,6540,7285,9030,8458
"ENSMUSG00000002031",1007,890,1113,1175,1284,1165
"ENSMUSG00000002032",630,703,637,660,671,767
"ENSMUSG00000002033",0,0,1,0,3,0
"ENSMUSG00000002043",59,64,57,44,69,35
"ENSMUSG00000002052",11874,8733,9713,10255,10919,12020
"ENSMUSG00000002055",181,208,240,345,203,234
"ENSMUSG00000002057",3,0,0,0,1,0
"ENSMUSG00000002058",594,714,828,782,835,472
"ENSMUSG00000002059",121,113,122,114,133,102
"ENSMUSG00000002064",990,1054,1290,1229,1487,1138
"ENSMUSG00000002068",477,389,482,532,370,494
"ENSMUSG00000002076",4,8,15,28,15,6
"ENSMUSG00000002083",37,46,21,19,58,19
"ENSMUSG00000002100",48,128,62,68,36,76
"ENSMUSG00000002102",5371,4847,5772,5471,5221,5341
"ENSMUSG00000002103",2766,2538,2807,2942,3060,2583
"ENSMUSG00000002104",7,9,10,7,6,12
"ENSMUSG00000002105",438,354,386,456,600,605
"ENSMUSG00000002107",14248,15800,13117,14456,17272,14116
"ENSMUSG00000002108",138,127,129,150,130,131
"ENSMUSG00000002109",131,191,167,183,220,147
"ENSMUSG00000002111",63,85,80,115,62,82
"ENSMUSG00000002129",2913,2377,2602,2768,2804,3078
"ENSMUSG00000002147",384,320,362,423,379,397
"ENSMUSG00000002190",557,364,570,530,427,625
"ENSMUSG00000002204",4,0,9,4,2,7
"ENSMUSG00000002205",540,566,642,618,648,555
"ENSMUSG00000002210",831,688,647,769,680,779
"ENSMUSG00000002221",1659,1641,1414,1558,2038,1800
"ENSMUSG00000002222",4484,4774,4725,5111,5627,5111
"ENSMUSG00000002227",133,118,118,193,185,137
"ENSMUSG00000002228",14,11,17,19,7,17
"ENSMUSG00000002233",339,334,396,445,373,339
"ENSMUSG00000002240",0,0,0,0,0,0
"ENSMUSG00000002249",55,26,40,53,51,20
"ENSMUSG00000002250",611,752,464,499,653,548
"ENSMUSG00000002257",51,80,54,47,51,46
"ENSMUSG00000002265",14709,11768,12257,13795,14756,16010
"ENSMUSG00000002266",70,139,74,99,109,82
"ENSMUSG00000002274",445,562,426,434,454,348
"ENSMUSG00000002279",606,491,559,580,621,416
"ENSMUSG00000002280",623,633,637,691,673,549
"ENSMUSG00000002289",109,183,95,85,190,155
"ENSMUSG00000002297",57,86,52,63,52,58
"ENSMUSG00000002307",476,343,435,431,559,388
"ENSMUSG00000002308",246,294,246,331,266,191
"ENSMUSG00000002319",715,666,614,696,803,625
"ENSMUSG00000002320",500,388,531,485,497,461
"ENSMUSG00000002324",0,0,4,0,4,0
"ENSMUSG00000002325",211,262,258,194,433,252
"ENSMUSG00000002326",432,388,559,571,573,458
"ENSMUSG00000002329",1034,1061,1186,1072,1229,1122
"ENSMUSG00000002332",1186,1260,1428,1392,1347,1249
"ENSMUSG00000002341",15321,13147,13550,14732,14131,14137
"ENSMUSG00000002342",407,443,447,484,608,435
"ENSMUSG00000002343",400,517,398,315,569,359
"ENSMUSG00000002345",361,335,376,374,375,339
"ENSMUSG00000002346",520,620,441,503,574,478
"ENSMUSG00000002365",433,479,428,408,484,381
"ENSMUSG00000002372",1649,1745,1828,1885,1747,1552
"ENSMUSG00000002379",1135,1350,1535,1429,1549,1158
"ENSMUSG00000002384",5,3,0,4,2,0
"ENSMUSG00000002393",186,239,277,201,266,265
"ENSMUSG00000002395",1118,1211,1169,1119,1366,1103
"ENSMUSG00000002396",352,353,301,310,344,334
"ENSMUSG00000002409",865,976,771,729,1017,768
"ENSMUSG00000002413",9079,9445,8591,9361,9236,9863
"ENSMUSG00000002416",323,342,363,482,540,429
"ENSMUSG00000002428",1437,1502,1456,1492,1768,1699
"ENSMUSG00000002455",2536,1895,2410,2498,2439,2618
"ENSMUSG00000002458",530,489,540,585,632,445
"ENSMUSG00000002459",994,1175,1275,1295,909,1039
"ENSMUSG00000002475",1531,1636,2089,1796,2144,1685
"ENSMUSG00000002477",1444,1632,1966,1977,2162,2098
"ENSMUSG00000002486",303,219,262,244,294,310
"ENSMUSG00000002489",4282,2710,2936,2978,6506,3441
"ENSMUSG00000002496",4372,3998,4099,4461,5018,4300
"ENSMUSG00000002500",5,2,6,6,1,0
"ENSMUSG00000002504",907,491,899,861,1005,732
"ENSMUSG00000002524",3064,2729,3162,3000,3454,2830
"ENSMUSG00000002546",4004,3514,3493,3475,3725,4501
"ENSMUSG00000002550",614,803,772,813,834,731
"ENSMUSG00000002565",3,2,2,0,2,1
"ENSMUSG00000002578",612,707,517,562,912,485
"ENSMUSG00000002580",1245,1492,1598,1297,1495,878
"ENSMUSG00000002588",1,0,2,0,0,1
"ENSMUSG00000002602",2265,2699,2613,2692,2489,2211
"ENSMUSG00000002603",159,91,116,143,129,129
"ENSMUSG00000002608",1242,1110,1165,1142,1126,1056
"ENSMUSG00000002617",700,676,695,802,1016,758
"ENSMUSG00000002625",1890,1635,1690,1691,1866,2124
"ENSMUSG00000002633",46,106,65,86,82,72
"ENSMUSG00000002635",242,271,336,383,321,227
"ENSMUSG00000002658",3205,2287,2698,2777,2856,3342
"ENSMUSG00000002660",922,1030,900,892,1182,773
"ENSMUSG00000002661",126,137,135,91,162,113
"ENSMUSG00000002664",0,0,0,0,0,0
"ENSMUSG00000002668",32,24,28,48,26,19
"ENSMUSG00000002679",293,351,409,500,444,273
"ENSMUSG00000002688",341,414,434,425,441,401
"ENSMUSG00000002699",161,153,172,193,216,184
"ENSMUSG00000002718",2126,2663,2900,2765,2665,2555
"ENSMUSG00000002728",873,1101,1269,1257,1249,942
"ENSMUSG00000002731",310,334,383,383,506,294
"ENSMUSG00000002732",74,41,70,65,106,66
"ENSMUSG00000002733",1126,1268,1367,1255,1251,1264
"ENSMUSG00000002741",2326,2420,2485,2643,2504,2597
"ENSMUSG00000002748",6166,6063,5695,6865,6906,7351
"ENSMUSG00000002763",884,800,707,693,1065,741
"ENSMUSG00000002767",615,565,665,700,649,562
"ENSMUSG00000002768",2413,2546,2773,2870,2822,2377
"ENSMUSG00000002769",5,0,5,0,3,6
"ENSMUSG00000002771",245,252,209,256,275,308
"ENSMUSG00000002778",1260,1204,1328,1440,1676,1006
"ENSMUSG00000002781",453,402,403,439,424,378
"ENSMUSG00000002791",2,0,3,0,0,4
"ENSMUSG00000002797",482,410,537,497,535,598
"ENSMUSG00000002799",783,641,648,542,880,765
"ENSMUSG00000002803",955,1078,1144,1198,1196,930
"ENSMUSG00000002804",87,94,147,104,131,96
"ENSMUSG00000002808",1902,1852,2110,2356,1639,1841
"ENSMUSG00000002812",1791,1527,1701,1526,1914,1920
"ENSMUSG00000002814",160,168,155,171,146,156
"ENSMUSG00000002820",472,434,439,499,508,497
"ENSMUSG00000002825",210,133,203,190,304,196
"ENSMUSG00000002831",89,177,51,52,64,131
"ENSMUSG00000002833",1812,1463,1381,1468,1591,1632
"ENSMUSG00000002835",183,206,129,205,219,201
"ENSMUSG00000002844",960,1060,1129,1132,1044,955
"ENSMUSG00000002845",159,163,210,116,181,166
"ENSMUSG00000002846",638,810,669,816,659,574
"ENSMUSG00000002847",41,27,34,22,28,36
"ENSMUSG00000002870",223,251,201,126,220,177
"ENSMUSG00000002871",351,333,330,274,478,301
"ENSMUSG00000002881",1803,1804,1855,1958,2275,2091
"ENSMUSG00000002885",266,235,436,471,324,355
"ENSMUSG00000002897",556,446,663,677,594,588
"ENSMUSG00000002900",885,631,742,719,1315,837
"ENSMUSG00000002908",515,525,425,540,546,501
"ENSMUSG00000002910",179,232,151,161,168,212
"ENSMUSG00000002930",44,10,18,23,38,16
"ENSMUSG00000002944",8,18,24,14,53,2
"ENSMUSG00000002948",961,985,991,1112,1104,1125
"ENSMUSG00000002949",1090,1301,1154,1326,1376,1327
"ENSMUSG00000002957",8612,7425,7854,8124,10603,7464
