"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000014294",12677,8924,19167,9557,4988
"ENSMUSG00000014301",1159,955,1730,994,490
"ENSMUSG00000014303",423,524,556,257,164
"ENSMUSG00000014313",74685,61018,124735,63940,34131
"ENSMUSG00000014329",1913,2195,2856,1636,810
"ENSMUSG00000014349",2620,2598,3885,2238,1173
"ENSMUSG00000014351",0,0,0,0,0
"ENSMUSG00000014353",1993,2011,3176,1539,1019
"ENSMUSG00000014355",6045,5607,9430,4875,3001
"ENSMUSG00000014361",343,458,501,282,150
"ENSMUSG00000014402",2651,2344,3819,2113,1149
"ENSMUSG00000014418",648,494,813,443,239
"ENSMUSG00000014426",3396,2957,5131,2611,1916
"ENSMUSG00000014444",3171,3703,3545,1958,1364
"ENSMUSG00000014453",9,14,28,66,6
"ENSMUSG00000014470",1565,1479,2436,1320,663
"ENSMUSG00000014496",2798,2444,4650,2173,1394
"ENSMUSG00000014498",2813,3178,3939,2260,1675
"ENSMUSG00000014503",176,178,309,150,134
"ENSMUSG00000014504",1021,834,1758,1006,500
"ENSMUSG00000014529",0,0,0,0,0
"ENSMUSG00000014542",35,42,36,9,5
"ENSMUSG00000014543",2,1,0,0,2
"ENSMUSG00000014547",775,930,1386,694,440
"ENSMUSG00000014550",1458,1290,2332,1143,593
"ENSMUSG00000014551",1999,1598,3206,1808,894
"ENSMUSG00000014554",1453,1072,2169,1149,609
"ENSMUSG00000014592",5202,5420,8460,4658,2956
"ENSMUSG00000014599",2426,2390,3084,1563,1354
"ENSMUSG00000014601",1720,1337,2294,1240,882
"ENSMUSG00000014602",91,76,167,62,12
"ENSMUSG00000014603",0,0,0,0,0
"ENSMUSG00000014606",30079,24947,46042,24573,13850
"ENSMUSG00000014609",0,0,0,0,0
"ENSMUSG00000014633",2363,1632,3560,1720,1025
"ENSMUSG00000014668",705,637,1064,580,291
"ENSMUSG00000014686",0,0,0,0,0
"ENSMUSG00000014704",6,3,17,0,0
"ENSMUSG00000014725",4,0,0,0,0
"ENSMUSG00000014747",0,2,1,0,0
"ENSMUSG00000014748",3592,3055,5635,2649,1694
"ENSMUSG00000014763",2019,1585,2942,1632,881
"ENSMUSG00000014767",493,467,730,434,244
"ENSMUSG00000014769",5567,4958,9398,4955,2719
"ENSMUSG00000014771",460,447,723,475,322
"ENSMUSG00000014773",299,204,412,192,174
"ENSMUSG00000014776",3151,2332,4345,2298,1492
"ENSMUSG00000014778",432,329,486,203,102
"ENSMUSG00000014782",7,6,5,0,1
"ENSMUSG00000014786",64,34,80,40,40
"ENSMUSG00000014791",93,93,117,48,17
"ENSMUSG00000014813",50,259,92,76,33
"ENSMUSG00000014837",101,71,99,66,50
"ENSMUSG00000014846",1747,738,1309,819,226
"ENSMUSG00000014850",646,563,1117,473,367
"ENSMUSG00000014852",0,0,0,0,0
"ENSMUSG00000014856",682,582,1014,581,339
"ENSMUSG00000014859",995,824,1384,719,391
"ENSMUSG00000014867",7579,6756,11042,6140,3420
"ENSMUSG00000014873",954,669,1313,667,356
"ENSMUSG00000014905",1609,1916,2508,1716,849
"ENSMUSG00000014907",338,366,464,317,204
"ENSMUSG00000014932",1488,1332,2061,1154,571
"ENSMUSG00000014956",17087,17386,28745,15681,8773
"ENSMUSG00000014959",3442,2889,5140,2791,1749
"ENSMUSG00000014980",818,576,1259,658,334
"ENSMUSG00000015001",0,0,0,0,0
"ENSMUSG00000015002",4872,4492,8013,4024,2367
"ENSMUSG00000015013",2044,1585,3211,1682,998
"ENSMUSG00000015016",1279,1188,1799,901,432
"ENSMUSG00000015023",1306,1248,2192,1043,617
"ENSMUSG00000015027",256,252,422,170,116
"ENSMUSG00000015053",472,476,560,442,146
"ENSMUSG00000015083",97,96,138,83,45
"ENSMUSG00000015085",580,566,726,460,235
"ENSMUSG00000015087",3887,2758,5327,3063,1839
"ENSMUSG00000015090",24368,15207,41675,12704,11529
"ENSMUSG00000015092",5366,4046,7738,4403,2430
"ENSMUSG00000015093",10,16,25,11,0
"ENSMUSG00000015094",710,628,678,562,231
"ENSMUSG00000015095",4017,3273,5731,2942,1503
"ENSMUSG00000015112",10068,11603,18769,10299,5449
"ENSMUSG00000015120",1530,1139,1928,1129,632
"ENSMUSG00000015126",326,250,423,205,165
"ENSMUSG00000015127",251,211,317,191,89
"ENSMUSG00000015133",1141,1067,1565,811,575
"ENSMUSG00000015134",164,129,168,69,46
"ENSMUSG00000015143",1239,1316,1684,1030,644
"ENSMUSG00000015149",3286,3438,4813,2664,1301
"ENSMUSG00000015165",6223,4853,7190,4107,2328
"ENSMUSG00000015176",1323,1360,2274,1157,694
"ENSMUSG00000015189",1856,1901,2480,1475,887
"ENSMUSG00000015202",2631,2161,3103,2004,1167
"ENSMUSG00000015214",1444,1311,2189,1169,707
"ENSMUSG00000015217",1853,1479,2982,1693,837
"ENSMUSG00000015222",267,395,482,220,123
"ENSMUSG00000015224",236,258,386,163,132
"ENSMUSG00000015242",0,0,0,0,0
"ENSMUSG00000015243",4846,4680,7228,3093,1453
"ENSMUSG00000015247",328,292,463,251,129
"ENSMUSG00000015289",802,646,1121,596,297
"ENSMUSG00000015290",4577,4181,7068,3776,2200
"ENSMUSG00000015291",3363,3168,4850,2672,1324
"ENSMUSG00000015305",3889,3347,5467,2851,1851
"ENSMUSG00000015312",206,410,265,68,79
"ENSMUSG00000015314",14,11,4,26,4
"ENSMUSG00000015316",80,46,82,115,6
"ENSMUSG00000015335",163,132,185,120,33
"ENSMUSG00000015337",1644,1232,2274,1210,861
"ENSMUSG00000015340",692,587,1023,564,419
"ENSMUSG00000015341",1585,1285,2355,1232,707
"ENSMUSG00000015342",651,802,1158,669,358
"ENSMUSG00000015354",1278,1001,1149,850,271
"ENSMUSG00000015355",153,119,159,125,75
"ENSMUSG00000015357",6268,5741,9037,5305,2697
"ENSMUSG00000015363",2204,1783,3478,1832,1064
"ENSMUSG00000015365",4354,3852,7985,4485,2259
"ENSMUSG00000015377",614,541,833,518,270
"ENSMUSG00000015396",227,165,368,254,142
"ENSMUSG00000015401",6,0,0,2,0
"ENSMUSG00000015405",171,202,181,135,42
"ENSMUSG00000015437",1,8,5,9,9
"ENSMUSG00000015441",0,0,0,0,0
"ENSMUSG00000015443",0,0,0,0,0
"ENSMUSG00000015451",38,27,60,23,10
"ENSMUSG00000015452",6,9,7,6,0
"ENSMUSG00000015461",778,680,905,584,234
"ENSMUSG00000015467",29,26,36,4,5
"ENSMUSG00000015468",1786,1832,2035,1023,606
"ENSMUSG00000015474",519,459,766,380,229
"ENSMUSG00000015476",49,38,48,22,18
"ENSMUSG00000015478",881,804,1047,635,249
"ENSMUSG00000015484",4,0,0,0,0
"ENSMUSG00000015488",1150,1387,1659,938,596
"ENSMUSG00000015501",2528,3407,3917,1957,1486
"ENSMUSG00000015519",0,0,0,0,0
"ENSMUSG00000015522",2841,2535,4364,2165,1326
"ENSMUSG00000015533",93,88,104,85,26
"ENSMUSG00000015536",1485,1126,2275,1207,650
"ENSMUSG00000015542",1162,874,1853,782,425
"ENSMUSG00000015568",241458,232422,342031,186276,133185
"ENSMUSG00000015575",1435,1192,2354,1228,570
"ENSMUSG00000015579",1581,1189,1999,1271,776
"ENSMUSG00000015597",1315,1600,2044,1169,811
"ENSMUSG00000015599",65,32,67,25,15
"ENSMUSG00000015605",4702,2925,5665,2963,2043
"ENSMUSG00000015619",50,24,62,51,25
"ENSMUSG00000015627",14,22,12,3,13
"ENSMUSG00000015647",5549,4728,7665,3703,2795
"ENSMUSG00000015652",1,0,1,0,0
"ENSMUSG00000015653",100,111,142,95,101
"ENSMUSG00000015656",28945,33990,41644,30169,18463
"ENSMUSG00000015659",699,768,1013,569,480
"ENSMUSG00000015665",0,0,0,0,0
"ENSMUSG00000015668",1086,846,1612,851,392
"ENSMUSG00000015671",5410,4574,8737,4767,2773
"ENSMUSG00000015672",1781,1544,3035,1684,865
"ENSMUSG00000015697",1108,1135,1433,806,576
"ENSMUSG00000015702",21,18,39,20,0
"ENSMUSG00000015709",29,29,78,12,0
"ENSMUSG00000015711",1881,1751,2966,1684,908
"ENSMUSG00000015714",2096,1790,2778,1534,959
"ENSMUSG00000015721",0,0,0,0,0
"ENSMUSG00000015733",8484,7637,14049,7155,4286
"ENSMUSG00000015745",1993,1485,2687,1512,754
"ENSMUSG00000015747",602,513,922,540,311
"ENSMUSG00000015748",748,740,922,620,335
"ENSMUSG00000015749",2752,2292,4399,2221,1313
"ENSMUSG00000015750",1409,1195,1768,1009,524
"ENSMUSG00000015755",3660,3706,5041,2760,2021
"ENSMUSG00000015757",1366,1215,2179,1183,728
"ENSMUSG00000015759",1859,1675,2746,1657,887
"ENSMUSG00000015766",1020,932,1238,789,391
"ENSMUSG00000015776",1077,889,1658,932,512
"ENSMUSG00000015787",0,0,0,0,0
"ENSMUSG00000015790",1669,1392,2502,1178,708
"ENSMUSG00000015804",1575,1365,2755,1332,830
"ENSMUSG00000015806",1845,1572,2685,1392,882
"ENSMUSG00000015812",16,9,6,0,10
"ENSMUSG00000015829",5,1,5,7,0
"ENSMUSG00000015837",14643,18104,21860,12502,7811
"ENSMUSG00000015839",2593,2970,4126,2096,1327
"ENSMUSG00000015843",4309,3142,6754,3255,2220
"ENSMUSG00000015846",4540,4162,6143,3334,1880
"ENSMUSG00000015850",2340,2155,2837,1501,827
"ENSMUSG00000015852",604,360,744,491,259
"ENSMUSG00000015854",15,7,4,0,0
"ENSMUSG00000015869",696,555,1089,592,415
"ENSMUSG00000015879",1,0,0,4,0
"ENSMUSG00000015880",42,30,11,22,33
"ENSMUSG00000015882",590,514,871,473,341
"ENSMUSG00000015889",1492,1083,1967,1006,725
"ENSMUSG00000015890",32,22,36,28,17
"ENSMUSG00000015932",6940,5932,9698,5351,2779
"ENSMUSG00000015937",1147,1294,2043,1198,614
"ENSMUSG00000015942",318,313,414,277,164
"ENSMUSG00000015943",895,639,1221,826,401
"ENSMUSG00000015944",2094,1563,2462,1439,610
"ENSMUSG00000015947",84,78,172,89,87
"ENSMUSG00000015950",267,444,384,314,105
"ENSMUSG00000015957",170,159,215,82,41
"ENSMUSG00000015961",550,411,752,412,193
"ENSMUSG00000015962",0,0,0,0,0
"ENSMUSG00000015966",12,9,7,1,0
"ENSMUSG00000015968",214,191,231,102,85
"ENSMUSG00000015970",27,18,45,2,0
"ENSMUSG00000015971",1973,1774,2836,1429,993
"ENSMUSG00000015980",277,194,403,216,147
"ENSMUSG00000015981",63,41,47,38,14
"ENSMUSG00000015994",3429,3139,5742,3100,2089
"ENSMUSG00000016018",2350,2101,3924,2072,1046
"ENSMUSG00000016024",173,196,300,178,64
"ENSMUSG00000016028",900,708,1421,823,534
"ENSMUSG00000016087",1960,1949,3141,1445,758
"ENSMUSG00000016128",2014,2105,2955,1269,1042
"ENSMUSG00000016150",25,17,25,12,6
"ENSMUSG00000016179",16,21,39,78,0
"ENSMUSG00000016181",407,453,725,336,192
"ENSMUSG00000016194",311,252,821,322,222
"ENSMUSG00000016200",1,0,7,0,2
"ENSMUSG00000016206",227,209,350,246,171
"ENSMUSG00000016239",58,11,70,30,44
"ENSMUSG00000016252",26176,18428,40991,20691,10447
"ENSMUSG00000016253",1473,1178,2355,1228,791
"ENSMUSG00000016255",45,26,40,165,9
"ENSMUSG00000016256",1823,1447,2224,1342,718
"ENSMUSG00000016257",2632,2097,4169,1952,1347
"ENSMUSG00000016262",254,119,251,205,66
"ENSMUSG00000016283",0,0,0,2,0
"ENSMUSG00000016308",1764,1493,2586,1480,816
"ENSMUSG00000016319",13973,11645,21769,10775,6254
"ENSMUSG00000016327",0,2,2,0,0
"ENSMUSG00000016344",1327,987,1844,960,509
"ENSMUSG00000016346",5,2,7,3,0
"ENSMUSG00000016349",52594,45147,79395,43314,25375
"ENSMUSG00000016356",92,65,100,74,19
"ENSMUSG00000016382",2581,2626,3839,2145,1305
"ENSMUSG00000016386",892,775,1083,827,293
"ENSMUSG00000016409",1016,913,1414,797,444
"ENSMUSG00000016427",17676,12183,27605,13601,6878
"ENSMUSG00000016458",137,166,235,69,83
"ENSMUSG00000016477",593,625,933,428,270
"ENSMUSG00000016481",3934,3445,6300,3221,1906
"ENSMUSG00000016487",4334,3407,6389,3014,1940
"ENSMUSG00000016493",56,32,65,12,13
"ENSMUSG00000016494",9890,9103,12393,6202,3039
"ENSMUSG00000016495",917,785,1475,719,442
"ENSMUSG00000016496",391,252,645,458,400
"ENSMUSG00000016498",0,3,5,2,3
"ENSMUSG00000016503",659,583,906,555,317
"ENSMUSG00000016510",1044,825,1501,759,445
"ENSMUSG00000016520",1011,918,1317,731,476
"ENSMUSG00000016524",0,0,0,6,0
"ENSMUSG00000016526",4,13,4,11,7
"ENSMUSG00000016528",17803,14395,27248,13795,8993
"ENSMUSG00000016529",0,0,0,0,0
"ENSMUSG00000016534",9515,9656,14435,8057,4174
"ENSMUSG00000016541",3770,3432,5347,3021,1561
"ENSMUSG00000016552",60,50,132,31,15
"ENSMUSG00000016554",3081,2690,4468,2398,1371
"ENSMUSG00000016559",5483,4126,8351,4255,2471
"ENSMUSG00000016619",958,895,1429,822,465
"ENSMUSG00000016624",63,26,90,45,25
"ENSMUSG00000016626",0,0,0,0,0
"ENSMUSG00000016637",340,270,442,277,128
"ENSMUSG00000016664",14026,11190,21555,11634,7242
"ENSMUSG00000016756",395,263,470,230,111
"ENSMUSG00000016757",596,497,664,450,228
"ENSMUSG00000016758",360,111,500,251,118
"ENSMUSG00000016763",170,188,170,67,29
"ENSMUSG00000016831",2502,2320,3761,2362,1288
"ENSMUSG00000016833",537,380,823,450,302
"ENSMUSG00000016918",2014,1901,2773,1324,658
"ENSMUSG00000016921",3264,2470,4290,2454,1562
"ENSMUSG00000016933",4698,4569,6337,3027,1628
"ENSMUSG00000016940",665,538,1135,523,370
"ENSMUSG00000016942",3,20,8,3,0
"ENSMUSG00000016946",393,377,617,341,222
"ENSMUSG00000016982",1,0,0,0,0
"ENSMUSG00000016984",285,221,423,267,119
"ENSMUSG00000016995",35,32,53,35,3
"ENSMUSG00000016998",0,0,0,0,0
"ENSMUSG00000017000",0,0,0,0,0
"ENSMUSG00000017002",14,26,9,8,5
"ENSMUSG00000017003",0,0,0,0,0
"ENSMUSG00000017004",0,0,0,0,0
"ENSMUSG00000017007",1,0,0,0,2
"ENSMUSG00000017009",1055,983,1887,1303,423
"ENSMUSG00000017049",0,0,0,0,0
"ENSMUSG00000017057",2852,3164,5713,3146,1971
"ENSMUSG00000017064",0,0,0,0,0
"ENSMUSG00000017119",9196,8855,14276,7742,5014
"ENSMUSG00000017132",2916,2740,4456,2144,1354
"ENSMUSG00000017144",976,849,1702,810,487
"ENSMUSG00000017146",55,57,45,69,44
"ENSMUSG00000017165",0,0,0,0,0
"ENSMUSG00000017167",138,113,129,82,47
"ENSMUSG00000017176",1053,765,1276,793,333
"ENSMUSG00000017188",2859,2481,4547,2333,1358
"ENSMUSG00000017195",0,0,4,0,1
"ENSMUSG00000017204",2,2,5,0,0
"ENSMUSG00000017210",3290,2402,4274,2239,1427
"ENSMUSG00000017211",0,0,0,0,0
"ENSMUSG00000017221",4406,4199,6406,3598,2059
"ENSMUSG00000017264",2288,2225,3434,1802,1054
"ENSMUSG00000017286",1868,1677,3093,1745,842
"ENSMUSG00000017288",1173,1196,1789,948,631
"ENSMUSG00000017291",12058,13804,20333,10910,7698
"ENSMUSG00000017299",555,544,892,474,260
"ENSMUSG00000017300",10,38,11,11,7
"ENSMUSG00000017307",349,265,453,291,148
"ENSMUSG00000017309",3240,3640,4704,1979,1524
"ENSMUSG00000017310",0,0,0,0,0
"ENSMUSG00000017311",0,0,0,0,0
"ENSMUSG00000017314",271,290,289,229,107
"ENSMUSG00000017316",0,0,0,0,0
"ENSMUSG00000017344",1158,1169,1572,928,479
"ENSMUSG00000017376",1268,1099,2127,1173,633
"ENSMUSG00000017386",241,184,323,208,84
"ENSMUSG00000017390",8,13,19,2,9
"ENSMUSG00000017400",13,5,12,4,0
"ENSMUSG00000017404",6473,5123,9990,6079,3265
"ENSMUSG00000017405",190,154,253,126,98
"ENSMUSG00000017412",91,64,105,57,24
"ENSMUSG00000017417",401,324,505,295,122
"ENSMUSG00000017418",1475,1515,2457,1563,970
"ENSMUSG00000017421",3241,2882,4643,2774,1751
"ENSMUSG00000017428",4192,4820,6021,3594,2125
"ENSMUSG00000017446",899,1047,1047,679,382
"ENSMUSG00000017453",69,71,120,81,50
"ENSMUSG00000017466",6818,6578,7395,4246,2128
"ENSMUSG00000017478",1480,1283,2091,1175,715
"ENSMUSG00000017485",6728,6422,10152,5539,3494
"ENSMUSG00000017491",949,1000,1542,914,554
"ENSMUSG00000017493",4411,3923,5005,4072,1139
"ENSMUSG00000017499",57,47,49,20,36
"ENSMUSG00000017548",1740,1722,2792,1435,920
"ENSMUSG00000017550",182,144,161,99,65
"ENSMUSG00000017561",517,463,657,456,211
"ENSMUSG00000017588",0,0,0,0,0
"ENSMUSG00000017607",24,21,42,12,8
"ENSMUSG00000017615",4316,3816,6150,3201,2055
"ENSMUSG00000017631",2695,2002,3815,1999,1209
"ENSMUSG00000017639",17,13,27,25,11
"ENSMUSG00000017652",119,75,192,75,61
"ENSMUSG00000017664",787,650,1057,639,295
"ENSMUSG00000017667",566,538,771,377,224
"ENSMUSG00000017670",1288,1076,1865,1009,565
"ENSMUSG00000017677",835,387,1063,582,308
"ENSMUSG00000017679",687,820,1165,581,367
"ENSMUSG00000017686",4454,4135,6816,3565,2048
"ENSMUSG00000017688",0,0,1,0,0
"ENSMUSG00000017692",493,351,781,324,241
"ENSMUSG00000017697",67,59,79,39,29
"ENSMUSG00000017707",16402,20055,24295,14856,7738
"ENSMUSG00000017713",349,261,441,258,183
"ENSMUSG00000017715",838,751,1448,680,508
"ENSMUSG00000017716",55,26,33,32,36
"ENSMUSG00000017718",62,63,78,69,43
"ENSMUSG00000017720",0,0,0,0,0
"ENSMUSG00000017721",1720,1800,2331,1394,788
"ENSMUSG00000017723",14,14,20,0,0
"ENSMUSG00000017724",16,8,30,5,12
"ENSMUSG00000017733",0,0,0,0,0
"ENSMUSG00000017734",138,115,232,96,74
"ENSMUSG00000017737",53,34,264,162,45
"ENSMUSG00000017740",84,109,93,86,18
"ENSMUSG00000017747",708,718,1022,514,314
"ENSMUSG00000017754",3405,2454,3674,2021,930
"ENSMUSG00000017756",13971,14492,20551,11705,7807
"ENSMUSG00000017760",6896,6155,10119,5418,3048
"ENSMUSG00000017764",293,274,459,263,196
"ENSMUSG00000017765",2314,2829,3161,1800,938
"ENSMUSG00000017767",21,4,17,9,6
"ENSMUSG00000017774",7544,7448,9988,5257,3080
"ENSMUSG00000017776",5083,5224,7980,4204,2541
"ENSMUSG00000017778",28389,21973,46237,22600,12751
"ENSMUSG00000017781",4510,4137,6771,3688,1920
"ENSMUSG00000017801",984,826,1461,768,392
"ENSMUSG00000017802",1939,1762,2742,1447,757
"ENSMUSG00000017817",23480,17713,35230,18662,12639
"ENSMUSG00000017830",116,68,124,81,98
"ENSMUSG00000017831",1584,1692,2571,1405,822
"ENSMUSG00000017832",2,0,8,4,5
"ENSMUSG00000017837",3226,2510,4347,2539,1281
"ENSMUSG00000017843",7526,6409,11061,5620,3555
"ENSMUSG00000017858",1166,946,1502,880,467
"ENSMUSG00000017861",17,7,14,3,6
"ENSMUSG00000017868",4,2,0,0,0
"ENSMUSG00000017897",48,36,33,86,5
"ENSMUSG00000017922",0,0,0,0,0
"ENSMUSG00000017929",724,671,931,559,307
"ENSMUSG00000017943",5,3,0,5,0
"ENSMUSG00000017950",14,14,2,2,0
"ENSMUSG00000017969",542,505,522,229,141
"ENSMUSG00000017978",216,221,310,229,80
"ENSMUSG00000017999",806,614,1085,632,334
"ENSMUSG00000018001",3080,2816,4895,2449,1632
"ENSMUSG00000018008",530,280,674,336,241
"ENSMUSG00000018012",62,32,37,45,7
"ENSMUSG00000018040",1653,1469,2537,1465,1030
"ENSMUSG00000018042",4625,3766,6392,3435,1676
"ENSMUSG00000018068",585,363,890,426,288
"ENSMUSG00000018076",3175,2921,4456,2545,1203
"ENSMUSG00000018102",1984,1302,2664,1736,1018
"ENSMUSG00000018126",2,12,8,0,0
"ENSMUSG00000018143",1310,1734,2148,1364,842
"ENSMUSG00000018160",4131,4040,6288,3181,2010
"ENSMUSG00000018166",1117,1272,2042,986,740
"ENSMUSG00000018167",1248,1191,1818,828,551
"ENSMUSG00000018168",60,44,47,114,16
"ENSMUSG00000018169",349,373,467,295,169
"ENSMUSG00000018171",2460,2068,3954,1946,1306
"ENSMUSG00000018189",1064,984,1565,883,409
"ENSMUSG00000018196",1437,1224,2063,1069,658
"ENSMUSG00000018199",1959,1896,3061,1600,1067
"ENSMUSG00000018209",1790,1488,2341,1368,796
"ENSMUSG00000018211",3,0,0,0,0
"ENSMUSG00000018217",2095,2355,2729,1373,666
"ENSMUSG00000018238",28,25,49,18,5
"ENSMUSG00000018239",141,107,221,181,61
"ENSMUSG00000018259",0,1,0,0,7
"ENSMUSG00000018263",2013,1320,2370,1126,653
"ENSMUSG00000018286",7690,6263,12067,6477,3421
"ENSMUSG00000018287",4675,3932,7573,4012,2097
"ENSMUSG00000018293",5850,4767,8155,4973,2751
"ENSMUSG00000018322",937,806,1371,802,517
"ENSMUSG00000018326",4021,4150,5831,3523,1943
"ENSMUSG00000018334",458,558,596,349,182
"ENSMUSG00000018339",9978,7483,9632,4958,2545
"ENSMUSG00000018340",11838,10615,17988,9917,5507
"ENSMUSG00000018341",4,9,5,12,0
"ENSMUSG00000018347",353,297,463,336,182
"ENSMUSG00000018362",1673,2094,3308,2047,1293
"ENSMUSG00000018363",3175,3451,5279,2851,1820
"ENSMUSG00000018372",372,349,588,277,190
"ENSMUSG00000018377",3625,3735,5467,3180,1730
"ENSMUSG00000018378",2635,1863,3136,1804,899
"ENSMUSG00000018379",3251,3035,5257,2903,2067
"ENSMUSG00000018381",382,269,418,158,102
"ENSMUSG00000018387",40,29,52,33,12
"ENSMUSG00000018395",798,704,1122,584,308
"ENSMUSG00000018398",2390,2623,3328,1913,932
"ENSMUSG00000018401",1808,2020,2651,1556,884
"ENSMUSG00000018405",948,873,1644,685,533
"ENSMUSG00000018411",3549,3742,6661,3121,2227
"ENSMUSG00000018412",2142,2236,2991,1833,943
"ENSMUSG00000018415",4302,3682,5988,3144,1838
"ENSMUSG00000018417",2041,2129,2972,1464,886
"ENSMUSG00000018425",1378,1394,2079,1232,788
"ENSMUSG00000018427",2070,666,3060,1735,1025
"ENSMUSG00000018428",11187,8382,14946,7934,5113
"ENSMUSG00000018433",1791,1536,2806,1387,910
"ENSMUSG00000018442",1319,1139,2308,1170,844
"ENSMUSG00000018446",4112,4172,6182,3403,1931
"ENSMUSG00000018449",477,360,752,435,138
"ENSMUSG00000018451",7,5,12,11,0
"ENSMUSG00000018459",12,6,15,2,16
"ENSMUSG00000018470",32,16,43,17,6
"ENSMUSG00000018474",1755,1330,1749,1140,490
"ENSMUSG00000018476",812,982,833,572,336
"ENSMUSG00000018479",0,0,3,0,0
"ENSMUSG00000018481",2475,2263,3798,1911,1016
"ENSMUSG00000018486",31,13,31,5,2
"ENSMUSG00000018500",8,74,34,15,25
"ENSMUSG00000018501",8330,9124,12817,7147,4380
"ENSMUSG00000018507",200,228,286,157,93
"ENSMUSG00000018509",654,562,926,470,230
"ENSMUSG00000018537",113,105,132,62,35
"ENSMUSG00000018541",577,407,781,498,208
"ENSMUSG00000018543",15,8,5,2,0
"ENSMUSG00000018547",2056,1804,3001,1762,961
"ENSMUSG00000018548",1071,818,1660,867,501
"ENSMUSG00000018554",491,313,595,270,102
"ENSMUSG00000018559",2853,2746,3811,1859,1303
"ENSMUSG00000018565",1880,1492,2669,1391,809
"ENSMUSG00000018566",25163,23943,39800,20276,12977
"ENSMUSG00000018567",10318,9120,16306,8562,4885
"ENSMUSG00000018569",5,4,10,2,5
"ENSMUSG00000018570",24,18,21,13,0
"ENSMUSG00000018572",789,612,1066,592,348
"ENSMUSG00000018574",65896,57963,93337,44182,29005
"ENSMUSG00000018581",0,3,4,5,0
"ENSMUSG00000018583",7043,5989,10857,5744,3272
"ENSMUSG00000018585",1962,1423,2555,1573,940
"ENSMUSG00000018589",0,0,0,0,0
"ENSMUSG00000018593",19317,18850,22559,11432,5615
"ENSMUSG00000018595",0,0,0,0,0
"ENSMUSG00000018599",1803,1645,2546,1332,814
"ENSMUSG00000018604",805,710,1014,259,384
"ENSMUSG00000018620",0,0,0,0,0
"ENSMUSG00000018623",0,0,0,0,0
"ENSMUSG00000018634",0,0,0,0,0
"ENSMUSG00000018648",8,17,21,0,2
"ENSMUSG00000018651",369,353,570,297,178
"ENSMUSG00000018654",257,194,271,239,64
"ENSMUSG00000018656",0,0,0,0,0
"ENSMUSG00000018659",1617,1336,2319,1259,660
"ENSMUSG00000018661",1465,1167,1953,997,794
"ENSMUSG00000018666",1764,1385,2666,1415,841
"ENSMUSG00000018669",976,788,1338,704,315
"ENSMUSG00000018672",1626,1150,2114,1059,611
"ENSMUSG00000018677",6824,5005,8288,5805,2450
"ENSMUSG00000018678",478,493,518,302,162
"ENSMUSG00000018697",682,632,1190,567,347
"ENSMUSG00000018698",2,0,0,0,0
"ENSMUSG00000018707",34286,37684,52109,26828,19717
"ENSMUSG00000018727",1,1,0,0,0
"ENSMUSG00000018733",514,503,717,424,240
"ENSMUSG00000018736",2434,2270,3458,1915,1385
"ENSMUSG00000018740",191,214,386,192,107
"ENSMUSG00000018750",3810,3449,5502,3041,1764
"ENSMUSG00000018752",13,8,28,3,4
"ENSMUSG00000018761",424,294,638,313,100
"ENSMUSG00000018765",4375,3988,7107,3659,2143
"ENSMUSG00000018770",49472,40079,74612,39525,21017
"ENSMUSG00000018774",528,457,1043,384,282
"ENSMUSG00000018776",0,0,0,0,0
"ENSMUSG00000018796",65707,71676,94043,48324,30418
"ENSMUSG00000018800",1130,1176,1967,1093,665
"ENSMUSG00000018809",658,499,869,475,327
"ENSMUSG00000018819",2440,1788,2495,1750,684
"ENSMUSG00000018820",904,769,1299,656,413
"ENSMUSG00000018821",629,473,859,534,234
"ENSMUSG00000018822",80,45,101,15,10
"ENSMUSG00000018830",2887,4211,4030,1673,1355
"ENSMUSG00000018841",775,632,996,551,221
"ENSMUSG00000018844",8,3,0,3,3
"ENSMUSG00000018845",12121,9984,17632,8495,5744
"ENSMUSG00000018846",2499,2672,3815,1982,1279
"ENSMUSG00000018848",2281,2020,3522,1802,1208
"ENSMUSG00000018849",21,28,15,12,6
"ENSMUSG00000018858",2242,1642,3334,1844,980
"ENSMUSG00000018861",509,499,897,437,232
"ENSMUSG00000018862",0,0,0,0,0
"ENSMUSG00000018865",1,4,7,0,0
"ENSMUSG00000018868",3,0,0,1,0
"ENSMUSG00000018882",3289,2730,5072,2777,1635
"ENSMUSG00000018893",536964,461667,903952,460405,276335
"ENSMUSG00000018899",1016,724,1654,896,603
"ENSMUSG00000018900",1437,1727,1882,1154,639
"ENSMUSG00000018906",1786,1849,2774,1480,859
"ENSMUSG00000018907",2,0,19,0,0
"ENSMUSG00000018909",2042,1531,2559,1447,848
"ENSMUSG00000018914",0,0,0,0,0
"ENSMUSG00000018916",3,0,4,4,0
"ENSMUSG00000018919",23,22,37,10,4
"ENSMUSG00000018920",461,325,560,362,187
"ENSMUSG00000018921",1050,853,1341,667,415
"ENSMUSG00000018923",322,219,403,227,136
"ENSMUSG00000018924",6,54,55,1,0
"ENSMUSG00000018925",0,0,4,0,0
"ENSMUSG00000018927",893,816,899,495,193
"ENSMUSG00000018930",6,1,4,7,0
"ENSMUSG00000018931",758,650,977,562,290
