"","Mmus_C57-6CR_LVR_FLT_Rep1_F58","Mmus_C57-6CR_LVR_FLT_Rep2_F64","Mmus_C57-6CR_LVR_GC_Rep1_G40","Mmus_C57-6CR_LVR_GC_Rep2_G44","Mmus_C57-6CR_LVR_VIV_Rep1_V14","Mmus_C57-6CR_LVR_VIV_Rep2_V9"
"ENSMUSG00000002006",7,12,8,12,20,8
"ENSMUSG00000002007",1,0,2,1,1,2
"ENSMUSG00000002010",1193,928,835,1057,897,900
"ENSMUSG00000002012",1,1,1,0,2,0
"ENSMUSG00000002014",5007,3191,6089,3829,4088,4696
"ENSMUSG00000002015",2950,2190,2532,3462,2929,2805
"ENSMUSG00000002017",207,279,333,348,350,372
"ENSMUSG00000002020",22,22,27,17,57,27
"ENSMUSG00000002028",381,614,644,710,590,719
"ENSMUSG00000002031",401,341,467,352,419,364
"ENSMUSG00000002032",246,378,574,772,450,587
"ENSMUSG00000002033",24,17,47,41,24,17
"ENSMUSG00000002043",463,314,453,335,401,444
"ENSMUSG00000002052",918,1220,984,1494,1331,1378
"ENSMUSG00000002055",14,18,12,18,25,12
"ENSMUSG00000002057",0,0,0,0,0,0
"ENSMUSG00000002058",91,87,134,87,78,92
"ENSMUSG00000002059",40,49,68,47,104,88
"ENSMUSG00000002064",1250,957,1699,1172,1253,1360
"ENSMUSG00000002068",14,7,8,23,28,17
"ENSMUSG00000002076",6,1,3,1,4,2
"ENSMUSG00000002083",49,61,170,152,106,113
"ENSMUSG00000002100",1,0,0,0,1,0
"ENSMUSG00000002102",4000,3063,3433,3388,3522,3859
"ENSMUSG00000002103",636,823,1076,1327,1209,1272
"ENSMUSG00000002104",2,0,1,0,0,0
"ENSMUSG00000002105",96,95,73,128,118,127
"ENSMUSG00000002107",198,290,183,211,225,209
"ENSMUSG00000002108",3508,2817,3948,4196,3951,4278
"ENSMUSG00000002109",89,76,87,76,73,79
"ENSMUSG00000002111",67,77,97,143,123,87
"ENSMUSG00000002129",249,336,341,445,421,425
"ENSMUSG00000002147",578,725,1309,1399,1398,1249
"ENSMUSG00000002190",0,0,0,0,0,0
