"","Mmus_C57-6J_LVR_DI_1y_Rep1","Mmus_C57-6J_LVR_DI_1y_Rep2","Mmus_C57-6J_LVR_DI_1y_Rep3","Mmus_C57-6J_LVR_LN2_1y_Rep1","Mmus_C57-6J_LVR_LN2_1y_Rep2","Mmus_C57-6J_LVR_LN2_1y_Rep3","Mmus_C57-6J_LVR_LN2_3d_Rep1","Mmus_C57-6J_LVR_LN2_3d_Rep2","Mmus_C57-6J_LVR_LN2_3d_Rep3"
"ENSMUSG00000029607",4,0,0,0,1,0,0,0,2
"ENSMUSG00000029608",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029610",258,293,267,357,230,228,240,291,261
"ENSMUSG00000029613",1379,1347,1259,1722,1310,1391,1498,1632,1478
"ENSMUSG00000029614",5649.54,6392.27,5878.25,7549.78,5866.45,5879.89,5429.91,6167.9,5218.93
"ENSMUSG00000029616",1200,1129,1257,1587,1056,963,998,1058,1090
"ENSMUSG00000029617",902,839,887,1222,781,839,1019,1012,878
"ENSMUSG00000029618",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029620",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029621",1337,1588,1301,1872.91,1389,1397,1356,1413,1335
"ENSMUSG00000029622",1067,1382.56,1236.45,2003.97,1176.6,1077,828,1097.59,964
"ENSMUSG00000029623",1782,1804,1487,2274,1449,1481,1488,1839,1649
"ENSMUSG00000029624",276,303,328,355,297,356,355,312,282
"ENSMUSG00000029625",400,386,417,499,304,343,397,476,312
"ENSMUSG00000029627",149,153,138,200,145,159,144,166,107
"ENSMUSG00000029629",570,584,535,760,517,531,691.99,737.77,543
"ENSMUSG00000029630",8172.81,7426.7,7499.91,8042.01,6630.86,7534.12,17492.65,22042.53,12440
"ENSMUSG00000029632",6582,5787,5497,7763,5719,5021,5381,6462,5858
"ENSMUSG00000029633",0,3.05,0,4.59,0,0,0,0,0
"ENSMUSG00000029634",702.99,729.98,851.99,854,745,771.99,1001.95,763,935.99
"ENSMUSG00000029635",684.92,671.58,779.57,990.58,731.29,769.22,847.7,898.87,685.73
"ENSMUSG00000029636",0,1,0,3,0,1,4,2,1
"ENSMUSG00000029638",116.92,125.21,162.26,146.64,112.56,47.45,183.72,50.88,44.67
"ENSMUSG00000029640",599,895,815,992,724,765,804.89,787,779
"ENSMUSG00000029641",12,6,11,13,8,14,14,6,9
"ENSMUSG00000029642",1125.92,1049.61,1069.13,1393.23,1106.94,1168.33,951.38,1255.36,985.66
"ENSMUSG00000029644",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029646",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029647",303,330,376,444,364,352,434,443,351
"ENSMUSG00000029648",248,308,310,493,204,294,444,300,357
"ENSMUSG00000029649",3097,2769,2276,3710,2440,2336,2456,2656,2781
"ENSMUSG00000029650",723,840,725,821,699,622,1220,792,1021
"ENSMUSG00000029651",14,15,30,39,19,32,26,27,24
"ENSMUSG00000029655",751,934,801,1170,716,836,1151,908,882
"ENSMUSG00000029656",4859,3488,3366,3751,3557,3510,7533,2361,4839
"ENSMUSG00000029657",1628,2086,3051,2624,2432,2558,1108,1114,831
"ENSMUSG00000029658",0,0,0,0,0,0,1,0,0
"ENSMUSG00000029659",0,10,0,3,0,2,4,3,7
"ENSMUSG00000029660",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029661",167,217,215,438,306,520,298,193,254
"ENSMUSG00000029663",19,48,33,59,23,20,34,29,27
"ENSMUSG00000029664",1612,1892,1575,2287,1286,1357,1742,1565,1849
"ENSMUSG00000029669",3905,3854,3702,4602,3670,4118,4394,4107,3991
"ENSMUSG00000029670",189,179,211,259,177,174,231,199,170
"ENSMUSG00000029671",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029672",705,851,792,1150,622,692,752,633,691
"ENSMUSG00000029673",8,6,12,10,7,31,17,13,8
"ENSMUSG00000029674",54,89,83,126,70,77,107,56,65
"ENSMUSG00000029675",27,71,69,88,52,148,71,52,53
"ENSMUSG00000029676",104,123,117,198,123,119,168,134,147
"ENSMUSG00000029678",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029679",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029680",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029681",369,428,429,605,437,346,332,451,338
"ENSMUSG00000029682",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029683",3,1,0,6,0,4,0,1,0
"ENSMUSG00000029684",1896,2170,2119,2502,2068,2163,2685,2084,2176
"ENSMUSG00000029685",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029686",1483,1526,1729,1996,1497,1454,1885,1946,1575
"ENSMUSG00000029687",91,152,81,90,93,96,110,133,110
"ENSMUSG00000029695",11237,8506,8163,10816,8721,8501,12539,12411,12422
"ENSMUSG00000029697",0,1,0,0,0,0,0,0,0
"ENSMUSG00000029699",56,46,60,82,37,47,81,49,59
"ENSMUSG00000029700",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029701",402,574,523,577,393,404,666,528,465
"ENSMUSG00000029703",178,187,161,216,170,135,178,216,179
"ENSMUSG00000029705",695,737,738,943,569,693,804,569,673
"ENSMUSG00000029706",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029707",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029708",326,520,459,418,368,362,535,481,407
"ENSMUSG00000029710",546,786,799,941,779,738,868,785,755
"ENSMUSG00000029711",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029712",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029713",2861,3144,3223,4358,2901,2523,2759,3413,2850
"ENSMUSG00000029714",484,471,450,588,501,528,640,695,508
"ENSMUSG00000029715",149,136,134,167,133,121,115,145,114
"ENSMUSG00000029716",11633,10618,10359,12825,11186,11375,13664,11297,10817
"ENSMUSG00000029718",139,183,183,273,195,243,157,152,251
"ENSMUSG00000029720",14.97,68.19,7.99,30.26,32.92,29.93,107.77,77.04,12.38
"ENSMUSG00000029722",955,1067,988,1087,1298,1084,1327,1372,1237
"ENSMUSG00000029723",470,464,373,907,539,504,551,531,508
"ENSMUSG00000029725",226,251,213,303,191,150,157,261,277
"ENSMUSG00000029726",691,659,764,950,789,756,664,903,777
"ENSMUSG00000029727",6156,4150,4423,6333,4703,4784,9568,6256,6682
"ENSMUSG00000029729",973.34,752.39,826.28,1086.54,931.17,1143.87,1352.07,858.93,945.79
"ENSMUSG00000029730",305.7,527,305,390,306.17,306,382,377.68,433
"ENSMUSG00000029735",465,457,428,545,400,475,527,394,455
"ENSMUSG00000029736",0,0,0,0,0,0,1,0,0
"ENSMUSG00000029752",5,15,9,5,10,4,7,5,7
"ENSMUSG00000029754",0,0,0,0,1,0,2,0,0
"ENSMUSG00000029755",0,0,0,1,0,0,0,0,0
"ENSMUSG00000029757",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029759",1747,1931,1995,2446,1896,2015,2236,1831,1799
"ENSMUSG00000029761",8630,10324,9194,12074,8481,9269,10491,9760,9237
"ENSMUSG00000029762",73.35,100.81,117.75,136.09,97.27,90.23,129.78,157.03,119.66
"ENSMUSG00000029763",502,704,422,848,429,626,690,709,714
"ENSMUSG00000029765",47,69,74,122,49,81,74,49,46
"ENSMUSG00000029766",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029767",2741,3588,3501,4146,2882,2736,3609,2690,3064
"ENSMUSG00000029769",1,3,5,4,0,1,0,1,1
"ENSMUSG00000029771",499,784,428,645,365,377,818,373,640
"ENSMUSG00000029772",346,477,502,416,313,394,536,373,359
"ENSMUSG00000029775",1220,1352,1358,1557,1096,1237,1626,1393,1227
"ENSMUSG00000029776",9827,10594.69,9805.55,13740.87,8241.55,8565.77,10538.39,11350.87,11495.67
"ENSMUSG00000029777",1248,1301,1401,1808,1087,1056,1274,1419,1343
"ENSMUSG00000029778",31,18,27,49,25,29,43,24,31
"ENSMUSG00000029780",543,525,478,727,497,477,503,597,547
"ENSMUSG00000029781",831,917,1017,1284,918,1096,1000,939,952
"ENSMUSG00000029782",305,344,322,419,249,336,421,292,374
"ENSMUSG00000029784",0,4,0,7,1,0,1,0,2
"ENSMUSG00000029787",422,377,489,660,543,568,806,549,635
"ENSMUSG00000029788",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029790",52,67,70,78,62,63,119,54,83
"ENSMUSG00000029797",7,17,7,18,21,17,32,14,17
"ENSMUSG00000029798",585.58,557,418.85,733.75,490.4,577.24,663,335.76,581
"ENSMUSG00000029802",762,1103,855,1211,692,825,1140,1222,986
"ENSMUSG00000029804",75,116,89,79,67,73,129,135,96
"ENSMUSG00000029810",5332,4906,4403,6841,4749,4985,5515,5092,5331
"ENSMUSG00000029811",2,5,0,4,6,3,3,0,0
"ENSMUSG00000029813",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029814",0,1,0,0,0,0,1,1,0
"ENSMUSG00000029815",399,337,284,457,332,371,316,385,338
"ENSMUSG00000029816",4,3,11,10,7,0,12,3,0
"ENSMUSG00000029817",423,533,516,674,468,364,384,462,428
"ENSMUSG00000029819",0,0,0,6,0,1,0,0,0
"ENSMUSG00000029821",41,67,37,84,30,50,65,39,65
"ENSMUSG00000029822",16,28,26,54,15,32,54,29,20
"ENSMUSG00000029823",1243,1832,1489,2118.34,1388.3,1369,2190,1820,1524
"ENSMUSG00000029826",1956,2040,1638,2185,1631,2210,2654,1437,2135
"ENSMUSG00000029828",11,1,5,13,6,10,10,7,3
"ENSMUSG00000029829",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029830",1,0,0,0,0,0,0,0,1
"ENSMUSG00000029831",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029832",0,3,2,6,1,4,3,8,3
"ENSMUSG00000029833",2305,1591,1122,2447,2188,1910,1441,1489,1671
"ENSMUSG00000029836",1242.56,1276.58,1338.62,1877.34,1306.5,1239.03,1340.14,1379.69,1252.18
"ENSMUSG00000029837",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029838",2,0,0,0,0,1,0,0,0
"ENSMUSG00000029840",3051,3515,3536,3888,3070,3422,3788,3226,3171
"ENSMUSG00000029843",9,8,15,10,3,8,12,2,10
"ENSMUSG00000029844",2,4,2,11,5,5,5,7,5
"ENSMUSG00000029847",1,1,0,0,0,0,0,1,0
"ENSMUSG00000029848",0,0,0,0,0,0,0,2,2
"ENSMUSG00000029851",11,30,28,21,16,21,25,19,22
"ENSMUSG00000029859",878,1052,1010,1297,1034,1136,865,1131,902
"ENSMUSG00000029860",1123,1293,859,1425,1249,1458,1198,1058,1372
"ENSMUSG00000029861",0,0,0,0,0,0,3,0,3
"ENSMUSG00000029862",0,0,0,0,0,1,1,1,0
"ENSMUSG00000029863",96,126,122,175,83,115,146,114,109
"ENSMUSG00000029864",3577,3110,2902,3645,2545,2924,3163,3800,3705
"ENSMUSG00000029865",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029866",0,1,0,0,0,0,1,0,3
"ENSMUSG00000029867",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029868",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029869",67,63,118,54,107,116,50,89,45
"ENSMUSG00000029875",2,0,3,2,0,3,0,2,1
"ENSMUSG00000029878",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029882",0,0,0,0,8,0,0,0,0
"ENSMUSG00000029883",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029885",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029909",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029910",80,205,74,120,59,60,109,87,145
"ENSMUSG00000029911",551.73,600.95,523.84,623.51,420.29,404.28,599.57,539.06,546
"ENSMUSG00000029913",2,0,4,2,4,8,3,0,2
"ENSMUSG00000029915",1,1,1,6,2,3,3,3,6
"ENSMUSG00000029916",244.35,236.77,232,314.95,160.32,200,282,241.78,214.69
"ENSMUSG00000029917",0,0,0,0,0,0,0,0,0
"ENSMUSG00000029918",587.99,455.94,405.51,697.78,416.92,403.41,404.27,457.59,443.61
"ENSMUSG00000029919",0,14,4,5,1,6,16,6,15
"ENSMUSG00000029920",303,301,312,483,249,299,405,254,262
"ENSMUSG00000029922",868,796,630.88,1144,650,805,913,758,937
"ENSMUSG00000029923",4,13,5,20,8,8,2,2,7
"ENSMUSG00000029924",674,760,765,1019,718,744,763,732,655
"ENSMUSG00000029925",40,49,27,111,47,52,71,56,88
"ENSMUSG00000029992",463,866,1123,1083,755,609,871,512,491
"ENSMUSG00000029993",918,850,955,1315,791,811,814,1097,962
"ENSMUSG00000029994",1324,1492,1527,1912,1305,1377,1325,1514,1435
"ENSMUSG00000029998",3754,4998,4693,5807,4216,4754,5359,4139,4713
"ENSMUSG00000029999",400,511,562,547,540,505,730,557,531
"ENSMUSG00000030000",0,0,0,0,0,2,0,0,0
"ENSMUSG00000030001",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030002",809,1074,839,1295,1015,999,1267,1061,985
"ENSMUSG00000030004",8.44,10.65,1.05,5.34,4.22,6.36,8.41,7.34,9.49
"ENSMUSG00000030007",2468.95,2588,2428,3178,2522.95,2512,2391,2494,2484.99
"ENSMUSG00000030008",108,143,153,197,141,128,114,157,159
"ENSMUSG00000030016",846,824,889,1169,704,852,1025,786,794
"ENSMUSG00000030017",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030019",276,329,284,465,278,354,356,397,371
"ENSMUSG00000030020",35,44,45,82,69,70,58,35,47
"ENSMUSG00000030022",31,28,48,65,55,100,93,49,79
"ENSMUSG00000030029",657,965,952,927,543,752,754,688,600
"ENSMUSG00000030030",10,20,15,10,3,12,9,12,5
"ENSMUSG00000030031",10,52,48,27,21,34,37,37,37
"ENSMUSG00000030032",4,7,6,21,5,4,13,8,11
"ENSMUSG00000030034",396,394,429,547,387,375,387,481,445
"ENSMUSG00000030035",816,759,660,834,660,641,684,700,882
"ENSMUSG00000030036",1241,1451,1865,2013,1512,1353,1492,1525,1340
"ENSMUSG00000030037",619.02,642.35,608.5,759.33,528.05,523.86,471.29,659.09,530.2
"ENSMUSG00000030041",0,0,0,0,1,2,0,0,3
"ENSMUSG00000030042",606,590,558,929,618,602,489,531,502
"ENSMUSG00000030043",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030045",348,424,365,438,284,310,342,333,358
"ENSMUSG00000030046",116,83,73,184,132,188,93,116,134
"ENSMUSG00000030047",49,79,75,130,47,72,65,58,63
"ENSMUSG00000030048",0,1,0,3,0,0,2,2,0
"ENSMUSG00000030049",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030050",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030051",57,94,65,124,101,76,109,94,116
"ENSMUSG00000030054",5,12,2,12,1,5,5,6,1
"ENSMUSG00000030055",5028.42,4125.66,3552.64,5661.78,5373.6,6515.09,5601.7,4570.07,5005.54
"ENSMUSG00000030056",441.39,472.66,472.76,641.6,456.26,408.19,522.93,544.01,452.06
"ENSMUSG00000030057",5894,6426,5856,7519,5377,5252,6810,7007,6686
"ENSMUSG00000030058",1707,2478,2296,2655,1610,1532,2346,1748,1967
"ENSMUSG00000030059",569,709,770,850,680,654,840,738,584
"ENSMUSG00000030060",121,193,143,191,123,114,116,130,112
"ENSMUSG00000030061",615,755,698,780,617,676,786,684,585
"ENSMUSG00000030062",4613,4469,4962,5846,4108,3592,4553,3985,4505
"ENSMUSG00000030064",1816,2058,2253,3147,1992,1547,1577,1294,1579
"ENSMUSG00000030067",697.96,621.74,588,990.69,724.09,689.62,823.93,744.3,861.46
"ENSMUSG00000030068",0,0,0,1.36,0,0,1.1,2.16,0
"ENSMUSG00000030069",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030074",0,0,0,2,0,2,0,0,0
"ENSMUSG00000030075",0,0,0,0,0,0,1,0,0
"ENSMUSG00000030077",2,0,0,0,0,0,0,0,0
"ENSMUSG00000030079",424.66,426.76,434.68,656.78,427,395.8,491,519.82,463
"ENSMUSG00000030082",3999,5941,6015,6415,4058,3531,5134,4353,4581
"ENSMUSG00000030083",665,511,480,824,630,550,577,677,689
"ENSMUSG00000030084",149,288,233,310,223,281,321,224,193
"ENSMUSG00000030086",86,49,52,92,58,78,72,87,91
"ENSMUSG00000030087",5909,4703,6265,6420,5165,4923,3585,4402,4072
"ENSMUSG00000030088",45345,44860,41430,60139,35590,29696,51774,52116,60113
"ENSMUSG00000030089",47.99,32,32,77,66,66,48,35,23
"ENSMUSG00000030091",454,623,518,654,514,558,677,456,523
"ENSMUSG00000030092",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030093",0,0,0,2,0,0,0,0,0
"ENSMUSG00000030094",472,451,485,766,551,611,632,570,487
"ENSMUSG00000030095",185,308,302,358,247,212,280,266,267
"ENSMUSG00000030096",2393,3868,4242,3942,3249,2891,4335,4568,3447
"ENSMUSG00000030098",2,3,1,5,3,6,21,8,6
"ENSMUSG00000030101",826,845,778,1017,827,836,874,879,740
"ENSMUSG00000030102",1053,1365,1273,1740,1299,1509,1888,1126,1195
"ENSMUSG00000030103",2333,4386,3013,5434,4191,3844,2783,2027,3035
"ENSMUSG00000030104",5228,6642,7260,8106,5594,5051,7165,5055,5777
"ENSMUSG00000030105",1674,1497,1551,2145,1701,1992,1785.07,1790,1656
"ENSMUSG00000030107",461,497,249,663,460,547,320,205,382
"ENSMUSG00000030108",5644.61,5794.69,6141.65,6459.93,5869.68,6195.16,6268.46,7337.46,6391.22
"ENSMUSG00000030109",3427.39,3174.31,3135.35,4089.07,3011.32,2658.84,3085.54,2857.54,3266.78
"ENSMUSG00000030110",0,0,0,0,0,2,0,0,1
"ENSMUSG00000030111",0,0,0,9,0,2,0,0,0
"ENSMUSG00000030114",0,3,0,1,1,1,2,0,0
"ENSMUSG00000030116",0,0,0,0,0,4,0,0,1
"ENSMUSG00000030117",0,2,3,0,2,3,3,2,1
"ENSMUSG00000030120",3990,4133,3727,4934,3867,3671,4066,4752,4116
"ENSMUSG00000030122",25716,24899,22070,27486,20426,18856,22771,31409,26442
"ENSMUSG00000030123",543,780,833,1282,663,829,1024,869,857
"ENSMUSG00000030124",27,17,22,32,28,13,16,29,19
"ENSMUSG00000030125",0,0,1,0,0,2,0,0,0
"ENSMUSG00000030126",577,946.48,1123.62,891,649,616,774,1142,712
"ENSMUSG00000030127",1437,1572,1426,1985,1416,1443,1354,1482,1523
"ENSMUSG00000030131",19225.21,17814.44,17643.7,16188.02,15185.32,17108.37,32467.2,18624.87,19338.14
"ENSMUSG00000030134",0,0,0,0,0,0,0,1,0
"ENSMUSG00000030137",53,80.01,79,59,36,59,68,53,37
"ENSMUSG00000030138",588,727,780,871,632,639,796,787,676
"ENSMUSG00000030142",4,1,1,2,1,2,0,2,1
"ENSMUSG00000030143",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030144",3,4,4,1,4,2,4,3,6
"ENSMUSG00000030145",6,9,11,18,7,8,17,11,9
"ENSMUSG00000030147",1,1.16,1.08,3,2.18,3,0,9,6.82
"ENSMUSG00000030148",11,19.84,20.92,31,19.82,8,35,9,17.18
"ENSMUSG00000030149",55,50,34,83,27,40,39,23,31
"ENSMUSG00000030154",2,5,3,3,2,1,1,0,6
"ENSMUSG00000030155",1,1,0,2,0,0,1,0,1
"ENSMUSG00000030156",6,12,19,8,11,10,5,2,14
"ENSMUSG00000030157",2156,2308,1372,2560,2013,1487,2431,3083,2428
"ENSMUSG00000030158",1,0,0,1,0,0,0,1,0
"ENSMUSG00000030159",166.59,184.76,172,325.45,133.5,166.8,196,199,192.61
"ENSMUSG00000030160",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030161",10933,6510,8641,11735,10469,10143,9454,12207,9751
"ENSMUSG00000030162",3,3,0,7,0,0,2,1,0
"ENSMUSG00000030165",8,8,8,20,4,7,6,9,5
"ENSMUSG00000030166",100,94,65,160,82,94,130,96,110
"ENSMUSG00000030167",10.41,10.9,15.08,14.06,7.53,14.53,5.76,4.85,6.91
"ENSMUSG00000030168",16232,21007,18169,23609,14707,18424,18474,15454,16685
"ENSMUSG00000030170",155,140,63,121,127,152,223,102,140
"ENSMUSG00000030172",722,849,884,922,781,876,1413,720,889
"ENSMUSG00000030173",2,0,1,1,0,1,0,0,1
"ENSMUSG00000030177",43,84,45,63,50,46,66,46,76
"ENSMUSG00000030178",0,0,0,0,1,0,2,0,1
"ENSMUSG00000030180",644,701,616,937,567,652,885,685,675
"ENSMUSG00000030187",25,33,16,61,21,28,67,49,80
"ENSMUSG00000030188",48,56,55,98,47,58,50,33,60
"ENSMUSG00000030189",1023,1122,1131,1435,864,1078,924,1271,1114
"ENSMUSG00000030194",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030196",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030199",489,545,734,947,405,453,753,383,563
"ENSMUSG00000030200",14,8,8,19,13,23,14,6,9
"ENSMUSG00000030201",2098,2117,2173,2700,2154,2619,3466,2221,2534
"ENSMUSG00000030203",1324,1333,1639,1595,1278,1417,1545,1300,1184
"ENSMUSG00000030204",744,743,753,951,777,672,803,885,692
"ENSMUSG00000030205",0,0,0,0,0,1,1,0,0
"ENSMUSG00000030206",1,0,0,0,0,0,0,0,0
"ENSMUSG00000030207",1096,794,817,1044,891,934,1434,969,1015
"ENSMUSG00000030208",16,35,40,36,18,52,23,32,38
"ENSMUSG00000030209",0,0,1,7,5,1,4,2,2
"ENSMUSG00000030213",729,654,685,1161,595,824,1278,677,889
"ENSMUSG00000030214",1547,1231,1094,1937,1405,1606,1518,1177,1403
"ENSMUSG00000030216",1023,1024,1047,1334,915,978,1137,1021,1028
"ENSMUSG00000030217",68,48,41,60,76,101,56,36,66
"ENSMUSG00000030218",24,22,45,63,28,53,10,29,12
"ENSMUSG00000030219",2,5,0,1,0,1,0,3,0
"ENSMUSG00000030220",328,407,316,744,391,413,248,268,320
"ENSMUSG00000030222",67,49,85,155,111,138,71,81,75
"ENSMUSG00000030223",12,13,5,19,13,12,9,11,17
"ENSMUSG00000030224",1908,2109,2171,2448,1859,1932,2102,2380,1849
"ENSMUSG00000030225",1751,1855,1620,2391,1477,1584,1671,1780,1966
"ENSMUSG00000030226",0,0,0,0,0,1,0,0,0
"ENSMUSG00000030228",77,109,81,102,59,87,117,101,90
"ENSMUSG00000030230",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030231",506.64,634.06,729.73,734.15,578.16,689.14,820.88,493.73,597.17
"ENSMUSG00000030232",495,708,612,924,552,635.91,743,744,610
"ENSMUSG00000030235",0,5,3,0,0,0,3,0,0
"ENSMUSG00000030236",22175,21811,24247,27279,25164,30470,31971,22241,24659
"ENSMUSG00000030237",2397.42,2522,2782.1,3453.44,3240.77,2695.03,4376.87,3226.48,3857.55
"ENSMUSG00000030243",103,172,124,161,79,123,183,128,149
"ENSMUSG00000030244",3727,3115,3178,5211,4058,4308,2666,3515,3005
"ENSMUSG00000030245",74,182,186,150,86,103,73,125,100
"ENSMUSG00000030246",40,35.5,59,90,41,53,85,84,60
"ENSMUSG00000030247",90,76,79,170,112,126,91,124,98
"ENSMUSG00000030249",404,415,410,850,630,955,690,469,518
"ENSMUSG00000030254",18,45,21,39,29,24,37,31,32
"ENSMUSG00000030255",23,28,24,70,18,33,49,20,44
"ENSMUSG00000030256",7,15,5,45,28,41,15,17,74
"ENSMUSG00000030257",257.04,469.06,404,589,385.91,271,763,362.09,381.05
"ENSMUSG00000030259",737,1252,1235,1176,916,1099,1386,1132,815
"ENSMUSG00000030263",55,51,46,75,40,47,59,55,49
"ENSMUSG00000030264",336,371,402,524,270,396,349,415,307
"ENSMUSG00000030265",579,975,980,914,583,770,876,713,665
"ENSMUSG00000030268",0,0,0,3,0,0,0,0,0
"ENSMUSG00000030269",488,509,485,699,594,511,533,536,576
"ENSMUSG00000030270",0,0,0,0,0,0,1,0,0
"ENSMUSG00000030271",102,113,81,126,68,111,114,93,110
"ENSMUSG00000030272",301,338,348,548,370,331,330,497,364
"ENSMUSG00000030275",1558,1867,1873,2277,1507,1719,2493,1954,1713
"ENSMUSG00000030276",0,8.11,5,7.1,6,4,9.13,16.58,6.27
"ENSMUSG00000030278",22,21,9,39,21,98,10,22,10
"ENSMUSG00000030279",112,225,153,193,124,112,155,139,173
"ENSMUSG00000030281",749,696,712,1098,712,752,886,979,908
"ENSMUSG00000030282",1067,1040,905,1333,1058,1122,1277,1110,1248
"ENSMUSG00000030283",1,0,2,3,3,0,1,1,1
"ENSMUSG00000030284",1159,938,1014,1435,1314,1134,1137,1003,1083
"ENSMUSG00000030286",1560,1566,1482,1992,1436,1378,1592,1669,1530
"ENSMUSG00000030287",1234,1407,1360,1575,1341,1398,1826,1330,1183
"ENSMUSG00000030291",305,342,355,396,277,276,281,322,329
"ENSMUSG00000030292",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030298",1163,1395,1265,1530,1020,1089,1220,1238,1172
"ENSMUSG00000030301",767,815,727,949,669,784,758,758,740
"ENSMUSG00000030302",220,492,469,545,264,453,290,128,208
"ENSMUSG00000030303",2,4,2,4,4,4,1,2,1
"ENSMUSG00000030304",1106,1172,1156,1435,987,1101,1164,1083,1025
"ENSMUSG00000030306",9,16,17,25,5,20,10,21,16
"ENSMUSG00000030307",0,0,0,0,0,0,3,0,0
"ENSMUSG00000030309",34,71,32,77,43,42,87,50,66
"ENSMUSG00000030310",0,1,0,0,0,0,0,1,1
"ENSMUSG00000030313",2724,2545,2495,3960,3287,3073,3914,2932,2952
"ENSMUSG00000030314",938,997,1032,1183,898,919,1326,1124,1224
"ENSMUSG00000030315",752,926,779,745,593,855,733,566,601
"ENSMUSG00000030316",68,68,46,77,40,53,70,131,89
"ENSMUSG00000030317",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030319",8,18,5,24,7,14,17,10,15
"ENSMUSG00000030321",0,1,1,2,4,2,5,1,4
"ENSMUSG00000030322",8,22,27,28,19,33,37,11,42
"ENSMUSG00000030323",76,62,88,87,83,113,136,70,76
"ENSMUSG00000030324",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030325",18.22,35.76,19,22.22,26.81,28.07,10.8,11.6,17
"ENSMUSG00000030327",839,1005,835,1433,936,1042,1032,893,821
"ENSMUSG00000030329",11,6,5,17,6,6,9,21,20
"ENSMUSG00000030330",482.61,479.38,403.1,666.6,428.58,510.67,562.64,555,541.32
"ENSMUSG00000030335",1326.58,1268.51,1210.33,1677.06,1241.4,1184.66,1094.05,1336.89,1223.15
"ENSMUSG00000030336",10,7,3,16,5,7,11,6,7
"ENSMUSG00000030337",43,52,24,51,31,37,62,32,31
"ENSMUSG00000030339",2137,2878,2673,3120,2249,2545,2195,2369,2103
"ENSMUSG00000030340",993,915,813,1091,917,825,1301,1094,990
"ENSMUSG00000030341",2287,2721,2454,3764,2481,2401,2743,2269,2502
"ENSMUSG00000030342",408,561,503,618,530,477,424,601,361
"ENSMUSG00000030344",0,0,0,1,0,0,1,0,0
"ENSMUSG00000030345",0,1,1,1,1,0,2,0,0
"ENSMUSG00000030346",7,13,12,11,4,4,6,8,19
"ENSMUSG00000030347",234,226,238,280,213,247,287,221,230
"ENSMUSG00000030350",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030351",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030352",1016,1247,1359,1628,1139,1052,1510,1173,1289
"ENSMUSG00000030353",4.07,3,7,4.04,7.18,6,12.17,7,7
"ENSMUSG00000030357",5264,6314,6829,7596,5637,5863,6064,5330,6321
"ENSMUSG00000030359",125001,128361,134510,156951,136617,142893,194449,121290,136081
"ENSMUSG00000030361",1,2,0,0,2.86,1,3,0,3
"ENSMUSG00000030363",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030364",60,23,24,35,41,34,87.92,37,75.92
